Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.33442510118528;113.50337593184015;99.595;2.4496554275567486;971504.39868;396588.18450599996;0.0;enero
T.HUEVOS KGS;0.63113345757028;1.57948297545255;80.21;2.5026132848877656;13519.198400000001;5402.03254;1.0;enero
T.HUEVOS UNDS.;10.13830906738047;1.57948297545255;80.21;0.1557935317374044;13519.198400000001;86776.378;1.0;enero
TOTAL HUEVOS GALLINA;9.81019197956453;1.55291659954853;79.317;0.15829624973531564;13291.81;83967.94;2.0;enero
OTRAS AVES;0.32811708781594;0.02656637590401;4.258;0.08096614559409893;227.3884;2808.438;2.0;enero
MIEL;0.02873735910741;0.18649986479338;8.285;6.4898052773829695;1596.3;245.97039999999998;1.0;enero
GRANEL;0.00852008912483;0.06438031879641;2.628;7.55629640173097;551.0476;72.92562;2.0;enero
ENVASADA;0.02021727231923;0.12211961609652;5.874;6.0403606464915445;1045.253;173.04479999999998;2.0;enero
TOTAL CARNE;3.328816377039;21.72992723964844;97.676;6.527823940525456;185992.0;28492.19;1.0;enero
CARNE CERTIFICADA;0.53261618155756;4.08390424345571;47.412;7.6676308097002766;34955.18;4558.798;2.0;enero
CARNE FRESCA;2.36849103490643;14.22079286019648;92.135;6.004157351922701;121719.4;20272.52;2.0;enero
SALCHICHAS FRESCAS;0.01409036095575;0.10987397165092;6.503;7.797810999726375;940.4394;120.603;3.0;enero
CARNE VACUNO;0.24657518301474;2.36693015149251;50.667;9.599222932954277;20259.16;2110.5;3.0;enero
TERNERA;0.18274019201943;1.7384257239714;40.764;9.51310001790144;14879.63;1564.12;4.0;enero
AÑOJO;0.05020278904461;0.49833633107267;14.357;9.926467046079983;4265.388;429.6985;4.0;enero
MAYOR;0.01363215521765;0.13016903110915;4.488;9.54867583524667;1114.15;116.6811;4.0;enero
CARNE POLLO;0.98006666184315;4.52989396585774;78.812;4.62202638067358;38772.52;8388.641;3.0;enero
POLLO ENTERO;0.22448377573896;0.77453441750054;23.261;3.4502912958893814;6629.438;1921.414;4.0;enero
POLLO FILETES;0.13729476765843;0.85434346131407;33.275;6.222694978730211;7312.544;1175.141;4.0;enero
POLLO POR PIEZAS;0.61828811844575;2.90101632070831;69.534;4.692013697434244;24830.54;5292.086;4.0;enero
CARNE CONEJO;0.03851493843757;0.26057207789781;7.547;6.765480835966355;2230.303;329.6592;3.0;enero
CARNE OVINO/CAPRINO;0.03183380831281;0.40090110477352;9.719;12.59356407609248;3431.415;272.4737;3.0;enero
CORDERO;0.02863689476253;0.3634278690826;9.142;12.690896554819153;3110.672;245.1105;4.0;enero
CABRITO;0.00319690654032;0.03747315390811;0.674;11.721692028034795;320.7423;27.363139999999998;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
