Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;52.85200863576084;148.64727754750035;99.158;2.812518982427516;84358.85276000001;29994.05632;0.0;enero
T.HUEVOS KGS;0.95016944564959;2.45059838928699;80.308;2.5791172306236594;1390.7396899999999;539.2308939999999;1.0;enero
T.HUEVOS UNDS.;15.07852887159284;2.45059838928699;80.308;0.16252237934854447;1390.7396899999999;8557.2196;1.0;enero
TOTAL HUEVOS GALLINA;14.80341031358635;2.42623109346332;80.345;0.16389676716834384;1376.911;8401.087;2.0;enero
OTRAS AVES;0.27511855800648;0.02436729582367;3.731;0.088570164078482;13.82869;156.1326;2.0;enero
MIEL;0.02633571844104;0.24984112883208;7.425;9.486778551016707;141.7874;14.94579;1.0;enero
GRANEL;0.00726549528074;0.07882964310893;1.745;10.849865021295129;44.73663;4.123243;2.0;enero
ENVASADA;0.01907021082571;0.17101153858563;5.681;8.967469743701573;97.05080000000001;10.82254;2.0;enero
TOTAL CARNE;4.10740074631857;32.34311660817145;99.671;7.874351349125178;18355.05;2330.992;1.0;enero
CARNE CERTIFICADA;0.64621635263471;6.20022640440859;62.413;9.59466033183688;3518.692;366.73440000000005;2.0;enero
CARNE FRESCA;3.11666973153276;22.70521128886038;96.229;7.285087367179612;12885.44;1768.742;2.0;enero
SALCHICHAS FRESCAS;0.04751403218211;0.34981606425174;14.874;7.362373770151346;198.5242;26.9647;3.0;enero
CARNE VACUNO;0.46449558005092;5.04016452554475;64.353;10.850834199525048;2860.345;263.606;3.0;enero
TERNERA;0.33044777951146;3.55811198323073;55.883;10.76754695852719;2019.265;187.5325;4.0;enero
AÑOJO;0.08719395027285;0.92426419697109;22.555;10.60009546624266;524.5294;49.48346;4.0;enero
MAYOR;0.04685386788742;0.5577878167181;11.363;11.904840344414547;316.5503;26.590049999999998;4.0;enero
CARNE POLLO;1.06741861726601;5.59487345510921;73.499;5.241498850225581;3175.148;605.771;3.0;enero
POLLO ENTERO;0.21457727199526;0.6809503511947;19.619;3.173450500431945;386.4463;121.7748;4.0;enero
POLLO FILETES;0.18092572085614;1.31727719071713;39.762;7.2807624282703465;747.5683;102.6772;4.0;enero
POLLO POR PIEZAS;0.67191544820633;3.59664520836428;54.175;5.352824106017299;2041.133;381.31890000000004;4.0;enero
CARNE CONEJO;0.15308407365179;1.07399788176225;19.82;7.015738842991189;609.5048;86.87678;3.0;enero
CARNE OVINO/CAPRINO;0.13802140281994;1.92616434934751;18.466;13.955548270005218;1093.118;78.32856;3.0;enero
CORDERO;0.11136690599226;1.70998076273583;14.167;15.354478491614012;970.4316;63.20186;4.0;enero
CABRITO;0.00236233268743;0.03875119476721;0.792;16.403783841843648;21.9917;1.3406479999999998;4.0;enero
OTRO OVINO/CAPRINO;0.0242921782369;0.1774315108031;4.464;7.304059317890681;100.6942;13.786059999999999;4.0;enero
OVINO/CAPRINO ENTE;0.00236233268743;0.03875119476721;0.792;16.403783841843648;21.9917;1.3406479999999998;4.0;enero
OVINO/CAPRINO PIEZ;0.13565906660833;1.88741262595548;18.498;13.912911780563988;1071.126;76.98791;4.0;enero
CARNE CERDO;0.78899685897439;5.27062027743408;73.785;6.680153688172201;2991.131;447.7638;3.0;enero
CARNE CERDO ADOBAD;0.06241325221996;0.42013179937299;13.357;6.73145180597716;238.4291;35.42016;4.0;enero
CARN.CERDO IBERICO;0.00281483377034;0.05771000672275;0.785;20.502101165171677;32.75102;1.5974469999999998;4.0;enero
CARNE DESPOJOS;0.05687139631002;0.33058821750502;8.635;5.8129084030723375;187.6122;32.2751;3.0;enero
DESPOJOS CERDO;0.0349446379295;0.20830284781127;2.995;5.960938792140158;118.214;19.831439999999997;4.0;enero
DESPOJOS CORDERO;0.00551159037697;0.04482511155738;3.552;8.13288152629701;25.43871;3.127884;4.0;enero
DESPOJOS POLLO;0.00511766973441;0.0158764041606;1.242;3.102272124724119;9.010022000000001;2.90433;4.0;enero
DESPOJOS TERNERA;0.0112974912208;0.06158383987908;1.913;5.451107566753314;34.94946;6.411442;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
