Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.81607864920487;116.81946252395383;99.277;2.606641768869406;65068.815402;24962.699585000002;0.0;enero
T.HUEVOS KGS;0.89216292602113;2.40571544715788;80.742;2.6964978895580156;1339.991222;496.937612;1.0;enero
T.HUEVOS UNDS.;14.00207452249369;2.40571544715788;80.742;0.17181135861641142;1339.991222;7799.20043;1.0;enero
TOTAL HUEVOS GALLINA;13.92855891360721;2.39999694867653;80.76;0.17230762805848535;1336.806;7758.252;2.0;enero
OTRAS AVES;0.07351560888647;0.00571849848134;1.033;0.0777861813017007;3.185222;40.94843;2.0;enero
MIEL;0.02086812037992;0.16319464352709;6.684;7.820284748025784;90.89994;11.623610000000001;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02086812037992;0.16319464352709;6.684;7.820284748025784;90.89994;11.623610000000001;2.0;enero
TOTAL CARNE;2.5677051389178;19.41518440372919;94.889;7.5612982618058755;10814.32;1430.22;1.0;enero
CARNE CERTIFICADA;0.46938024084479;4.57362536275288;47.626;9.743966543033885;2547.524;261.4463;2.0;enero
CARNE FRESCA;1.87953136472622;13.5871479536482;84.869;7.229008362745426;7568.085;1046.905;2.0;enero
SALCHICHAS FRESCAS;0.01817723821259;0.14040279993643;7.683;7.724099684141284;78.20481;10.124780000000001;3.0;enero
CARNE VACUNO;0.53135654456071;5.48855187040896;58.704;10.329320164761446;3057.141;295.96729999999997;3.0;enero
TERNERA;0.33167349360246;3.23519501069893;37.399;9.754156039302122;1802.014;184.7432;4.0;enero
AÑOJO;0.19204539297417;2.17494977091812;36.261;11.325185870043816;1211.454;106.9699;4.0;enero
MAYOR;0.00763784828818;0.07840626294387;4.845;10.26549101075475;43.67254;4.254306;4.0;enero
CARNE POLLO;0.66643314537206;3.23562768325174;60.477;4.855142193513349;1802.255;371.2054;3.0;enero
POLLO ENTERO;0.14815268348597;0.55394061555993;10.175;3.738984691508348;308.5467;82.52152000000001;4.0;enero
POLLO FILETES;0.08727854577376;0.66633314594803;26.784;7.6345582988425456;371.1497;48.61443;4.0;enero
POLLO POR PIEZAS;0.43100200587841;2.01535463987248;50.608;4.675975082215775;1122.559;240.0695;4.0;enero
CARNE CONEJO;0.01576816950288;0.17057260821339;1.982;10.817527562868891;95.00949;8.782921;3.0;enero
CARNE OVINO/CAPRINO;0.03006063475854;0.443122761919;8.046;14.7409649023792;246.8208;16.743869999999998;3.0;enero
CORDERO;0.0254424566901;0.39572249633174;7.087;15.55362758996382;220.4187;14.17153;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00461817447779;0.04740021172761;0.867;10.263841687989679;26.40207;2.5723380000000002;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.03006063475854;0.443122761919;8.046;14.7409649023792;246.8208;16.743869999999998;4.0;enero
CARNE CERDO;0.47304664701636;3.09238972908845;68.639;6.537177144353549;1722.471;263.4885;3.0;enero
CARNE CERDO ADOBAD;0.07780962365144;0.60574785755957;27.179;7.7849991958968365;337.4035;43.34021;4.0;enero
CARN.CERDO IBERICO;0.02221861529444;0.21605746292984;9.262;9.72416417794671;120.3447;12.37584;4.0;enero
CARNE DESPOJOS;0.0531495861532;0.33295248084985;11.019;6.264441643818218;185.4556;29.604490000000002;3.0;enero
DESPOJOS CERDO;0.01004360103853;0.03163716068717;1.845;3.1499818208403596;17.622;5.594318;4.0;enero
DESPOJOS CORDERO;0.01411603180149;0.08694768592;5.274;6.159499152642072;48.43014;7.862675;4.0;enero
DESPOJOS POLLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS TERNERA;0.02742296592924;0.20653256267392;6.146;7.531372179318978;115.0393;15.27468;4.0;enero
DESPOJOS OT.PROCED;0.00156699636053;0.0078349853933;1.405;5.000002291417953;4.364112;0.872822;4.0;enero
OTRAS CARNES FRESCA;0.10971710594143;0.82393044289921;32.77;7.509589647206362;458.93190000000004;61.11278;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.03718897790234;0.28414576016769;9.913;7.640590739380083;158.2701;20.714380000000002;4.0;enero
OTRAS AVES;0.00467348475168;0.05273863699412;5.119;11.284649420355215;29.37559;2.603146;2.0;enero
CARNE CABALLO;0.02901324402282;0.25519745293422;4.303;8.795895168890507;142.14579999999998;16.16047;4.0;enero
CARNE CONGELADA;0.051298968446;0.28821252309974;5.822;5.618290812282207;160.53529999999998;28.57369;2.0;enero
C.CONG.POLLO;0.02219410915193;0.07087864023267;2.393;3.1935789694220844;39.47963;12.36219;3.0;enero
C.CONG.CERDO;0.01797416936425;0.12495603073677;1.733;6.951978041625423;69.60091;10.01167;3.0;enero
C.CONG.VACA;0.00162005171024;0.0165260969148;0.819;10.200968777912482;9.205089;0.902374;3.0;enero
RESTO CARNES CONG.;0.00951064181021;0.07585168160728;4.638;7.975453509966478;42.249629999999996;5.297458;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.63687496732453;5.53983164686497;89.851;8.69846034322467;3085.704;354.7414;2.0;enero
JAMON CURADO+PALETA;0.05540549775583;1.12403733196108;38.579;20.287469249254077;626.0924;30.86104;3.0;enero
JAMON C.+P.ENTERO;0.00733555559483;0.13809798376809;2.715;18.825838340763713;76.92102;4.085928;4.0;enero
JAMON C.+P.LONCHA;0.04806995652357;0.98593938409942;37.549;20.51051125074323;549.1714000000001;26.775119999999998;4.0;enero
JAMON CURADO NORMAL;0.04048061064902;0.59877931600882;32.272;14.791756013771613;333.522;22.54783;3.0;enero
JAMON C.N.ENTER/PI;0.00387407463434;0.05302023321781;1.181;13.685909080798119;29.532439999999998;2.157872;4.0;enero
JAMON C.N.LONCHA;0.03660653960532;0.54575915460388;31.773;14.908788442939565;303.9896;20.38996;4.0;enero
JAMON IBERICO;0.00381338737167;0.16382559141904;2.479;42.9606477002395;91.25138000000001;2.124069;3.0;enero
JAMON IBE.ENTER/PI;0.00136518244213;0.0395339913257;0.976;28.958760459803976;22.02056;0.760411;4.0;enero
JAMON IBE.LONCHA;0.00244820492953;0.12429161804655;2.437;50.76846980694574;69.23083;1.3636579999999998;4.0;enero
PALETA CURADA NORM.;0.00282014533663;0.05655134393884;1.432;20.05263459445007;31.49928;1.57083;3.0;enero
PALETA C.N.ENTR/PI;0.00209629672304;0.04554375922457;0.671;21.725817115490685;25.36802;1.167644;4.0;enero
PALETA C.N.LONCHA;0.00072384861359;0.01100756855637;0.763;15.207003715406785;6.131251;0.403186;4.0;enero
PALETA IBERICA;0.00829135080785;0.30488118831368;7.075;36.77099128707066;169.8198;4.618309;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00829135080785;0.30488118831368;7.075;36.77099128707066;169.8198;4.618309;4.0;enero
HUESOS JAMON CURADO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LOMO EMBUCHADO N+IB;0.01077202592739;0.19468487507849;9.682;18.07319035348521;108.4401;6.000053;3.0;enero
LOMO EMB.AL CORTE;0.00381115219603;0.0900686015171;4.315;23.63290597807449;50.1685;2.122824;4.0;enero
LOMO EMB.ENVASADO;0.00696087373135;0.10461625560816;5.819;15.029184502643512;58.271589999999996;3.877229;4.0;enero
LOMO EMB.NORMAL;0.00939975555481;0.14606195944178;8.425;15.538910409966661;81.35698;5.2356940000000005;4.0;enero
LOMO E.N.AL CORTE;0.00243888002813;0.04144570383362;2.948;16.99374440544615;23.08539;1.358464;5.0;enero
LOMO E.N.ENVASADO;0.00696087373135;0.10461625560816;5.819;15.029184502643512;58.271589999999996;3.877229;5.0;enero
LOMO EMB.IBERICO;0.00137227037258;0.0486229156367;1.322;35.43246040146057;27.083119999999997;0.764359;4.0;enero
LOMO E.I.AL CORTE;0.00137227037258;0.0486229156367;1.322;35.43246040146057;27.083119999999997;0.764359;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.02301035220643;0.15915335621132;9.163;6.916598006997043;88.64893;12.816840000000001;3.0;enero
O.SALAZONES AL COR;0.0;0.0;0.0;;0.0;0.0;4.0;enero
O.SALAZONES ENVASA;0.02301035220643;0.15915335621132;9.163;6.916598006997043;88.64893;12.816840000000001;4.0;enero
TOCINO Y MANTECA;0.01238938824558;0.08812324467873;9.752;7.112800320072848;49.08493;6.900929;3.0;enero
TOCINO;0.00199149840384;0.01944450200865;0.671;9.763754754248513;10.83065;1.109271;4.0;enero
CHORIZOS;0.08941804871114;0.78894285267654;42.24;8.82308285685259;439.44370000000004;49.80614;3.0;enero
CHOR.IBERICO;0.00736526637523;0.08001391975244;5.821;10.863683087071545;44.56801;4.1024769999999995;4.0;enero
CHOR.NORMAL;0.08205277694994;0.70892895087732;39.739;8.639914177551644;394.8757;45.703660000000006;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.08941804871114;0.78894285267654;42.24;8.82308285685259;439.44370000000004;49.80614;4.0;enero
SALCHICHON/SALAMI;0.01916877648724;0.16796066634542;14.846;8.762200678650604;93.55463;10.67707;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.01841572875995;0.15834235549646;13.771;8.598212840795426;88.1972;10.257620000000001;4.0;enero
FUET/LONGANIZAS;0.0317024744941;0.33250903636627;16.341;10.48842532553949;185.20860000000002;17.65838;3.0;enero
FUET/LONGANIZ.PAVO;0.00115613696754;0.01654899444899;1.787;14.314043157155902;9.217843;0.643972;4.0;enero
FUET/LONGANIZ.CERD;0.0305463411172;0.31596011911611;15.009;10.343632250545271;175.99079999999998;17.01441;4.0;enero
