Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.18859908577102;113.67780327635904;99.632;2.359018635798555;247943.192405;105104.38054299999;0.0;enero
T.HUEVOS KGS;0.59519497743742;1.42864135889042;73.721;2.40029135501334;3116.0164;1298.1825700000002;1.0;enero
T.HUEVOS UNDS.;9.82994941944885;1.42864135889042;73.721;0.14533557579287346;3116.0164;21440.149;1.0;enero
TOTAL HUEVOS GALLINA;9.2017682082026;1.37888290419993;73.092;0.14984977593445348;3007.488;20070.02;2.0;enero
OTRAS AVES;0.62818121124624;0.04975845469048;3.961;0.07921035172600537;108.52839999999999;1370.129;2.0;enero
MIEL;0.02297987332673;0.13808791403162;7.24;6.009080732005081;301.18420000000003;50.12151;1.0;enero
GRANEL;0.00706890408028;0.05308057854784;2.233;7.509025153683806;115.7743;15.41802;2.0;enero
ENVASADA;0.01591096924645;0.08500728963544;5.198;5.342684554204779;185.4098;34.703489999999995;2.0;enero
TOTAL CARNE;3.6569816915159;24.01310661780269;98.075;6.566373212508117;52375.1;7976.26;1.0;enero
CARNE CERTIFICADA;0.44050512320709;3.48978064062149;46.798;7.922224865886099;7611.577;960.7878000000001;2.0;enero
CARNE FRESCA;2.64108411101509;15.85751009827597;93.971;6.004167013136577;34586.89;5760.481;2.0;enero
SALCHICHAS FRESCAS;0.02468509636307;0.18518184740529;10.701;7.501767247799902;403.901;53.84078;3.0;enero
CARNE VACUNO;0.27812438192043;2.97123561449569;51.731;10.683118085438885;6480.576;606.6184000000001;3.0;enero
TERNERA;0.21042887002212;2.19269711037982;46.006;10.42013441477543;4782.502;458.9674;4.0;enero
AÑOJO;0.06104993458212;0.70382361349906;13.35;11.52865467123974;1535.113;133.1563;4.0;enero
MAYOR;0.00664560024035;0.07471470722349;2.584;11.242732713568707;162.9606;14.49475;4.0;enero
CARNE POLLO;1.10212681972218;4.86511259196874;77.733;4.414294711742061;10611.32;2403.854;3.0;enero
POLLO ENTERO;0.3196020787461;1.00911569611127;27.1;3.1574128055435375;2200.987;697.0856;4.0;enero
POLLO FILETES;0.12040503994342;0.7403555596969;29.901;6.148875163737167;1614.793;262.616;4.0;enero
POLLO POR PIEZAS;0.66211951763935;3.11564362857686;71.28;4.705560771996299;6795.545;1444.152;4.0;enero
CARNE CONEJO;0.05128506640302;0.35167202000428;9.477;6.857201221905253;767.0335;111.85810000000001;3.0;enero
CARNE OVINO/CAPRINO;0.05502638150547;0.65437665233577;13.147;11.89205312856456;1427.264;120.0183;3.0;enero
CORDERO;0.04879288894383;0.60248047359481;11.782;12.347710632348079;1314.073;106.4224;4.0;enero
CABRITO;0.00284540442516;0.02853262828249;0.531;10.02761787750005;62.23265;6.206125;4.0;enero
OTRO OVINO/CAPRINO;0.00338810739276;0.02336379803942;0.895;6.895825701773129;50.95889;7.389817;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.05502638150547;0.65437665233577;13.147;11.89205312856456;1427.264;120.0183;4.0;enero
CARNE CERDO;0.84117648716743;5.13489331212101;82.073;6.104418502485973;11199.74;1834.694;3.0;enero
CARNE CERDO ADOBAD;0.09209076431375;0.62994270393314;25.12;6.840454725589416;1373.971;200.8596;4.0;enero
CARN.CERDO IBERICO;0.00695893228541;0.08758236086812;4.607;12.585603261528407;191.0263;15.17816;4.0;enero
CARNE DESPOJOS;0.08394979799506;0.41209213613143;21.206;4.908792468513675;898.8161;183.1033;3.0;enero
DESPOJOS CERDO;0.03824225839836;0.18616845753359;13.142;4.868134501741211;406.0529;83.41037;4.0;enero
DESPOJOS CORDERO;0.00540726904752;0.03967653616707;3.412;7.3376293686015215;86.53868;11.79382;4.0;enero
DESPOJOS POLLO;0.03320327978434;0.13118205576843;11.816;3.950876438124751;286.1218;72.41983;4.0;enero
DESPOJOS TERNERA;0.00709697242549;0.05506512334098;2.824;7.758959742209567;120.1028;15.479239999999999;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.22939513045315;1.46812391995963;48.785;6.399978574346618;3202.132;500.3348;3.0;enero
AVESTRUZ;0.00202215142409;0.00969279461054;1.059;4.793308006032842;21.141;4.4105240000000006;4.0;enero
PAVO;0.07439097219324;0.47225839007724;18.708;6.3483293221451484;1030.045;162.2545;4.0;enero
OTRAS AVES;0.01982173976199;0.12506919015264;9.182;6.309697920283188;272.789;43.233290000000004;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.12194751517677;0.57726526971626;22.754;4.733719000993682;1259.076;265.9803;2.0;enero
C.CONG.POLLO;0.08265137340128;0.27160186151136;13.375;3.286114317697826;592.3921;180.2713;3.0;enero
