Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;52.89940621594658;147.73720088831985;99.471;2.7927950700472004;1048621.934;375473.999237;0.0;enero
T.HUEVOS KGS;0.66396986822582;1.86593307248904;82.116;2.8102676970492118;13244.1818;4712.782990000001;1.0;enero
T.HUEVOS UNDS.;10.79936503993944;1.86593307248904;82.116;0.17278173907338468;13244.1818;76652.671;1.0;enero
TOTAL HUEVOS GALLINA;10.29585588567458;1.82522211069101;82.097;0.1772773561477867;12955.22;73078.82;2.0;enero
OTRAS AVES;0.50350915426486;0.04071096179803;4.218;0.08085446203549056;288.9618;3573.851;2.0;enero
MIEL;0.03467296753796;0.2786615290603;11.647;8.036852592879132;1977.908;246.10479999999998;1.0;enero
GRANEL;0.00930553437756;0.10596645409099;2.085;11.387465758702962;752.1379000000001;66.04963000000001;2.0;enero
ENVASADA;0.025367437387;0.17269506088061;9.293;6.807745624675099;1225.77;180.0552;2.0;enero
TOTAL CARNE;3.79722170930883;29.14020815705602;97.39;7.674086579042566;206833.9;26952.25;1.0;enero
CARNE CERTIFICADA;0.65130581876671;5.79657592830452;55.489;8.899929589575363;41143.44;4622.895;2.0;enero
CARNE FRESCA;2.87441325273264;19.45245156869995;91.937;6.767451252949428;138071.3;20402.26;2.0;enero
SALCHICHAS FRESCAS;0.04975854193637;0.42600481918857;15.333;8.561440962907069;3023.734;353.1805;3.0;enero
CARNE VACUNO;0.3980765069371;4.26859298857876;57.959;10.723046736473732;30297.99;2825.502;3.0;enero
TERNERA;0.34269114945704;3.75832280795773;53.339;10.967084542195865;26676.15;2432.383;4.0;enero
AÑOJO;0.03946405547235;0.34092174959443;11.694;8.638791566498186;2419.824;280.1114;4.0;enero
MAYOR;0.01592125974159;0.16934829013959;5.9;10.636613740882227;1202.015;113.0073;4.0;enero
CARNE POLLO;1.01631403294531;4.96669794735382;75.996;4.8869717295550315;35253.06;7213.682;3.0;enero
