Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;39.58318423173032;109.19809705289336;99.664;2.758699159057521;60822.295692;22047.455045000002;0.0;enero
T.HUEVOS KGS;0.76554959728426;1.90426480128615;86.632;2.4874479825231575;1060.657282;426.403804;1.0;enero
T.HUEVOS UNDS.;12.06749835385439;1.90426480128615;86.632;0.15780112376629626;1060.657282;6721.48117;1.0;enero
TOTAL HUEVOS GALLINA;11.94212246679832;1.89508999024926;86.701;0.15868954580879807;1055.547;6651.648;2.0;enero
OTRAS AVES;0.12537588705607;0.00917481103688;1.506;0.07317843368702867;5.110282;69.83317;2.0;enero
MIEL;0.01309854268216;0.10359027061655;4.892;7.908534035439474;57.69879;7.295763;1.0;enero
GRANEL;0.00708037830604;0.06372409237846;2.287;9.00009711684678;35.49371;3.943703;2.0;enero
ENVASADA;0.00601816437611;0.03986617823809;2.657;6.624308634093663;22.205080000000002;3.35206;2.0;enero
TOTAL CARNE;2.70185967770836;20.03113389049434;97.411;7.413832056402043;11157.15;1504.91;1.0;enero
CARNE CERTIFICADA;0.51457203114435;5.32094953206402;55.019;10.340533900046648;2963.718;286.6117;2.0;enero
CARNE FRESCA;1.99604863578725;13.91451360481284;88.776;6.971029340337117;7750.251;1111.78;2.0;enero
SALCHICHAS FRESCAS;0.00699484362373;0.0603274272338;2.917;8.624556956372091;33.601800000000004;3.896061;3.0;enero
CARNE VACUNO;0.4174845472287;4.97436009800978;58.855;11.915075973542036;2770.671;232.5349;3.0;enero
TERNERA;0.22415681117997;2.42724454950606;43.428;10.828332794033313;1351.952;124.8532;4.0;enero
AÑOJO;0.17557559999709;2.38227609335416;28.959;13.568377914661985;1326.905;97.79392999999999;4.0;enero
MAYOR;0.01775202294376;0.16483965263948;8.955;9.285682716933257;91.81411;9.887707;4.0;enero
CARNE POLLO;0.72490275214083;3.31635855929545;56.527;4.574901322282651;1847.18;403.76390000000004;3.0;enero
POLLO ENTERO;0.06664380139818;0.20651216350898;8.382;3.0987452572685963;115.0253;37.11996;4.0;enero
