Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.49945602326721;118.6703838871167;99.508;2.552081121717572;296744.17274199997;116275.36845000001;0.0;enero
T.HUEVOS KGS;0.64565864616196;1.50373903379524;72.156;2.3290000726142535;3760.2119500000003;1614.5177469999999;1.0;enero
T.HUEVOS UNDS.;10.33509598987651;1.50373903379524;72.156;0.145498313249165;3760.2119500000003;25843.6807;1.0;enero
TOTAL HUEVOS GALLINA;10.04273493080004;1.47966458909604;71.792;0.1473368160458033;3700.012;25112.61;2.0;enero
OTRAS AVES;0.29236105907647;0.02407444469919;2.407;0.08234490863879512;60.199949999999994;731.0707;2.0;enero
MIEL;0.0201994116636;0.13289768358782;6.341;6.579284872304847;332.32059999999996;50.51014;1.0;enero
GRANEL;0.00641173778542;0.05877564604837;1.556;9.166882367213184;146.97289999999998;16.03303;2.0;enero
ENVASADA;0.0137876698791;0.07412203753944;4.788;5.3759654959378835;185.3477;34.4771;2.0;enero
TOTAL CARNE;3.70362044751329;25.83632360035022;98.485;6.975964185989259;64605.66;9261.18;1.0;enero
CARNE CERTIFICADA;0.68595708177076;5.53114425530809;49.688;8.063396970885922;13831.04;1715.287;2.0;enero
CARNE FRESCA;2.80785360611302;18.09382778858908;93.28;6.4440068204399;45244.97;7021.248;2.0;enero
SALCHICHAS FRESCAS;0.05657447215183;0.39568366269503;18.509;6.994031895394528;989.4366;141.4687;3.0;enero
CARNE VACUNO;0.42935887994294;4.14290744474041;61.164;9.649054994020364;10359.65;1073.644;3.0;enero
TERNERA;0.33460706569128;3.30583150887243;51.314;9.87974208507129;8266.479;836.71;4.0;enero
AÑOJO;0.05940654099027;0.50106079392769;14.227;8.43443812036984;1252.94;148.5505;4.0;enero
MAYOR;0.03534514129171;0.33601506195867;8.962;9.506683229397634;840.2308;88.38316999999999;4.0;enero
CARNE POLLO;0.92348926733978;4.31855105999811;73.364;4.676341363920989;10798.86;2309.254;3.0;enero
POLLO ENTERO;0.19053391161613;0.63746143210099;16.794;3.345658663562561;1594.02;476.4443;4.0;enero
POLLO FILETES;0.1405432056962;0.86348066477811;28.133;6.143880527704965;2159.198;351.4388;4.0;enero
POLLO POR PIEZAS;0.59241219001824;2.81760656367069;60.318;4.75615899055672;7045.636;1481.371;4.0;enero
CARNE CONEJO;0.07375176267464;0.4980750804159;12.76;6.753399001636466;1245.474;184.4218;3.0;enero
CARNE OVINO/CAPRINO;0.10029214039582;1.17715454351859;11.695;11.737256168556709;2943.563;250.788;3.0;enero
CORDERO;0.08162051345731;0.96861729130866;10.627;11.867326610425764;2422.1;204.09820000000002;4.0;enero
CABRITO;0.00124175609005;0.02458676690384;0.669;19.79999703713628;61.48105;3.105104;4.0;enero
OTRO OVINO/CAPRINO;0.01742986444992;0.1839505852831;1.394;10.553758797816114;459.98220000000003;43.58468;4.0;enero
OVINO/CAPRINO ENTE;0.0344299677124;0.39119477479962;2.955;11.362043033770599;978.2118;86.09471;4.0;enero
OVINO/CAPRINO PIEZ;0.06586213669169;0.78595968873736;9.308;11.933407086631384;1965.351;164.69320000000002;4.0;enero
CARNE CERDO;0.93200051039784;5.82869584095617;77.835;6.253962069686086;14575.09;2330.537;3.0;enero
CARNE CERDO ADOBAD;0.12790095245793;0.92478376970218;32.074;7.230468201605935;2312.491;319.82590000000005;4.0;enero
