Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;40.95600475334364;116.82221213741668;99.121;2.8523830105249544;746908.644691;261854.260783;0.0;enero
T.HUEVOS KGS;0.60161541335523;1.46359038433701;78.72;2.4327674322280215;9357.53818;3846.458176;1.0;enero
T.HUEVOS UNDS.;9.51570542058063;1.46359038433701;78.72;0.1538078702154384;9357.53818;60839.1376;1.0;enero
TOTAL HUEVOS GALLINA;9.37885850276716;1.45175217536312;78.631;0.154789857948576;9281.85;59964.2;2.0;enero
OTRAS AVES;0.13684691781347;0.01183820897388;1.95;0.08650694632394355;75.68817999999999;874.9376;2.0;enero
MIEL;0.02682185987936;0.18838720517939;8.874;7.0236443716692065;1204.463;171.4869;1.0;enero
GRANEL;0.0067043677703;0.06044745173331;1.717;9.016130051970489;386.4738;42.86471;2.0;enero
ENVASADA;0.02011749367313;0.12793973780532;6.919;6.359626098760557;817.9891;128.6222;2.0;enero
TOTAL CARNE;3.11878225078367;22.88240522150108;97.344;7.336967887306426;146299.8;19940.09;1.0;enero
CARNE CERTIFICADA;0.43536752449338;3.86533464532455;46.179;8.878325616552136;24713.21;2783.544;2.0;enero
CARNE FRESCA;2.24388488190476;14.69842907664463;91.584;6.550438124155275;93975.14;14346.39;2.0;enero
SALCHICHAS FRESCAS;0.02013340032926;0.15282564658379;7.167;7.590652551701743;977.0984;128.7239;3.0;enero
CARNE VACUNO;0.39183568324368;4.02373178199813;60.339;10.268926374160204;25725.93;2505.221;3.0;enero
TERNERA;0.23037248776784;2.36687133078419;43.976;10.274105878343239;15132.71;1472.898;4.0;enero
AÑOJO;0.13625754257607;1.40722777128328;27.693;10.327705495624617;8997.181;871.1694;4.0;enero
MAYOR;0.02520576238509;0.24963174148486;8.518;9.903756834288629;1596.033;161.15429999999998;4.0;enero
CARNE POLLO;0.8761362737288;4.1444628328299;72.804;4.730386079315256;26497.83;5601.621;3.0;enero
POLLO ENTERO;0.16213089965513;0.55355773334981;17.73;3.414264242826493;3539.199;1036.592;4.0;enero
POLLO FILETES;0.15124791588156;0.9540415073599;35.74;6.30779936238581;6099.712;967.0110999999999;4.0;enero
