Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;42.54571130509608;99.63684465746258;99.662;2.341877514820822;116128.86918899999;49587.934661;0.0;enero
T.HUEVOS KGS;0.44034102441438;1.02491309507457;58.098;2.327543967627431;1194.5580889999999;513.226863;1.0;enero
T.HUEVOS UNDS.;6.9198431458467;1.02491309507457;58.098;0.14811218599510123;1194.5580889999999;8065.2248899999995;1.0;enero
TOTAL HUEVOS GALLINA;6.87301097907619;1.02127001378867;58.216;0.14859135492403167;1190.312;8010.641;2.0;enero
OTRAS AVES;0.04683216677051;0.00364308128589;0.742;0.07779015017068222;4.246089;54.58389;2.0;enero
MIEL;0.01801613508965;0.12163097708813;6.356;6.751224748418792;141.7635;20.998189999999997;1.0;enero
GRANEL;0.00559428622084;0.04388823956149;1.874;7.845190222475791;51.152680000000004;6.52026;2.0;enero
ENVASADA;0.01242184886881;0.07774278042589;4.587;6.258551464194121;90.61086999999999;14.47793;2.0;enero
TOTAL CARNE;3.00193558465688;19.81237846959847;97.491;6.599867955482134;23091.75;3498.82;1.0;enero
CARNE CERTIFICADA;0.61417716897119;4.58018381495618;45.062;7.4574309276726;5338.302;715.8366;2.0;enero
CARNE FRESCA;2.18912850555272;13.44521923023383;89.279;6.14181360122533;15670.69;2551.476;2.0;enero
SALCHICHAS FRESCAS;0.03281709096674;0.20823822837507;12.038;6.345420091808889;242.7061;38.249019999999994;3.0;enero
CARNE VACUNO;0.18619169948743;1.7126250057074;42.151;9.198181285320889;1996.101;217.0104;3.0;enero
TERNERA;0.1469682222005;1.37749772408222;38.033;9.372758977807823;1605.503;171.2946;4.0;enero
AÑOJO;0.03012781374873;0.27718402705141;8.863;9.200270200922068;323.06390000000005;35.11461;4.0;enero
MAYOR;0.0090957150173;0.05794358060811;4.264;6.370426128994223;67.53448;10.60125;4.0;enero
CARNE POLLO;0.75270959542858;3.35958840827609;69.962;4.463326133584316;3915.672;877.2991;3.0;enero
POLLO ENTERO;0.09624388303884;0.30679892870068;12.796;3.187723926068627;357.58070000000004;112.1743;4.0;enero
POLLO FILETES;0.11665921056901;0.72289812938262;37.544;6.1966657056618875;842.5532;135.9688;4.0;enero
