Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.76592413571051;125.47531742465517;99.549;2.683050099909008;345151.51233;128641.471265;0.0;enero
T.HUEVOS KGS;0.5753335732898;1.7499008249715;61.447;3.0415413009281425;4813.54364;1582.600124;1.0;enero
T.HUEVOS UNDS.;9.07397471228916;1.7499008249715;61.447;0.1928483250676864;4813.54364;24960.2564;1.0;enero
TOTAL HUEVOS GALLINA;8.9739597438317;1.74233720670543;61.105;0.19415478299900266;4792.738;24685.14;2.0;enero
OTRAS AVES;0.10001496845745;0.00756361826607;1.287;0.07562486278535195;20.80564;275.1164;2.0;enero
MIEL;0.0165930137547;0.12690383126595;4.709;7.64802784725985;349.081;45.643269999999994;1.0;enero
GRANEL;0.00202321819067;0.01719772106598;0.536;8.50018111996826;47.30667;5.565372;2.0;enero
ENVASADA;0.0145697962911;0.10970609929386;4.213;7.529693422060537;301.7743;40.0779;2.0;enero
TOTAL CARNE;3.44552766734845;23.96288138436417;96.512;6.954778396194135;65915.95;9477.793;1.0;enero
CARNE CERTIFICADA;0.89538706936807;7.21220166783264;58.234;8.054842329723085;19838.98;2462.988;2.0;enero
CARNE FRESCA;2.65309388994037;17.26435011252034;89.975;6.507251845847166;47489.95;7298.004;2.0;enero
SALCHICHAS FRESCAS;0.00775363537833;0.05648120426978;4.258;7.2844803132734715;155.36579999999998;21.32833;3.0;enero
CARNE VACUNO;0.40814144495679;3.94187080316088;55.484;9.658099788366576;10843.11;1122.696;3.0;enero
TERNERA;0.37208548978081;3.58854309133322;52.106;9.644404820642588;9871.193;1023.515;4.0;enero
AÑOJO;0.02811182645202;0.28371333646379;6.456;10.09231246315241;780.4250999999999;77.32867;4.0;enero
MAYOR;0.00794435048147;0.06961492066925;2.24;8.762820929357789;191.4934;21.85294;4.0;enero
