Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.95984463855987;131.1929145517917;99.164;2.431306380338256;132195.74941;54372.312136;0.0;enero
T.HUEVOS KGS;0.52952846169835;1.27672415733308;73.618;2.4110586109729537;1286.4833999999998;533.5761620000001;1.0;enero
T.HUEVOS UNDS.;8.4984500923961;1.27672415733308;73.618;0.15023023533143096;1286.4833999999998;8563.412;1.0;enero
TOTAL HUEVOS GALLINA;8.23229556989624;1.25602299641062;73.136;0.15257263126018433;1265.624;8295.223;2.0;enero
OTRAS AVES;0.26615452249986;0.02070116092246;2.705;0.07777873067128033;20.8594;268.189;2.0;enero
MIEL;0.0272087272728;0.2050973418294;9.06;7.537924864070124;206.6651;27.41671;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.0272087272728;0.2050973418294;9.06;7.537924864070124;206.6651;27.41671;2.0;enero
TOTAL CARNE;3.0946853146354;21.31010616259286;97.293;6.886033310661022;21473.0;3118.341;1.0;enero
CARNE CERTIFICADA;0.5227972528647;3.69117178921286;47.563;7.060426903521019;3719.387;526.7935;2.0;enero
CARNE FRESCA;2.26354155359348;13.97047012892572;88.604;6.171952137015946;14077.26;2280.844;2.0;enero
SALCHICHAS FRESCAS;0.02578368029087;0.1691394032755;7.954;6.559940294302286;170.4323;25.98077;3.0;enero
CARNE VACUNO;0.3549218873212;3.14893661922648;46.29;8.872196197854292;3173.007;357.6349;3.0;enero
TERNERA;0.29047859002862;2.53462539651013;40.817;8.725687480995836;2554.0;292.699;4.0;enero
AÑOJO;0.04042410927362;0.4067838559277;13.198;10.062902145208161;409.8933;40.73311;4.0;enero
MAYOR;0.02401912847411;0.20752696982303;6.239;8.640070768876072;209.11329999999998;24.20273;4.0;enero
CARNE POLLO;0.84609864632973;4.09121487142062;77.892;4.835387562866086;4122.488;852.5662;3.0;enero
POLLO ENTERO;0.1383248488416;0.45980972769199;14.985;3.324129623438287;463.3245;139.3822;4.0;enero
POLLO FILETES;0.15187318574474;0.97019515618453;35.074;6.388192566231971;977.6113;153.0341;4.0;enero
POLLO POR PIEZAS;0.55590061174338;2.66120978906129;63.605;4.787204282282296;2681.552;560.1499;4.0;enero
CARNE CONEJO;0.05969647188917;0.40607437914776;11.581;6.802317897474082;409.1784;60.15279;3.0;enero
CARNE OVINO/CAPRINO;0.07386677450432;0.75867947594894;14.482;10.270916539133145;764.4788000000001;74.43141;3.0;enero
CORDERO;0.06487881818343;0.67778780951607;14.439;10.446981441611632;682.9688000000001;65.37475;4.0;enero
CABRITO;0.00898796029054;0.08089164658458;0.519;9.000000441663728;81.50998;9.056664000000001;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.07386677450432;0.75867947594894;14.482;10.270916539133145;764.4788000000001;74.43141;4.0;enero
CARNE CERDO;0.66143421591429;3.84508031686273;69.468;5.813246766419072;3874.472;666.4902;3.0;enero
CARNE CERDO ADOBAD;0.03302090912224;0.21356015234966;6.226;6.467421946472429;215.1926;33.27332;4.0;enero
CARN.CERDO IBERICO;0.00294099611048;0.02809578661674;1.999;9.55315327232167;28.31055;2.9634769999999997;4.0;enero
CARNE DESPOJOS;0.05994559757957;0.33096302815028;9.578;5.521056449741093;333.4929;60.40382;3.0;enero
DESPOJOS CERDO;0.03697493466493;0.20050206797036;5.789;5.4226483369688365;202.03470000000002;37.25757;4.0;enero
DESPOJOS CORDERO;0.00974204409567;0.05260345073844;1.992;5.399631763298409;53.00555;9.816512000000001;4.0;enero
DESPOJOS POLLO;0.00427180048023;0.02318149134816;1.54;5.426632506701198;23.35869;4.304454;4.0;enero
DESPOJOS TERNERA;0.00319141094669;0.01807005303532;1.567;5.662089068805767;18.20818;3.215806;4.0;enero
DESPOJOS OT.PROCED;0.00576540540721;0.03660600475454;1.249;6.349250775801467;36.88582;5.809476;4.0;enero
OTRAS CARNES FRESCA;0.20757797990345;1.38952153741029;37.81;6.693973696326387;1400.143;209.1647;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08412540780699;0.5619956216632;23.796;6.680450488306618;566.2915;84.76846;4.0;enero
OTRAS AVES;0.03480715510939;0.21055790146888;7.479;6.049270640106611;212.1674;35.07322;2.0;enero
CARNE CABALLO;0.00334370481673;0.0421807317024;0.391;12.614968729075548;42.50316;3.3692640000000003;4.0;enero
CARNE CONGELADA;0.06621988709135;0.26923279229426;10.35;4.065739223065287;271.2908;66.72607;2.0;enero
C.CONG.POLLO;0.04588534375463;0.12652713026244;4.993;2.757462839093877;127.49430000000001;46.23609;3.0;enero
C.CONG.CERDO;0.00728162844202;0.05180703849071;1.715;7.1147599610700905;52.203050000000005;7.337289;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.01305292382642;0.09089863346524;4.828;6.963852288883651;91.59346000000001;13.152700000000001;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.76492354645393;7.07039907323401;90.877;9.243275495977661;7124.445;770.7706;2.0;enero
JAMON CURADO+PALETA;0.10336111064878;1.65521260256475;42.901;16.013881741160926;1667.865;104.1512;3.0;enero
JAMON C.+P.ENTERO;0.01854440708662;0.17728890869095;2.199;9.560236024951086;178.6441;18.68616;4.0;enero
JAMON C.+P.LONCHA;0.08481674325871;1.4779237931152;41.401;17.42490617220507;1489.221;85.46508;4.0;enero
JAMON CURADO NORMAL;0.07779361782713;1.18870854612876;34.064;15.280283644478951;1197.795;78.38827;3.0;enero
JAMON C.N.ENTER/PI;0.01377409124346;0.11098106394537;1.649;8.057233104072372;111.82939999999999;13.87938;4.0;enero
JAMON C.N.LONCHA;0.06401952658366;1.07772688673497;32.939;16.83434639783757;1085.965;64.50889;4.0;enero
JAMON IBERICO;0.02247791943161;0.37631138660506;10.348;16.741379812748402;379.1879;22.64974;3.0;enero
JAMON IBE.ENTER/PI;0.00477032477488;0.06630790429041;0.552;13.900081738557692;66.81475999999999;4.806789;4.0;enero
JAMON IBE.LONCHA;0.01770759366431;0.31000344261808;9.896;17.506808011007145;312.37309999999997;17.842950000000002;4.0;enero
PALETA CURADA NORM.;0.00180022810821;0.02911500573517;1.371;16.172953639740925;29.33756;1.813989;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00180022810821;0.02911500573517;1.371;16.172953639740925;29.33756;1.813989;4.0;enero
PALETA IBERICA;0.0012893939101;0.06107793204752;1.029;47.36949009043679;61.54481;1.29925;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0012893939101;0.06107793204752;1.029;47.36949009043679;61.54481;1.29925;4.0;enero
HUESOS JAMON CURADO;0.00432620560899;0.01160104196949;2.206;2.6815743443577205;11.68972;4.359274999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.00831583499692;0.16111047616297;11.192;19.373938542862433;162.342;8.379401;3.0;enero
LOMO EMB.AL CORTE;0.00222324855213;0.03973921458885;1.395;17.87439130487184;40.04298;2.240243;4.0;enero
LOMO EMB.ENVASADO;0.0060925874372;0.12137124172583;9.358;19.92113251994288;122.299;6.139158999999999;4.0;enero
LOMO EMB.NORMAL;0.00561283266882;0.08063449226479;8.118;14.366095877513398;81.25086;5.655737;4.0;enero
LOMO E.N.AL CORTE;0.00061969209151;0.00767006623473;0.816;12.37722142949799;7.728696;0.624429;5.0;enero
LOMO E.N.ENVASADO;0.00499314057731;0.0729644220604;7.333;14.612931667073452;73.52216;5.031308;5.0;enero
LOMO EMB.IBERICO;0.00270300332051;0.08047597397404;2.785;29.772798783991426;81.09113;2.723665;4.0;enero
LOMO E.I.AL CORTE;0.00160355646062;0.03206915430861;0.658;19.998768422603096;32.31429;1.615814;5.0;enero
LOMO E.I.ENVASADO;0.00109944685988;0.04840681966543;2.02;44.02833955107681;48.77684;1.1078510000000001;5.0;enero
OTRAS SALAZONES;0.03809369290915;0.25267426519821;17.177;6.632968502181068;254.6057;38.384879999999995;3.0;enero
O.SALAZONES AL COR;0.020551018606;0.11440191505805;9.465;5.56672723874849;115.2764;20.70811;4.0;enero
O.SALAZONES ENVASA;0.01754267430315;0.13827235014016;7.981;7.8820565069297155;139.3293;17.67677;4.0;enero
TOCINO Y MANTECA;0.02969047685055;0.25093039528954;13.141;8.451544801809513;252.8485;29.91743;3.0;enero
TOCINO;0.00032832231369;0.0029549038005;0.255;9.000009068046621;2.977491;0.330832;4.0;enero
CHORIZOS;0.03685814738355;0.33696564432521;20.788;9.14222955426093;339.5414;37.13989;3.0;enero
CHOR.IBERICO;0.00171189135183;0.02512928248881;1.612;14.679250795807711;25.321369999999998;1.724977;4.0;enero
CHOR.NORMAL;0.03514626297861;0.31183633206398;19.167;8.872531690033469;314.22;35.414919999999995;4.0;enero
CHORIZO DE PAVO;0.00013948875199;0.00183178091943;0.225;13.132104869979722;1.845783;0.140555;4.0;enero
CHORIZO DE CERDO;0.03671866359362;0.33513384653474;20.537;9.12707091531903;337.69559999999996;36.99934;4.0;enero
SALCHICHON/SALAMI;0.0134786396668;0.14439614006643;14.901;10.712960924540207;145.4999;13.58167;3.0;enero
SALCHICHON DE PAVO;0.00110252433574;0.01417920456888;1.223;12.86067264832324;14.28759;1.110952;4.0;enero
SALCHICHON DE CERD;0.01237611731588;0.13021692557341;13.643;10.521629865797644;131.2123;12.47072;4.0;enero
FUET/LONGANIZAS;0.04106211239614;0.36551918190678;24.687;8.90161661388646;368.3132;41.375989999999994;3.0;enero
FUET/LONGANIZ.PAVO;0.00168334555508;0.0191335933637;1.25;11.366408581941066;19.27985;1.696213;4.0;enero
FUET/LONGANIZ.CERD;0.03870025635565;0.33281536891088;23.946;8.599823366861491;335.35940000000005;38.99608;4.0;enero
OTROS PROD.CURADOS;0.03282861898252;0.40118277046358;20.921;12.220519257208984;404.24940000000004;33.07956;3.0;enero
O.PROD.CURAD.CORTE;0.01824709969575;0.26123115656717;10.227;14.31631113562174;263.228;18.386580000000002;4.0;enero
O.PROD.CURAD.ENVAS;0.01458151928677;0.1399516138964;13.077;9.597875992480763;141.0214;14.69298;4.0;enero
SALCHICHAS;0.09776353833028;0.39678766651153;27.501;4.058646743850727;399.8207;98.51084;3.0;enero
JAMON COCIDO;0.09896022092303;0.91001020819261;41.558;9.195717225615336;916.9663;99.71667;3.0;enero
J.COC.SIN/BAJO SAL;0.00512193110622;0.06201072182931;3.925;12.106902756650108;62.484730000000006;5.161083;4.0;enero
PALETA COCIDA;0.00497997521298;0.05171526996666;3.962;10.384644050408506;52.11058;5.018042;3.0;enero
FIAMBRES;0.16884247300195;1.31632901891248;54.838;7.796196037102716;1326.391;170.1331;3.0;enero
PAVO;0.09578398994112;0.78753173014927;33.212;8.221955784399213;793.5516;96.51616;4.0;enero
POLLO;0.00689438948545;0.05858996995804;7.134;8.498210041902437;59.03783;6.94709;4.0;enero
PROD.A BASE SANGRE;0.00914521523825;0.06555821489455;5.369;7.168580857484128;66.05933999999999;9.215121;3.0;enero
MORCILLA;0.00821757608521;0.06100071231295;4.658;7.423200184628962;61.467;8.280391;4.0;enero
FOIE-GRAS Y PATES;0.03595295663554;0.3924249152564;26.136;10.914955318818874;395.4246;36.227779999999996;3.0;enero
COCIDOS Y OTROS;0.04126425720703;0.35798169821491;26.027;8.675345745806604;360.7181;41.57968;3.0;enero
COCIDOS Y O. CORTE;0.00081808359259;0.00614218134281;1.273;7.508011893194167;6.189132;0.824337;4.0;enero
COCIDOS Y O.ENVASA;0.04044617063719;0.35183954862934;25.09;8.698958222407175;354.529;40.75534;4.0;enero
COCIDOS DE PAVO;0.00123022817131;0.01326474467396;0.691;10.782345083056907;13.36614;1.239632;4.0;enero
COCIDOS DE CERDO;0.04003402109641;0.3447169932375;25.23;8.610601278531206;347.352;40.34004;4.0;enero
TOTAL PESCA;1.45664445178709;14.84428074575156;90.593;10.19073716138465;14957.75;1467.779;1.0;enero
PESCADOS;0.82337415171173;7.9992221762011;73.648;9.715172816114398;8060.368;829.668;2.0;enero
PESCADOS FRESCOS;0.65723719779981;6.32580870058545;57.645;9.624848870030265;6374.163;662.2610999999999;3.0;enero
PESCADOS CONGELADOS;0.16613695391191;1.67341347561565;32.99;10.0724940250372;1686.205;167.4069;3.0;enero
MERLUZA/PESCAD;0.11400663655553;0.96690351737672;25.27;8.481116069990712;974.2945;114.8781;3.0;enero
MERLUZA/PESCAD.FRE;0.06137993355669;0.5603000823171;9.854;9.128391802502605;564.583;61.84912;4.0;enero
MERLUZA/PESCAD.CON;0.05262675261953;0.40660343505961;15.119;7.726173758034043;409.7115;53.02903;4.0;enero
SARDINA/BOQUERON;0.05313269520896;0.29177478197474;13.78;5.491435750195559;294.00509999999997;53.53883999999999;3.0;enero
BOQUERONES FRESCOS;0.02982596121199;0.15956479133327;7.686;5.3498624972757325;160.7845;30.05395;4.0;enero
SARDINAS FRESCAS;0.02183726656367;0.12060023527691;7.371;5.522679998672981;121.52210000000001;22.004189999999998;4.0;enero
ATUN Y BONITO;0.04195863936979;0.46130380699287;5.515;10.994250860407806;464.83;42.27937;3.0;enero
TRUCHA FRESCA;0.00147864726293;0.01892095873666;0.479;12.796127386825061;19.06559;1.48995;3.0;enero
LENGUADO;0.00347942239547;0.04749994181359;1.168;13.651674448997568;47.86303;3.5060189999999998;3.0;enero
LENGUADO FRESCO;0.00209574915386;0.03343240366977;0.608;15.952483439239803;33.68796;2.111769;4.0;enero
LENGUADO CONGELADO;0.00138367324161;0.01406752821967;0.56;10.166799354491662;14.17506;1.39425;4.0;enero
BACALAO;0.11477803997006;1.42788826326349;20.112;12.440430797005588;1438.803;115.6554;3.0;enero
BACALAO FRESCO;0.07921436765637;1.01931835983145;12.176;12.867846957424641;1027.11;79.81988;4.0;enero
BACALAO CONGELADO;0.03556367231368;0.40856970494924;10.245;11.488400335756257;411.6928;35.835519999999995;4.0;enero
BACALADILLA;0.00682200479196;0.04566689358145;1.127;6.694057681587489;46.01597;6.8741520000000005;4.0;enero
CABALLA FRESCA;0.00533702096553;0.03776549166997;1.371;7.0761370273477135;38.05417;5.377817;3.0;enero
SALMON;0.15277558780936;1.67241411470167;28.647;10.946867485062693;1685.198;153.9434;3.0;enero
SALMON FRESCO;0.14280291860537;1.480038627383;23.643;10.364204330255848;1491.352;143.8945;4.0;enero
SALMON CONGELADO;0.00997274859711;0.19237588428428;5.083;19.29015681193514;193.8464;10.04898;4.0;enero
LUBINA;0.02832307919879;0.31706794178999;9.461;11.194684715051865;319.49159999999995;28.53958;3.0;enero
DORADA;0.11245479875893;0.97149382916568;17.346;8.638971745868133;978.9199;113.31439999999999;3.0;enero
RODABALLO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RAPE;0.02305744952032;0.29517528860009;4.975;12.80173196692735;297.4316;23.233700000000002;3.0;enero
OTROS PESCADOS;0.17259201163668;1.49101472639842;32.697;8.638955605529947;1502.412;173.91129999999998;3.0;enero
OTROS PESCADOS FRE;0.11455266274705;0.91405121882379;19.821;7.979310099862857;921.0382;115.42830000000001;4.0;enero
OTROS PESCADOS CON;0.05803939851032;0.57696301136762;15.906;9.940885436036595;581.3733000000001;58.483050000000006;4.0;enero
PEZ ESPADA/EMPERDR;0.00713941749838;0.11045925265583;1.526;15.471745794511003;111.3036;7.193991;4.0;enero
MARISCO/MOLUSCO/CRUS;0.34723663318237;3.20067016945932;47.168;9.217547526957688;3225.136;349.89090000000004;2.0;enero
MARISCO/MOLUSC CONG;0.14211329010575;1.54089940931972;26.346;10.842753750708802;1552.678;143.1996;3.0;enero
MARISCO/MOLUSC FRES;0.1765601790791;1.32888107138509;22.017;7.5265050042212405;1339.039;177.9098;3.0;enero
MARISCO/MOLUSC COCI;0.02856322354235;0.33088889482329;11.342;11.584438091611434;333.4182;28.781560000000002;3.0;enero
ALMEJAS,BERBERECHO;0.00539760287913;0.07859740371099;4.051;14.561538792490046;79.1982;5.438862;3.0;enero
ALMEJAS CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BERBEREC.CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
ALMEJAS,BERB.FRESC;0.00539760287913;0.07859740371099;4.051;14.561538792490046;79.1982;5.438862;4.0;enero
MEJILLON;0.07299451205336;0.24912569040169;14.653;3.4129372660174067;251.03;73.55248;3.0;enero
MEJILLON CONGELADO;0.0034850394588;0.01406972145465;1.418;4.037177088224749;14.17727;3.511679;4.0;enero
MEJILLON FRESCO;0.06950947160214;0.23505593917462;13.242;3.3816389875615354;236.8527;70.0408;4.0;enero
CALAMARES,PULPO;0.0699046111667;0.82308178654266;14.084;11.774356123372632;829.3734000000001;70.43896000000001;3.0;enero
CALAMARES CONGELAD;0.02799745823605;0.25096185481384;8.246;8.963737089914137;252.8802;28.211470000000002;4.0;enero
PULPO CONGELADO;0.00603674926259;0.1110765341737;0.968;18.400057604160125;111.9256;6.0828940000000005;4.0;enero
CALAMAR Y PULPO FR;0.0358704076377;0.46104329831371;6.123;12.853026454850795;464.5675;36.1446;4.0;enero
GAMBAS/LANGOSTINOS;0.12324293455975;1.35478009995703;31.192;10.99276080041873;1365.136;124.185;3.0;enero
GAMBAS/LANG.CONG.;0.08747925112531;0.96641108154205;18.896;11.04731772517883;973.7983;88.14794;4.0;enero
GAMBAS/LANG.COCIDO;0.01685723379068;0.15291968632446;5.736;9.071457881125086;154.0886;16.98609;4.0;enero
GAMBAS/LANG.FRESCO;0.01890642979547;0.23544972905612;10.572;12.453420958009968;237.2495;19.05095;4.0;enero
OTROS MARISC/MOLUSC;0.07569699435652;0.69508439491571;15.49;9.182456989533485;700.3976;76.27561999999999;3.0;enero
OTROS MARISC.CONG.;0.0171147652278;0.19838028680445;5.169;11.59117780255706;199.8967;17.24559;4.0;enero
OTROS MARISC.COCI.;0.01170598975167;0.17796920849882;6.078;15.203260234649404;179.3296;11.79547;4.0;enero
OTROS MARISC.FRES.;0.04687623937704;0.31873499885384;5.714;6.799500196466317;321.1714;47.234559999999995;4.0;enero
CONS.PESCADO/MOLUSCO;0.28603317068598;3.6443864152631;66.857;12.74113210898912;3672.244;288.21959999999996;2.0;enero
SARDINAS;0.01466112081498;0.14081233457236;11.688;9.60447269682445;141.8887;14.773190000000001;3.0;enero
ATUN;0.1333260594437;1.31702172389555;42.932;9.878201826339906;1327.089;134.3452;3.0;enero
CHICHARRO/CABALLA;0.00658971143568;0.06699246155441;4.688;10.166220813806094;67.50455000000001;6.640083;3.0;enero
MEJILLONES;0.01481339682157;0.13633605115381;11.584;9.203564367844585;137.37820000000002;14.92663;3.0;enero
BERBERECHOS;0.00881913379541;0.26987766292177;5.495;30.601379816029777;271.94059999999996;8.886547;3.0;enero
ALMEJAS;0.00512982079765;0.05403290403861;3.792;10.533097776702139;54.44593;5.169033000000001;3.0;enero
CALAMARES;0.00315664866854;0.02418106066907;3.09;7.660358566363325;24.3659;3.1807779999999997;3.0;enero
PULPO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
ANCHOAS;0.00406686599354;0.0766131512794;6.922;18.838376135597453;77.19878;4.097953;3.0;enero
SALMON AHUMADO;0.01719955708131;0.48627969204725;12.28;28.272803174421835;489.9968;17.33103;3.0;enero
TRUCHA AHUMADA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
OTROS AHUMADOS;0.0019736326092;0.0302818563626;2.296;15.343208366792895;30.513330000000003;1.9887190000000001;3.0;enero
OTRAS CONS.PESCADO;0.07629723612573;1.04195730836128;36.194;13.656553779276788;1049.922;76.88045;3.0;enero
BOQUERONES;0.00486241583349;0.12376127240023;6.371;25.452630264120383;124.7073;4.899584;4.0;enero
PESCADO SALADO;0.01692177047413;0.22266257370314;7.148;13.158349715443913;224.3646;17.051119999999997;4.0;enero
