Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.90747164638921;136.2887456730429;99.937;2.6771855145296666;142741.79667500002;53317.857840000004;0.0;enero
T.HUEVOS KGS;0.65066443747941;1.7337142289215;62.648;2.664528947728697;1815.8027849999999;681.472343;1.0;enero
T.HUEVOS UNDS.;10.23873858847412;1.7337142289215;62.648;0.16932888889976838;1815.8027849999999;10723.52625;1.0;enero
TOTAL HUEVOS GALLINA;10.153278724394;1.72774698331988;62.131;0.17016640931651436;1809.553;10634.02;2.0;enero
OTRAS AVES;0.08545986408012;0.00596724560161;0.983;0.06982512394385867;6.249785;89.50625;2.0;enero
MIEL;0.01746822775507;0.14357047111189;2.344;8.218948889661398;150.36829999999998;18.29532;1.0;enero
GRANEL;0.01400591275337;0.11285939093469;1.112;8.05798186251753;118.2031;14.66907;2.0;enero
ENVASADA;0.00346231691128;0.03071111836887;1.128;8.870106104043515;32.165240000000004;3.626252;2.0;enero
TOTAL CARNE;3.26815706500923;23.74698861460964;97.027;7.266171160761682;24871.37;3422.899;1.0;enero
CARNE CERTIFICADA;0.56219984921476;5.02202143255701;53.199;8.932804659359725;5259.806;588.8190999999999;2.0;enero
CARNE FRESCA;2.40139198534994;15.28872373456189;92.582;6.366608961732643;16012.62;2515.094;2.0;enero
SALCHICHAS FRESCAS;0.02054209512207;0.14947385544115;9.289;7.276465937522805;156.55120000000002;21.51473;3.0;enero
CARNE VACUNO;0.39654236246103;4.29167705401934;58.159;10.822745462513064;4494.881;415.318;3.0;enero
TERNERA;0.36573408444387;3.95752462922693;54.806;10.820770602347991;4144.907;383.051;4.0;enero
AÑOJO;0.02108043557499;0.17794575708901;7.477;8.44127515562609;186.37120000000002;22.078560000000003;4.0;enero
MAYOR;0.0097277756067;0.15620657222418;3.635;16.0577894206826;163.6027;10.18837;4.0;enero
CARNE POLLO;0.88194274197199;4.17902494845848;64.111;4.738431135692891;4376.895;923.7013000000001;3.0;enero
POLLO ENTERO;0.13792612189051;0.51605856420354;13.8;3.741557850899266;540.4931;144.4567;4.0;enero
POLLO FILETES;0.20663353723998;1.32030566856809;34.927;6.389600092044398;1382.82;216.41729999999998;4.0;enero
POLLO POR PIEZAS;0.53738298736228;2.34266081116605;52.799;4.359387748140104;2453.582;562.8272;4.0;enero
CARNE CONEJO;0.0261913710709;0.19834766008101;6.382;7.573015537982078;207.7391;27.43149;3.0;enero
CARNE OVINO/CAPRINO;0.01464568077544;0.19025799270704;4.782;12.990723724226864;199.2664;15.339129999999999;3.0;enero
CORDERO;0.01305798556776;0.17079980626731;4.035;13.080103771060216;178.8869;13.676260000000001;4.0;enero
CABRITO;0.00090405544152;0.0135603494528;0.126;14.999466658780962;14.20241;0.946861;4.0;enero
OTRO OVINO/CAPRINO;0.00068364072095;0.00589785990193;0.482;8.62713369925001;6.1771139999999995;0.71601;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.01464568077544;0.19025799270704;4.782;12.990723724226864;199.2664;15.339129999999999;4.0;enero
CARNE CERDO;0.76860815098866;4.49688002619431;72.885;5.850679595851183;4709.8;805.0005;3.0;enero
CARNE CERDO ADOBAD;0.04981236531457;0.34874365377205;18.757;7.001146232861614;365.2561;52.1709;4.0;enero
CARN.CERDO IBERICO;0.01779748782493;0.17381064780509;3.815;9.766021447229292;182.0403;18.640169999999998;4.0;enero
