Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.3423939376576;120.2635829272664;99.427;2.652343038892473;5532540.3706;2085906.79617;0.0;enero
T.HUEVOS KGS;0.62375489330575;1.61068939699731;75.81;2.5822473126599963;74097.2778;28694.8804;1.0;enero
T.HUEVOS UNDS.;9.93600189942535;1.61068939699731;75.81;0.1621063898035754;74097.2778;457090.42;1.0;enero
TOTAL HUEVOS GALLINA;9.71101619095375;1.59256645833588;75.393;0.1639958606823696;73263.56;446740.3;2.0;enero
OTRAS AVES;0.22498570847159;0.01812293866142;2.931;0.08055151051388776;833.7178;10350.12;2.0;enero
MIEL;0.0250403581769;0.16855020859973;7.455;6.731142079078565;7753.892;1151.943;1.0;enero
GRANEL;0.00752893227619;0.0626152313219;1.799;8.316615029179438;2880.517;346.3569;2.0;enero
ENVASADA;0.0175114215532;0.10593497727782;5.691;6.049479018935163;4873.375;805.5859;2.0;enero
TOTAL CARNE;3.28620749817779;23.35822366402823;97.285;7.10795763109311;1074559.0;151176.9;1.0;enero
CARNE CERTIFICADA;0.51978725955157;4.35397294314485;50.771;8.376451833200136;200297.8;23912.01;2.0;enero
CARNE FRESCA;2.41988996455077;15.56672415453898;91.164;6.4328231376540215;716123.1;111323.3;2.0;enero
SALCHICHAS FRESCAS;0.02308572239434;0.16897256817774;8.704;7.31935372397773;7773.322;1062.023;3.0;enero
CARNE VACUNO;0.33257958287738;3.40538332867014;54.385;10.239303625339138;156659.4;15299.81;3.0;enero
TERNERA;0.23635333283201;2.4294631584858;43.624;10.2789460566335;111763.7;10873.07;4.0;enero
AÑOJO;0.07453435773346;0.75404553236665;17.859;10.116750922615765;34688.7;3428.838;4.0;enero
MAYOR;0.0216918140569;0.22187333356783;6.313;10.228436081268393;10206.94;997.8984;4.0;enero
CARNE POLLO;0.91326900677892;4.36356352707795;74.12;4.777960814052045;200739.0;42013.53;3.0;enero
POLLO ENTERO;0.20702116660755;0.73653967343908;18.809;3.55779887394475;33883.37;9523.689;4.0;enero
POLLO FILETES;0.1314402353155;0.8579909851783;31.792;6.527612972685124;39470.55;6046.705;4.0;enero
POLLO POR PIEZAS;0.57480747443088;2.76903112946077;62.955;4.817319281038213;127385.0;26443.13;4.0;enero
CARNE CONEJO;0.06044565516325;0.41923829073708;12.679;6.935788678355053;19286.41;2780.709;3.0;enero
CARNE OVINO/CAPRINO;0.06040626681764;0.73982660044842;11.567;12.24751403164637;34034.58;2778.897;3.0;enero
CORDERO;0.05373709387204;0.65968044686423;10.833;12.276072249738279;30347.58;2472.092;4.0;enero
CABRITO;0.00432088847182;0.0582752312422;0.776;13.486863088967572;2680.862;198.77579999999998;4.0;enero
OTRO OVINO/CAPRINO;0.00234829751626;0.021870704967;0.341;9.313430183153166;1006.128;108.02980000000001;4.0;enero
OVINO/CAPRINO ENTE;0.01070333947681;0.12582448324022;0.937;11.75562855992783;5788.361;492.39059999999995;4.0;enero
OVINO/CAPRINO PIEZ;0.04970294038332;0.61400192157071;10.888;12.353432550173693;28246.21;2286.507;4.0;enero
CARNE CERDO;0.7604148365331;4.80634765782069;72.083;6.320691584259317;221108.6;34981.71;3.0;enero
CARNE CERDO ADOBAD;0.06349323058673;0.45644071359852;19.133;7.188809096349491;20997.85;2920.908;4.0;enero
CARN.CERDO IBERICO;0.04291881955052;0.37333717346832;6.515;8.698682241920894;17174.8;1974.414;4.0;enero
CARNE DESPOJOS;0.06247750253722;0.32441171816101;14.432;5.192456564148187;14924.06;2874.181;3.0;enero
DESPOJOS CERDO;0.03031261431539;0.16152193219408;8.048;5.328538492705192;7430.567;1394.485;4.0;enero
DESPOJOS CORDERO;0.00444992660497;0.02623126871941;1.584;5.894764351869945;1206.729;204.712;4.0;enero
DESPOJOS POLLO;0.0131264161585;0.04829189420279;3.619;3.678985461046053;2221.594;603.8605;4.0;enero
DESPOJOS TERNERA;0.01206491763409;0.0765548581337;4.058;6.3452449867835465;3521.788;555.0279;4.0;enero
DESPOJOS OT.PROCED;0.00252363217176;0.01181185838224;0.644;4.680499208412363;543.3863;116.0958;4.0;enero
OTRAS CARNES FRESCA;0.23029726600571;1.50795455324848;45.04;6.547861289899353;69371.12;10594.47;3.0;enero
AVESTRUZ;0.00044201201482;0.0036001121795;0.133;8.144828780057914;165.6176;20.33408;4.0;enero
PAVO;0.1139103781906;0.75070360948842;26.898;6.590300387136467;34534.96;5240.271;4.0;enero
OTRAS AVES;0.02459678280124;0.14558830299161;7.535;5.9189977879645115;6697.565;1131.537;2.0;enero
CARNE CABALLO;0.00370458476663;0.04571350092712;0.992;12.339709793884298;2102.979;170.42370000000003;4.0;enero
CARNE CONGELADA;0.07269614798796;0.34448238442826;11.047;4.73866076762849;15847.38;3344.274;2.0;enero
C.CONG.POLLO;0.05036195609751;0.17712462973337;7.123;3.5170323684492217;8148.345;2316.824;3.0;enero
C.CONG.CERDO;0.00963089829611;0.06803945430599;2.449;7.064704891902714;3130.05;443.0546;3.0;enero
C.CONG.VACA;0.00466191720263;0.04282800028562;1.303;9.186778405543489;1970.236;214.46429999999998;3.0;enero
RESTO CARNES CONG.;0.00804138073919;0.05649034357826;2.227;7.024955714750281;2598.751;369.93129999999996;3.0;enero
C.CONG.CABALLO;6.269939891e-05;0.00048739317115;0.041;7.77349033018778;22.421770000000002;2.884389;4.0;enero
SALCHICHAS CONGELAD;9.533409966e-05;0.00092026195975;0.022;9.653019884178072;42.33523;4.3856980000000005;3.0;enero
CARNE TRANSFORMADA;0.79362082046412;7.44701234281152;91.206;9.383589934619398;342588.3;36509.3;2.0;enero
