Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.89672753507244;144.55318093020472;98.895;2.8970473229651823;82036.732022;28317.360013999998;0.0;enero
T.HUEVOS KGS;0.79716228505719;2.33203629714117;78.463;2.9254222645190286;1323.4758;452.405048;1.0;enero
T.HUEVOS UNDS.;12.54943077886306;2.33203629714117;78.463;0.1858280537368282;1323.4758;7122.04521;1.0;enero
TOTAL HUEVOS GALLINA;12.43829587860677;2.32215857283785;78.708;0.18669427030047142;1317.87;7058.974;2.0;enero
OTRAS AVES;0.11113490025628;0.00987772430331;1.511;0.08888048921211437;5.6058;63.07121;2.0;enero
MIEL;0.01044660002772;0.07654466317318;3.783;7.327232110929845;43.440580000000004;5.928648;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01044660002772;0.07654466317318;3.783;7.327232110929845;43.440580000000004;5.928648;2.0;enero
TOTAL CARNE;3.61136211757266;29.60882131876944;96.107;8.198796009598356;16803.58;2049.518;1.0;enero
CARNE CERTIFICADA;0.60959362885292;6.6600509420685;54.016;10.925394601975626;3779.708;345.9562;2.0;enero
CARNE FRESCA;2.72166915674941;20.97840243173225;82.549;7.707917907548881;11905.65;1544.6;2.0;enero
SALCHICHAS FRESCAS;0.05535546617896;0.45821113407807;8.626;8.277613137547629;260.0437;31.4153;3.0;enero
CARNE VACUNO;0.34680154716838;4.52520403333134;59.2;13.048396324293785;2568.141;196.8166;3.0;enero
TERNERA;0.28763916255541;3.74044493345768;52.321;13.003948767710035;2122.775;163.24079999999998;4.0;enero
AÑOJO;0.03398190543757;0.43067515826145;11.431;12.673661253415151;244.4165;19.28539;4.0;enero
MAYOR;0.02518054965756;0.35408447022851;6.946;14.061824505176533;200.94979999999998;14.29045;4.0;enero
CARNE POLLO;0.98481076937195;4.81943539363972;70.576;4.893767963883291;2735.123;558.8992;3.0;enero
POLLO ENTERO;0.38303308502154;1.43315263700761;17.332;3.7415896773694937;813.3419;217.3787;4.0;enero
POLLO FILETES;0.09188852677335;0.69693954425798;19.435;7.584619851148221;395.5267;52.14852;4.0;enero
POLLO POR PIEZAS;0.50988919281813;2.68934250755238;57.787;5.274366559307742;1526.254;289.372;4.0;enero
CARNE CONEJO;0.12628243576022;1.08449177008382;11.393;8.587827464327392;615.4701;71.66772999999999;3.0;enero
CARNE OVINO/CAPRINO;0.09735501848108;1.59309149152496;15.085;16.363732618822585;904.1103;55.25086;3.0;enero
CORDERO;0.09735501848108;1.59309149152496;15.085;16.363732618822585;904.1103;55.25086;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.09735501848108;1.59309149152496;15.085;16.363732618822585;904.1103;55.25086;4.0;enero
CARNE CERDO;0.86010172480694;6.43731493721467;65.71;7.484364641472542;3653.301;488.12440000000004;3.0;enero
CARNE CERDO ADOBAD;0.03564923175046;0.2597245212579;11.626;7.285557317922481;147.39870000000002;20.231630000000003;4.0;enero
CARN.CERDO IBERICO;0.05788945892636;0.6132525347211;10.819;10.593509528240467;348.03270000000003;32.85339;4.0;enero
CARNE DESPOJOS;0.00681284396135;0.04325055803254;2.182;6.348385237924168;24.54553;3.866421;3.0;enero
DESPOJOS CERDO;0.00523106362535;0.02920228013798;2.39;5.582474660881927;16.572860000000002;2.96873;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS TERNERA;0.001581780336;0.01404828670483;0.751;8.881313280404951;7.972675000000001;0.897691;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.2995055414038;2.47560707634395;39.721;8.265646988501851;1404.955;169.9752;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.20091331407789;1.63866138884337;24.429;8.156061714297742;929.9721;114.0222;4.0;enero
OTRAS AVES;0.00664342243512;0.05261985917226;2.954;7.9205950978059665;29.86279;3.770271;2.0;enero
CARNE CABALLO;0.02168047536894;0.31865308125796;1.651;14.697698082507522;180.84179999999998;12.30409;4.0;enero
CARNE CONGELADA;0.11668954754339;0.64105299489641;8.581;5.493662529268276;363.81;66.22358;2.0;enero
C.CONG.POLLO;0.0754070456405;0.30690669831115;6.616;4.070000299100642;174.1755;42.794959999999996;3.0;enero
C.CONG.CERDO;0.03551318353371;0.2758133109572;1.478;7.766504816313245;156.52939999999998;20.15442;3.0;enero
C.CONG.VACA;0.00347746713124;0.04001754070197;1.344;11.507668999204471;22.710729999999998;1.97353;3.0;enero
RESTO CARNES CONG.;0.0022918600482;0.01831555064935;0.801;7.9915659176965805;10.39443;1.300675;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00367534583531;0.02112750747125;0.701;5.748440668702627;11.99027;2.08583;3.0;enero
CARNE TRANSFORMADA;0.77300214460072;7.98937117830384;93.512;10.335509718967925;4534.123;438.69370000000004;2.0;enero
JAMON CURADO+PALETA;0.13115823398651;2.52295347686308;54.385;19.235951874149258;1431.825;74.43484;3.0;enero
JAMON C.+P.ENTERO;0.0276978909913;0.66045603263205;2.821;23.84499357151082;374.8216;15.71909;4.0;enero
JAMON C.+P.LONCHA;0.10346034299521;1.86249673940929;54.413;18.002035229048424;1057.003;58.71575;4.0;enero
JAMON CURADO NORMAL;0.10852667215891;1.93922011013516;49.938;17.868603833125594;1100.545;61.59099;3.0;enero
JAMON C.N.ENTER/PI;0.0276978909913;0.66045603263205;2.821;23.84499357151082;374.8216;15.71909;4.0;enero
JAMON C.N.LONCHA;0.08082878116761;1.27876442991398;50.041;15.820657090724387;725.7236;45.871900000000004;4.0;enero
JAMON IBERICO;0.00733590979663;0.13729976871764;2.514;18.716120089227918;77.92028;4.163271;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00733590979663;0.13729976871764;2.514;18.716120089227918;77.92028;4.163271;4.0;enero
PALETA CURADA NORM.;0.01297667396623;0.32631889872943;10.728;25.146574505799023;185.1923;7.364514;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.01297667396623;0.32631889872943;10.728;25.146574505799023;185.1923;7.364514;4.0;enero
PALETA IBERICA;0.0023189903991;0.12011360680713;2.205;51.79564643879667;68.16680000000001;1.316072;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0023189903991;0.12011360680713;2.205;51.79564643879667;68.16680000000001;1.316072;4.0;enero
HUESOS JAMON CURADO;0.00463949792701;0.00969102407207;1.269;2.088808794514253;5.499844;2.6330050000000003;3.0;enero
LOMO EMBUCHADO N+IB;0.00682904428909;0.18247112458204;8.886;26.719862525044412;103.5559;3.875615;3.0;enero
LOMO EMB.AL CORTE;0.00289624645402;0.08473990749616;4.629;29.25852783638625;48.09154;1.643676;4.0;enero
LOMO EMB.ENVASADO;0.00393279783506;0.0977311466037;4.549;24.850284886818148;55.46432;2.2319389999999997;4.0;enero
LOMO EMB.NORMAL;0.00310492478923;0.04761449708925;3.71;15.335153126516296;27.02215;1.762105;4.0;enero
LOMO E.N.AL CORTE;0.00167468112776;0.02483971548367;2.38;14.832504571691917;14.09702;0.950414;5.0;enero
LOMO E.N.ENVASADO;0.00143024189941;0.02277478160557;1.421;15.923727038647758;12.92513;0.81169;5.0;enero
LOMO EMB.IBERICO;0.00372412126191;0.13485653939007;4.991;36.21164025169493;76.5337;2.113511;4.0;enero
LOMO E.I.AL CORTE;0.0012215635642;0.05990019201249;2.291;49.035673433237974;33.994519999999994;0.693261;5.0;enero
LOMO E.I.ENVASADO;0.00250255593564;0.07495636499812;3.124;29.951923923199384;42.539190000000005;1.420249;5.0;enero
OTRAS SALAZONES;0.04192383682648;0.34466858037164;10.028;8.221303355372408;195.6061;23.79259;3.0;enero
O.SALAZONES AL COR;0.0221474550141;0.17244582822649;5.382;7.786259329419506;97.86635000000001;12.56911;4.0;enero
O.SALAZONES ENVASA;0.01977638181237;0.1722227345246;6.986;8.708505739752733;97.73974000000001;11.22348;4.0;enero
TOCINO Y MANTECA;0.02115987640975;0.13644538380198;12.375;6.448307218802461;77.43539999999999;12.00864;3.0;enero
TOCINO;0.00390153370464;0.03504035386808;3.381;8.981174204993598;19.886080000000003;2.214196;4.0;enero
CHORIZOS;0.08648108150707;0.79678001088898;36.298;9.213344664564914;452.18809999999996;49.07969;3.0;enero
CHOR.IBERICO;0.00101990172944;0.01590827075473;1.015;15.597846631214866;9.028252;0.5788139999999999;4.0;enero
CHOR.NORMAL;0.08546118682584;0.78087183176107;36.529;9.13715173827774;443.15990000000005;48.500879999999995;4.0;enero
CHORIZO DE PAVO;0.00780665847606;0.09434456623609;2.652;12.085140719975263;53.542370000000005;4.43043;4.0;enero
CHORIZO DE CERDO;0.078674423031;0.70243556799669;33.63;8.928385375255939;398.6458;44.649260000000005;4.0;enero
SALCHICHON/SALAMI;0.00476695612878;0.05367025501437;2.856;11.258810352857681;30.45891;2.70534;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.00476695612878;0.05367025501437;2.856;11.258810352857681;30.45891;2.70534;4.0;enero
FUET/LONGANIZAS;0.05187221950943;0.54880504427572;26.546;10.579941430419833;311.4575;29.43849;3.0;enero
FUET/LONGANIZ.PAVO;0.01578035618088;0.16610562186683;6.319;10.526100929713932;94.26816000000001;8.955658;4.0;enero
FUET/LONGANIZ.CERD;0.03609185980444;0.3826993519267;20.217;10.603481061943098;217.18929999999997;20.482830000000003;4.0;enero
OTROS PROD.CURADOS;0.04040159806918;0.39222237468836;27.081;9.708090606135807;222.5938;22.92869;3.0;enero
O.PROD.CURAD.CORTE;0.01758114225267;0.20418051526295;10.742;11.613609191513142;115.87639999999999;9.977639;4.0;enero
O.PROD.CURAD.ENVAS;0.02282045405446;0.18804185942541;17.149;8.240057755934847;106.7174;12.951049999999999;4.0;enero
SALCHICHAS;0.06918539029785;0.31881783334015;21.378;4.608167012827255;180.93529999999998;39.264050000000005;3.0;enero
JAMON COCIDO;0.09433267236919;0.94091588092341;38.503;9.97444318380921;533.988;53.53562;3.0;enero
J.COC.SIN/BAJO SAL;0.00160748166082;0.01557220293787;2.371;9.687328519736878;8.837527;0.912277;4.0;enero
PALETA COCIDA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
FIAMBRES;0.16254806936515;1.26182703483732;59.215;7.7627931218467205;716.1113;92.24918;3.0;enero
PAVO;0.11034016088054;0.92544292922119;47.095;8.387181256904723;525.2068;62.62018;4.0;enero
POLLO;0.00332486969999;0.04989329150441;1.66;15.006089262547377;28.31541;1.8869280000000002;4.0;enero
PROD.A BASE SANGRE;0.02471779894284;0.14858618499562;8.706;6.011303245049305;84.32553999999999;14.02783;3.0;enero
MORCILLA;0.02471779894284;0.14858618499562;8.706;6.011303245049305;84.32553999999999;14.02783;4.0;enero
FOIE-GRAS Y PATES;0.00660806329037;0.07032459367945;8.926;10.642239728825418;39.91057;3.750204;3.0;enero
COCIDOS Y OTROS;0.02637770700689;0.26119354597367;16.892;9.902056532258817;148.23239999999998;14.96986;3.0;enero
COCIDOS Y O. CORTE;0.00439544106446;0.04627043726833;3.159;10.526915635931559;26.25937;2.494498;4.0;enero
COCIDOS Y O.ENVASA;0.02198228003886;0.21492305584371;14.499;9.777104807312327;121.973;12.475370000000002;4.0;enero
COCIDOS DE PAVO;0.00213020213345;0.02156248820933;2.019;10.122273314192455;12.237129999999999;1.208931;4.0;enero
COCIDOS DE CERDO;0.02198228003886;0.21492305584371;14.499;9.777104807312327;121.973;12.475370000000002;4.0;enero
TOTAL PESCA;1.66729935345362;17.98874242812927;85.899;10.789149765378138;10208.96;946.2247;1.0;enero
PESCADOS;1.04218554984176;10.9371947253558;67.358;10.494479343929138;6207.07;591.4605;2.0;enero
PESCADOS FRESCOS;0.89414232427509;9.62929930802303;57.918;10.769313840310373;5464.814;507.44309999999996;3.0;enero
PESCADOS CONGELADOS;0.14804324318721;1.30789453630558;26.747;8.834543935596205;742.2555;84.01741;3.0;enero
MERLUZA/PESCAD;0.11669397029982;1.45652681664313;13.857;12.481594489422521;826.6071999999999;66.22609;3.0;enero
MERLUZA/PESCAD.FRE;0.1028079952319;1.29828623011315;8.282;12.628261325246338;736.8026;58.34553;4.0;enero
MERLUZA/PESCAD.CON;0.01388597154381;0.15824056890944;4.906;11.395714618178053;89.80458999999999;7.880558;4.0;enero
