Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.27630817452222;119.72658344507134;99.146;2.334929867368263;261142.03887000002;111841.491481;0.0;enero
T.HUEVOS KGS;0.58783165819306;1.64045080820416;68.974;2.790681286623377;3578.07478;1282.150992;1.0;enero
T.HUEVOS UNDS.;9.33626018374056;1.64045080820416;68.974;0.17570748628675434;3578.07478;20363.8152;1.0;enero
TOTAL HUEVOS GALLINA;9.15683437695658;1.61918463728322;68.931;0.17682799214518394;3531.69;19972.46;2.0;enero
OTRAS AVES;0.17942580678397;0.02126617092093;3.027;0.11852347943760552;46.38478;391.3552;2.0;enero
MIEL;0.01595260597307;0.09907675668371;6.494;6.210694155610507;216.10160000000002;34.79508;1.0;enero
GRANEL;0.00454785354199;0.0331222469597;1.296;7.2830504882975715;72.2447;9.919566000000001;2.0;enero
ENVASADA;0.01140475059718;0.06595450972401;5.152;5.783073392264119;143.8569;24.87551;2.0;enero
TOTAL CARNE;3.21384463491304;25.02511798920789;97.162;7.786660785450495;54583.62;7009.888;1.0;enero
CARNE CERTIFICADA;0.45565851609665;4.39431596536556;45.443;9.64387981378887;9584.677;993.8611;2.0;enero
CARNE FRESCA;2.27683990866803;16.24113680895616;92.385;7.133192257885758;35424.41;4966.137;2.0;enero
SALCHICHAS FRESCAS;0.0387691676522;0.30514264355752;16.15;7.870755603909581;665.5629;84.5615;3.0;enero
CARNE VACUNO;0.29986103418028;3.56542193189914;46.911;11.890247566329364;7776.732;654.0429;3.0;enero
TERNERA;0.2257890301135;2.66719943978787;38.699;11.812794618264073;5817.571;492.4805;4.0;enero
AÑOJO;0.06363523217569;0.77989151840929;20.969;12.255656053176482;1701.063;138.7982;4.0;enero
MAYOR;0.0104368039842;0.11833106539658;1.534;11.337864117759981;258.0982;22.76427;4.0;enero
