Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;55.42961967168859;153.5917911322949;99.025;2.77093351969622;1090186.31994;393436.47625999997;0.0;enero
T.HUEVOS KGS;0.6617467508808;2.13795326426867;79.135;3.230772590002129;15175.07794;4697.04305;1.0;enero
T.HUEVOS UNDS.;10.48108389536999;2.13795326426867;79.135;0.20398207719843864;15175.07794;74394.173;1.0;enero
TOTAL HUEVOS GALLINA;10.3136279986501;2.1238804701632;79.192;0.20592952067315087;15075.19;73205.58;2.0;enero
OTRAS AVES;0.16745589671988;0.01407279410546;2.21;0.0840388089110402;99.88794;1188.593;2.0;enero
MIEL;0.02123759308359;0.17296396864876;7.283;8.14423592955707;1227.689;150.74329999999998;1.0;enero
GRANEL;0.00627180267577;0.0674839685533;1.529;10.759899831345026;478.9976;44.51692;2.0;enero
ENVASADA;0.01496577913695;0.10548005644979;5.698;7.04808319596936;748.6918000000001;106.22630000000001;2.0;enero
TOTAL CARNE;3.07656586690416;26.70961233172775;95.691;8.681631886725922;189583.4;21837.3;1.0;enero
CARNE CERTIFICADA;0.48643265886266;4.98398091360093;47.612;10.2459833294378;35376.03;3452.673;2.0;enero
CARNE FRESCA;2.21569998413413;16.74657587271274;88.29;7.558142344464142;118866.3;15726.92;2.0;enero
SALCHICHAS FRESCAS;0.04498281283647;0.38373211053314;13.554;8.530638400228511;2723.71;319.2856;3.0;enero
CARNE VACUNO;0.28250832734478;3.38931829362085;50.658;11.997233233710464;24057.2;2005.229;3.0;enero
TERNERA;0.23370562097862;2.83930287902855;46.924;12.149056865381024;20153.22;1658.83;4.0;enero
AÑOJO;0.03158623402566;0.34974171638272;8.583;11.072599414623006;2482.448;224.1974;4.0;enero
MAYOR;0.01721647234049;0.20027440263866;4.596;11.63272002985231;1421.537;122.2016;4.0;enero
CARNE POLLO;0.82306776762456;4.69823911585406;69.791;5.708204476787506;33347.85;5842.091;3.0;enero
POLLO ENTERO;0.16907397033619;0.64544935421638;15.903;3.8175560255250076;4581.365;1200.078;4.0;enero
POLLO FILETES;0.11972034406849;0.92574985991196;28.875;7.732602734438528;6570.923;849.7686;4.0;enero
POLLO POR PIEZAS;0.53427339686555;3.12704102881226;60.826;5.852885521079339;22195.57;3792.244;4.0;enero
CARNE CONEJO;0.07750065433169;0.57716425254929;13.763;7.4472178012726875;4096.681;550.0955;3.0;enero
CARNE OVINO/CAPRINO;0.08540503904528;1.14420529555343;15.087;13.397397956187424;8121.508;606.2004000000001;3.0;enero
CORDERO;0.07101313010957;0.94826566775382;13.802;13.353385018948613;6730.739;504.04740000000004;4.0;enero
CABRITO;0.01429004848951;0.1942172986782;1.405;13.591087449472543;1378.544;101.43;4.0;enero
OTRO OVINO/CAPRINO;0.00010186819491;0.00172245028321;0.114;16.908616910193555;12.22586;0.723055;4.0;enero
OVINO/CAPRINO ENTE;0.02021077497844;0.25967299046837;0.701;12.848245094280434;1843.145;143.455;4.0;enero
OVINO/CAPRINO PIEZ;0.06519426406684;0.88453244597087;14.364;13.56764216348774;6278.364;462.7454;4.0;enero
CARNE CERDO;0.68653306751646;5.00512646597982;68.081;7.290437566373725;35526.12;4872.975;3.0;enero
CARNE CERDO ADOBAD;0.04781037710917;0.39682462957219;13.742;8.299968616981307;2816.64;339.3555;4.0;enero
CARN.CERDO IBERICO;0.02103839462595;0.27031635045249;5.844;12.848715658135639;1918.691;149.3294;4.0;enero
CARNE DESPOJOS;0.04497054168175;0.28228784104008;9.956;6.2771723551332474;2003.664;319.1985;3.0;enero
DESPOJOS CERDO;0.02704755514264;0.16701252905158;7.926;6.174773585662413;1185.446;191.9821;4.0;enero
DESPOJOS CORDERO;0.00361983989511;0.03223206870259;1.68;8.904280199257164;228.7815;25.69343;4.0;enero
DESPOJOS POLLO;0.00966827092464;0.04254568543037;3.039;4.400547498304915;301.987;68.62487;4.0;enero
DESPOJOS TERNERA;0.0046348771282;0.04049760012128;0.765;8.737577933808355;287.4498;32.89811;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.21571407940062;1.65023784848898;47.437;7.650116548137418;11713.3;1531.127;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.12033352141287;0.87811185660074;30.594;7.297317042587297;6232.791;854.1209;4.0;enero
