Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.73373299982079;116.5877887977707;98.888;2.6658549545324295;745106.46575;279500.002235;0.0;enero
T.HUEVOS KGS;0.57898402919937;1.7126590419923;76.449;2.9580419417796198;10945.514439999999;3700.2566749999996;1.0;enero
T.HUEVOS UNDS.;9.1643014228254;1.7126590419923;76.449;0.1868837528332068;10945.514439999999;58568.5715;1.0;enero
TOTAL HUEVOS GALLINA;9.02483361057631;1.69784990197163;76.138;0.1881308814360743;10850.87;57677.24;2.0;enero
OTRAS AVES;0.13946781224908;0.01480914002067;1.381;0.10618321017489005;94.64444;891.3315;2.0;enero
MIEL;0.01375518992278;0.08079214863178;4.917;5.8735756529217245;516.3384;87.9087;1.0;enero
GRANEL;0.00094620254187;0.00735393119854;0.266;7.7720476040621564;46.99858999999999;6.047131;2.0;enero
ENVASADA;0.01280898753738;0.07343821586853;4.728;5.733334945811569;469.33979999999997;81.86157;2.0;enero
TOTAL CARNE;2.60433986753101;20.92426747404292;95.67;8.03438435010394;133725.9;16644.2;1.0;enero
CARNE CERTIFICADA;0.3696038670259;3.62664990073836;40.929;9.81226178698025;23177.73;2362.119;2.0;enero
CARNE FRESCA;1.8328705647305;13.24025064741905;87.463;7.223778319210366;84617.75;11713.78;2.0;enero
SALCHICHAS FRESCAS;0.01444167496006;0.11096172718806;6.158;7.683438901300045;709.1505999999999;92.29599;3.0;enero
CARNE VACUNO;0.32558629540968;3.66278851573968;54.923;11.249823986389883;23408.69;2080.805;3.0;enero
TERNERA;0.22400402216253;2.47068519935545;41.992;11.029646590732874;15790.02;1431.598;4.0;enero
AÑOJO;0.08197471189207;0.9769353858728;21.471;11.917521432207646;6243.543;523.8960999999999;4.0;enero
MAYOR;0.01960756135507;0.21516746109748;5.256;10.973698217792707;1375.124;125.31089999999999;4.0;enero
CARNE POLLO;0.72958083637273;3.9500917567707;68.033;5.414193410574488;25244.83;4662.713;3.0;enero
POLLO ENTERO;0.13816665937886;0.5204509774507;14.432;3.7668347761348353;3326.175;883.0159;4.0;enero
POLLO FILETES;0.13096722639242;0.96721695247424;28.59;7.3851831417434095;6181.433;837.0047;4.0;enero
POLLO POR PIEZAS;0.46044704448423;2.46242351390312;57.368;5.347897317185312;15737.22;2942.693;4.0;enero
CARNE CONEJO;0.03376519550103;0.22531728591256;8.322;6.673063270303385;1439.991;215.79160000000002;3.0;enero
CARNE OVINO/CAPRINO;0.04834383136816;0.56286174512922;7.374;11.642886573112822;3597.22;308.96290000000005;3.0;enero
CORDERO;0.04552838040191;0.51942436915046;6.68;11.408804015541149;3319.614;290.9695;4.0;enero
CABRITO;0.00181877406392;0.03374496375995;0.632;18.553686479938815;215.6623;11.62369;4.0;enero
OTRO OVINO/CAPRINO;0.00099668488235;0.00969236684213;0.398;9.72460505190069;61.94341;6.3697610000000005;4.0;enero
OVINO/CAPRINO ENTE;0.00603235569224;0.05453422778308;0.09;9.040287172261596;348.52540000000005;38.55247;4.0;enero
OVINO/CAPRINO PIEZ;0.04231147098178;0.50832757993467;7.3;12.013942511086851;3248.695;270.41040000000004;4.0;enero
CARNE CERDO;0.50501476924534;3.51648627114155;65.664;6.963135506702818;22473.68;3227.523;3.0;enero
CARNE CERDO ADOBAD;0.10110766445332;0.78536192147959;28.784;7.767580486859727;5019.207;646.1738;4.0;enero
CARN.CERDO IBERICO;0.01383469299813;0.20488573096353;5.262;14.809561078889983;1309.414;88.41680000000001;4.0;enero
CARNE DESPOJOS;0.02333534961994;0.13424767881373;6.265;5.75297482147048;857.9699;149.135;3.0;enero
DESPOJOS CERDO;0.01015352379697;0.06537332438956;3.416;6.43848635180667;417.7975;64.89064;4.0;enero
DESPOJOS CORDERO;0.00321508496459;0.01367859251976;0.564;4.254504210743528;87.41917;20.547439999999998;4.0;enero
DESPOJOS POLLO;0.00333264812269;0.01390269386708;1.343;4.171665701040154;88.85139;21.298779999999997;4.0;enero
DESPOJOS TERNERA;0.006176060513;0.03854486218357;1.41;6.2410110947615065;246.3382;39.470879999999994;4.0;enero
DESPOJOS OT.PROCED;0.00045803519562;0.00274821054788;0.064;5.9999986335433;17.56367;2.927279;4.0;enero
OTRAS CARNES FRESCA;0.1672448348632;1.18845941239154;38.931;7.106105329731964;7595.382;1068.853;3.0;enero
AVESTRUZ;9.119617674e-05;0.00049884213232;0.086;5.469989533826329;3.188074;0.5828300000000001;4.0;enero
PAVO;0.09091366778591;0.67304368186993;24.753;7.40310778633259;4301.387;581.0245;4.0;enero
OTRAS AVES;0.01320506024858;0.09113740611978;5.278;6.901703165611779;582.4544000000001;84.39285000000001;2.0;enero
CARNE CABALLO;0.0001123864611;0.00100962474719;0.083;8.983508665434051;6.452459;0.718256;4.0;enero
CARNE CONGELADA;0.05433306826002;0.32291736418316;8.892;5.9432933667166035;2063.748;347.2398;2.0;enero
C.CONG.POLLO;0.03523227055408;0.15033116190945;5.742;4.2668598857029165;960.7586;225.1676;3.0;enero
C.CONG.CERDO;0.01059018203796;0.10109558486777;1.998;9.546161199622347;646.0966;67.68130000000001;3.0;enero
C.CONG.VACA;0.00474864780897;0.04175038049194;0.997;8.792056638315875;266.8245;30.34836;3.0;enero
RESTO CARNES CONG.;0.00376195221186;0.02974028385538;1.974;7.9055453606206365;190.0686;24.04244;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.7171360467749;7.36109289064546;89.022;10.264569636053926;47044.36;4583.179;2.0;enero
JAMON CURADO+PALETA;0.10625499178562;2.16595731264316;51.418;20.384522893880913;13842.52;679.0701;3.0;enero
JAMON C.+P.ENTERO;0.02069406687484;0.24841558148969;5.601;12.00419342374978;1587.611;132.2547;4.0;enero
JAMON C.+P.LONCHA;0.08556092491077;1.91754188762478;49.638;22.411420746379854;12254.91;546.8154000000001;4.0;enero
JAMON CURADO NORMAL;0.08107808431352;1.26099012592511;42.843;15.55278638613355;8058.922;518.1658;3.0;enero
