Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.64733135449652;117.65200484880246;98.796;2.6955142776829133;37243.722862;13816.926577;0.0;enero
T.HUEVOS KGS;0.71060903959516;2.08300655002846;63.584;2.93129756865344;659.393087;224.949215;1.0;enero
T.HUEVOS UNDS.;11.15816865393457;2.08300655002846;63.584;0.1866799664561404;659.393087;3532.2113;1.0;enero
TOTAL HUEVOS GALLINA;11.09309913066331;2.07722313890709;63.605;0.18725363529523328;657.5623;3511.613;2.0;enero
OTRAS AVES;0.06506952327125;0.00578341112136;0.891;0.08888049013753563;1.830787;20.5983;2.0;enero
MIEL;0.01035248366278;0.06578180904761;3.314;6.354205540459513;20.82378;3.277165;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01035248366278;0.06578180904761;3.314;6.354205540459513;20.82378;3.277165;2.0;enero
TOTAL CARNE;2.77447250819406;22.32172462454027;93.543;8.045394055488302;7066.128;878.2824;1.0;enero
CARNE CERTIFICADA;0.41847989771825;3.17123855660875;38.787;7.577994962003664;1003.882;132.4733;2.0;enero
CARNE FRESCA;1.99751271228433;14.77073408204617;90.038;7.394563244183053;4675.799;632.3293000000001;2.0;enero
SALCHICHAS FRESCAS;0.02910612344433;0.27738457674719;9.563;9.53011064072901;87.80839999999999;9.213786;3.0;enero
CARNE VACUNO;0.22628145239703;2.80409169347129;44.055;12.392052745672002;887.6586;71.63128;3.0;enero
TERNERA;0.18298058665277;2.34552787262168;34.886;12.818452031048254;742.4964;57.92403;4.0;enero
AÑOJO;0.0275918559437;0.25551176780079;8.877;9.26040525588842;80.88438000000001;8.734432;4.0;enero
MAYOR;0.01570903191338;0.20305221099759;4.815;12.925825863568498;64.27787000000001;4.972824999999999;4.0;enero
CARNE POLLO;0.7965413368088;4.68507959555506;64.433;5.881778357322852;1483.101;252.15179999999998;3.0;enero
POLLO ENTERO;0.16177154162037;0.67661083521434;13.961;4.182508421673602;214.18679999999998;51.21013;4.0;enero
POLLO FILETES;0.10248907176913;0.76771852923346;19.541;7.490735509467611;243.0277;32.44377;4.0;enero
POLLO POR PIEZAS;0.53228072341929;3.24074865161954;55.661;6.088420093069409;1025.886;168.4979;4.0;enero
CARNE CONEJO;0.07594161100502;0.56274398692715;18.27;7.410219239224707;178.1413;24.03995;3.0;enero
CARNE OVINO/CAPRINO;0.01508774990074;0.2413596527151;6.443;15.997060814425334;76.40441;4.776153;3.0;enero
CORDERO;0.01508774990074;0.2413596527151;6.443;15.997060814425334;76.40441;4.776153;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.01508774990074;0.2413596527151;6.443;15.997060814425334;76.40441;4.776153;4.0;enero
CARNE CERDO;0.7008461786934;4.97184822466723;77.658;7.094064825945524;1573.88;221.8587;3.0;enero
CARNE CERDO ADOBAD;0.08406087279372;0.65127427290594;23.259;7.747650616286931;206.16629999999998;26.610169999999997;4.0;enero
CARN.CERDO IBERICO;0.00985257896249;0.07503350034274;4.642;7.6156202988474195;23.75248;3.118916;4.0;enero
CARNE DESPOJOS;0.01898325938643;0.15058557808946;7.224;7.93254598823259;47.66912;6.009309;3.0;enero
DESPOJOS CERDO;0.01026560552095;0.0475347773122;2.778;4.630489376898466;15.04753;3.249663;4.0;enero
DESPOJOS CORDERO;0.00224437937524;0.016868546475;1.95;7.515906918872813;5.339879;0.710477;4.0;enero
DESPOJOS POLLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS TERNERA;0.00647327133126;0.08618225114328;4.21;13.313554574344318;27.28171;2.0491680000000003;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.16383087769279;1.35502639308274;37.513;8.270885270013535;428.9449;51.86203;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.0882397234202;0.78266237832717;22.722;8.869728371654766;247.7583;27.93302;4.0;enero
OTRAS AVES;0.00426326792646;0.02914207574351;2.405;6.835619118046966;9.225166999999999;1.3495730000000001;2.0;enero
CARNE CABALLO;0.00628763414105;0.04948876155456;1.097;7.8708080725360645;15.66608;1.990403;4.0;enero
CARNE CONGELADA;0.0932915253126;0.50203037485433;9.298;5.381307392843271;158.9219;29.53221;2.0;enero
C.CONG.POLLO;0.06108100091347;0.27383711053672;10.701;4.483179817643013;86.68542;19.3357;3.0;enero
C.CONG.CERDO;0.01996847747959;0.10883194691325;1.117;5.450187528040615;34.451660000000004;6.321188;3.0;enero
C.CONG.VACA;0.01224205955543;0.1193612858146;1.7;9.75009844333096;37.78481;3.875326;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.68366830218687;7.04895985174221;84.813;10.310496814309525;2231.407;216.4209;2.0;enero
JAMON CURADO+PALETA;0.09336013825859;1.76106719331308;41.992;18.86315965423211;557.4805;29.55393;3.0;enero
JAMON C.+P.ENTERO;0.0307720249238;0.36790406954421;2.987;11.955796554017647;116.46310000000001;9.741140999999999;4.0;enero
JAMON C.+P.LONCHA;0.06258811649376;1.39316312376887;42.168;22.25922749900443;441.0174;19.81279;4.0;enero
JAMON CURADO NORMAL;0.05567934249397;0.89028993427407;28.716;15.989591370811814;281.8287;17.62576;3.0;enero
JAMON C.N.ENTER/PI;0.00814704181849;0.09142700325396;1.487;11.222110465472465;28.94198;2.579014;4.0;enero
JAMON C.N.LONCHA;0.04753231331137;0.79886286784059;28.647;16.806732350839884;252.88670000000002;15.04675;4.0;enero
JAMON IBERICO;0.00174943426635;0.12247025464785;2.214;70.00563382316297;38.768980000000006;0.553798;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00174943426635;0.12247025464785;2.214;70.00563382316297;38.768980000000006;0.553798;4.0;enero
PALETA CURADA NORM.;0.00464861554235;0.08498901136013;3.038;18.282650089225164;26.90398;1.471558;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00464861554235;0.08498901136013;3.038;18.282650089225164;26.90398;1.471558;4.0;enero
PALETA IBERICA;0.03128273647899;0.66331786667201;13.09;21.203959158667168;209.97879999999998;9.902811;3.0;enero
