Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.41698270035425;143.52425186598757;99.026;3.026853327487565;314647.21904;103951.921351;0.0;enero
T.HUEVOS KGS;0.7846804023532;2.53186929305895;80.628;3.226624859581116;5550.59944;1720.249388;1.0;enero
T.HUEVOS UNDS.;12.61665034843775;2.53186929305895;80.628;0.200676821750272;5550.59944;27659.394800000002;1.0;enero
TOTAL HUEVOS GALLINA;12.19470183090413;2.49381806618458;79.284;0.20450012642905985;5467.18;26734.36;2.0;enero
OTRAS AVES;0.42194851753361;0.03805122687436;5.484;0.09017978566860405;83.41944000000001;925.0348;2.0;enero
MIEL;0.02353271618338;0.18017732667847;7.202;7.6564611273253025;395.0015;51.59061;1.0;enero
GRANEL;0.00440970928844;0.04727693693785;1.145;10.721100609007099;103.64489999999999;9.667375;2.0;enero
ENVASADA;0.01912300461422;0.13290038974061;6.132;6.949765082509146;291.35659999999996;41.923230000000004;2.0;enero
TOTAL CARNE;2.93875310923461;25.27851837444019;94.689;8.601783625513146;55417.92;6442.608;1.0;enero
CARNE CERTIFICADA;0.4913129669635;4.93969089973796;51.562;10.054061732315045;10829.25;1077.102;2.0;enero
CARNE FRESCA;2.16493776347729;16.9032876777204;86.727;7.807747623456179;37056.96;4746.178;2.0;enero
SALCHICHAS FRESCAS;0.0153067766596;0.14122792608357;6.698;9.226496814071842;309.613;33.556940000000004;3.0;enero
CARNE VACUNO;0.37498435812421;4.50103877586081;48.865;12.003270745415628;9867.596;822.0756;3.0;enero
TERNERA;0.23562981297885;2.83527971611319;41.651;12.032771576182572;6215.764;516.5695999999999;4.0;enero
AÑOJO;0.10664272306952;1.25468308503533;23.081;11.765294892342384;2750.633;233.7921;4.0;enero
MAYOR;0.03271183576013;0.41107579225492;4.772;12.566576674852431;901.1985999999999;71.71392999999999;4.0;enero
CARNE POLLO;0.80474095589841;4.98465295454205;71.716;6.194108697968743;10927.82;1764.228;3.0;enero
POLLO ENTERO;0.16841279544109;0.6284023039912;18.54;3.731321615708342;1377.642;369.2102;4.0;enero
POLLO FILETES;0.1312112451211;1.12272536124235;30.585;8.556624550022857;2461.343;287.6535;4.0;enero
POLLO POR PIEZAS;0.50511677849319;3.23352437702169;59.439;6.401538247586159;7088.833;1107.364;4.0;enero
CARNE CONEJO;0.05939484246616;0.46503044047718;12.093;7.829475105386724;1019.483;130.21089999999998;3.0;enero
CARNE OVINO/CAPRINO;0.05373839063696;0.64165691886893;10.624;11.940382122785529;1406.7;117.8103;3.0;enero
CORDERO;0.04460921876237;0.569714894322;9.259;12.771236756169547;1248.982;97.79648;4.0;enero
CABRITO;0.00912915362886;0.07194179647523;1.381;7.880445373137908;157.7175;20.01378;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.00659276369928;0.07911223385885;0.559;11.999858855470078;173.43720000000002;14.45327;4.0;enero
OVINO/CAPRINO PIEZ;0.04714561325338;0.56254477623875;10.086;11.932070396780091;1233.263;103.357;4.0;enero
