Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.81773980415344;139.54532490953306;98.778;2.693002925966057;146158.95309999998;54273.5961;0.0;enero
T.HUEVOS KGS;0.680353025524;2.11357210522606;67.361;3.10658147451937;2213.743;712.59776;1.0;enero
T.HUEVOS UNDS.;10.6305160238125;2.11357210522606;67.361;0.19882121436923966;2213.743;11134.34;1.0;enero
TOTAL HUEVOS GALLINA;10.6305160238125;2.11357210522606;67.361;0.19882121436923966;2213.743;11134.34;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.01909386311689;0.17042199894511;2.973;8.925485529131748;178.499;19.9988;1.0;enero
GRANEL;0.0041799308464;0.031350290499;0.755;7.500193579996505;32.83611;4.378035;2.0;enero
ENVASADA;0.01491393704425;0.13907171799361;2.421;9.324950050477666;145.6629;15.62077;2.0;enero
TOTAL CARNE;2.74494475277258;22.51832380819979;94.239;8.203561760379598;23585.56;2875.039;1.0;enero
CARNE CERTIFICADA;0.46536006803752;4.58141390904188;56.784;9.844879747336666;4798.546;487.41540000000003;2.0;enero
CARNE FRESCA;1.94986200188027;14.24612730087942;89.296;7.306223356905097;14921.31;2042.274;2.0;enero
SALCHICHAS FRESCAS;0.01493405363604;0.12916159936745;8.964;8.648797072467179;135.28310000000002;15.64184;3.0;enero
CARNE VACUNO;0.39649630561357;4.31592072544611;55.837;10.885147388113161;4520.47;415.28790000000004;3.0;enero
TERNERA;0.37944360346421;4.12978830799646;53.58;10.883800043781624;4325.516;397.427;4.0;enero
AÑOJO;0.01705268305435;0.18613174912434;6.768;10.915100487769918;194.95329999999998;17.86088;4.0;enero
MAYOR;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE POLLO;0.67406612753592;3.54378444664971;68.963;5.257324618289552;3711.739;706.0129000000001;3.0;enero
POLLO ENTERO;0.0697242599013;0.26089615569801;5.843;3.74182753703403;273.2611;73.02878;4.0;enero
POLLO FILETES;0.13448882040238;1.0182136574266;27.915;7.570991063644909;1066.471;140.8628;4.0;enero
POLLO POR PIEZAS;0.46985302813722;2.2646737742497;54.493;4.81996207032697;2372.006;492.12129999999996;4.0;enero
CARNE CONEJO;0.08432534432108;0.55293951692875;15.328;6.557216236476878;579.1456;88.32186999999999;3.0;enero
CARNE OVINO/CAPRINO;0.02350891558062;0.25158523844854;5.357;10.701694750051784;263.50890000000004;24.623099999999997;3.0;enero
CORDERO;0.01095827230265;0.13800803052743;3.956;12.593958857359926;144.5488;11.47763;4.0;enero
CABRITO;0.00149301487067;0.02732828969677;0.45;18.304097456475514;28.62349;1.5637750000000001;4.0;enero
OTRO OVINO/CAPRINO;0.01105762363353;0.08624893731934;1.383;7.799952338561988;90.33663;11.58169;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.02350891558062;0.25158523844854;5.357;10.701694750051784;263.50890000000004;24.623099999999997;4.0;enero
CARNE CERDO;0.56369077069331;4.03952429181559;64.673;7.166206192886797;4230.974;590.4064000000001;3.0;enero
CARNE CERDO ADOBAD;0.05888035715395;0.43296605390406;19.002;7.353319083509996;453.48609999999996;61.67094;4.0;enero
CARN.CERDO IBERICO;0.01516826346669;0.15333053392785;3.791;10.108641260389685;160.5975;15.88715;4.0;enero
CARNE DESPOJOS;0.0368069470512;0.2367007745504;10.006;6.430872254119049;247.919;38.551379999999995;3.0;enero
DESPOJOS CERDO;0.00922587953719;0.05805550051056;2.827;6.292679226569605;60.80699;9.663132;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.01596118370783;0.09388126962869;2.909;5.881848824446019;98.33069;16.717650000000003;4.0;enero
DESPOJOS TERNERA;0.01161987616816;0.08476398531613;4.19;7.2947408465818;88.7813;12.17059;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.17096716144684;1.30567660341726;34.634;7.637002289607416;1367.558;179.07;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09138750921465;0.73084962358162;19.29;7.997259470820445;765.4875999999999;95.71874000000001;4.0;enero
OTRAS AVES;0.00527286422808;0.0258838859448;2.6;4.908885346783596;27.11063;5.522767;2.0;enero
CARNE CABALLO;0.00170220928502;0.02804507813776;0.583;16.47569331487635;29.37425;1.782884;4.0;enero
CARNE CONGELADA;0.0184231986697;0.12482302241404;2.911;6.775317611879968;130.7389;19.296349999999997;2.0;enero
C.CONG.POLLO;0.00343899294776;0.01565356311578;0.832;4.551786919475699;16.39545;3.6019810000000003;3.0;enero
C.CONG.CERDO;0.00589860098377;0.05319346253294;1.899;9.01797946314113;55.71452;6.17816;3.0;enero
C.CONG.VACA;0.00437539690416;0.04208246834975;0.951;9.617977356464928;44.07693;4.582765;3.0;enero
RESTO CARNES CONG.;0.00471020974351;0.01389350932055;0.605;2.9496583118574726;14.55198;4.933446;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.7766597909102;8.14736670617819;89.104;10.490264594012137;8533.504;813.4689000000001;2.0;enero
JAMON CURADO+PALETA;0.17655321532629;2.68770937334322;60.54;15.22322529428815;2815.091;184.92079999999999;3.0;enero
JAMON C.+P.ENTERO;0.05962321028198;0.62346941434707;10.257;10.45682396835818;653.0182;62.449;4.0;enero
JAMON C.+P.LONCHA;0.11693000504431;2.06424014994623;58.446;17.653639450061156;2162.073;122.4718;4.0;enero
JAMON CURADO NORMAL;0.15170917672916;2.11473976501524;55.414;13.939432080569267;2214.966;158.89929999999998;3.0;enero
JAMON C.N.ENTER/PI;0.04539458355668;0.41631749761632;7.754;9.171083089604556;436.0485;47.54602;4.0;enero
JAMON C.N.LONCHA;0.10631451679244;1.69842274477413;53.406;15.975454679344642;1778.918;111.3532;4.0;enero
JAMON IBERICO;0.01724591499607;0.38885715638607;7.047;22.547783430131975;407.2867;18.06327;3.0;enero
JAMON IBE.ENTER/PI;0.01153697518738;0.16767069459965;0.402;14.53333234026495;175.6173;12.08376;4.0;enero
JAMON IBE.LONCHA;0.00570894076344;0.22118646178642;6.606;38.74387052720532;231.6694;5.9795110000000005;4.0;enero
PALETA CURADA NORM.;0.005656545014;0.09183412237588;4.764;16.23502016665339;96.18652;5.924632;3.0;enero
PALETA C.N.ENTR/PI;0.00269164676416;0.03948120303608;2.092;14.668047665750924;41.35238;2.8192150000000002;4.0;enero
PALETA C.N.LONCHA;0.00296489824983;0.0523529193398;3.073;17.657577066139588;54.83414;3.105417;4.0;enero
PALETA IBERICA;0.0019415680848;0.0922785300636;1.639;47.527836281408185;96.65199000000001;2.033587;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.0019415680848;0.0922785300636;1.639;47.527836281408185;96.65199000000001;2.033587;4.0;enero
HUESOS JAMON CURADO;0.00453957388047;0.01755984648854;2.572;3.8681706589426974;18.39208;4.754723;3.0;enero
LOMO EMBUCHADO N+IB;0.01004117721917;0.16388234032531;9.607;16.321028575449244;171.64939999999999;10.51707;3.0;enero
LOMO EMB.AL CORTE;0.00236572265141;0.03649191759573;2.34;15.425272938893649;38.221419999999995;2.477844;4.0;enero
LOMO EMB.ENVASADO;0.00767545361301;0.12739044182459;8.187;16.59712223504131;133.428;8.039225;4.0;enero
LOMO EMB.NORMAL;0.01004117721917;0.16388234032531;9.607;16.321028575449244;171.64939999999999;10.51707;4.0;enero
LOMO E.N.AL CORTE;0.00236572265141;0.03649191759573;2.34;15.425272938893649;38.221419999999995;2.477844;5.0;enero
LOMO E.N.ENVASADO;0.00767545361301;0.12739044182459;8.187;16.59712223504131;133.428;8.039225;5.0;enero
LOMO EMB.IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.00735133397859;0.06581221770735;4.147;8.952418418066888;68.93133;7.699744;3.0;enero
O.SALAZONES AL COR;0.00324556623694;0.02414593462227;1.402;7.43966779892963;25.29031;3.3993870000000004;4.0;enero
O.SALAZONES ENVASA;0.00410576774165;0.04166628308507;2.741;10.148231879353272;43.64102;4.300357;4.0;enero
TOCINO Y MANTECA;0.01098103355316;0.08767086624593;8.678;7.983844673767788;91.82594999999999;11.50147;3.0;enero
TOCINO;0.0019817525761;0.01711484685555;1.426;8.636217791215971;17.925990000000002;2.075676;4.0;enero
CHORIZOS;0.08493743482873;0.85506380163952;38.945;10.066984049655716;895.5888;88.96297;3.0;enero
CHOR.IBERICO;0.00442588983597;0.07277636792066;7.024;16.443330181672433;76.22554;4.635651;4.0;enero
CHOR.NORMAL;0.0805115364;0.78228747190887;36.537;9.716464334033661;819.3633000000001;84.32731;4.0;enero
