Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.43817383029416;124.12470222651443;99.144;2.672902312655996;162813.22342;60912.522934;0.0;enero
T.HUEVOS KGS;0.6775730391022;2.00013616428321;76.007;2.951912264592809;2623.5601;888.7662859999999;1.0;enero
T.HUEVOS UNDS.;10.92792384917824;2.00013616428321;76.007;0.1830298409732804;2623.5601;14334.0566;1.0;enero
TOTAL HUEVOS GALLINA;10.52395927056332;1.9647054805674;75.811;0.18668881454747763;2577.086;13804.18;2.0;enero
OTRAS AVES;0.40396457861492;0.0354306837158;6.044;0.08770740206304639;46.4741;529.8765999999999;2.0;enero
MIEL;0.02330945770814;0.1739461839403;6.082;7.462472362860918;228.1636;30.5748;1.0;enero
GRANEL;0.01306931533632;0.12506797073897;3.483;9.56958857602856;164.0505;17.1429;2.0;enero
ENVASADA;0.01024014237182;0.04887822082507;2.633;4.773197388306942;64.11311;13.431899999999999;2.0;enero
TOTAL CARNE;2.91558891294796;23.02035755188856;96.603;7.895611569126369;30195.59;3824.351;1.0;enero
CARNE CERTIFICADA;0.52304417136445;5.11087008418488;54.284;9.771392865065806;6703.881;686.0722;2.0;enero
CARNE FRESCA;2.21074746925113;16.27895907949387;90.337;7.363554320841625;21352.96;2899.817;2.0;enero
SALCHICHAS FRESCAS;0.06189051814846;0.49212651788252;18.285;7.951565645354925;645.5178000000001;81.18122;3.0;enero
CARNE VACUNO;0.28269414933937;3.13167719487472;46.886;11.07796960847319;4107.792;370.8073;3.0;enero
TERNERA;0.2333886250503;2.55107082742381;40.675;10.930570531764388;3346.216;306.13370000000003;4.0;enero
AÑOJO;0.03861268374793;0.47062487958982;12.386;12.188349368878077;617.3143;50.6479;4.0;enero
MAYOR;0.01069281766989;0.10998156409856;4.247;10.28555498596502;144.2618;14.02567;4.0;enero
CARNE POLLO;0.86832662527938;4.85198589162431;74.644;5.587742849717641;6364.305;1138.976;3.0;enero
POLLO ENTERO;0.18667204941931;0.80974879345503;10.534;4.337814878949261;1062.14;244.856;4.0;enero
POLLO FILETES;0.1670679620586;1.27025444331981;37.646;7.603219837410988;1666.181;219.1415;4.0;enero
POLLO POR PIEZAS;0.51458684251391;2.77198189247464;63.115;5.386810667238733;3635.983;674.9788000000001;4.0;enero
CARNE CONEJO;0.08518417945029;0.62887147882037;16.157;7.382491477626139;824.8849;111.73530000000001;3.0;enero
CARNE OVINO/CAPRINO;0.12722320436081;1.6114057405492;27.354;12.665973543467516;2113.666;166.8775;3.0;enero
CORDERO;0.11802820163248;1.54255795749749;26.533;13.069401517280134;2023.359;154.8165;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00919495698583;0.06884743998304;1.121;7.487521702288545;90.30655;12.06094;4.0;enero
OVINO/CAPRINO ENTE;0.00891232176806;0.12558272621879;2.185;14.090910257386312;164.72570000000002;11.690209999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.11831089021649;1.48582278561795;25.136;12.55863076424424;1948.94;155.1873;4.0;enero
CARNE CERDO;0.63232000509028;4.48347067490833;67.999;7.090508980920494;5880.927;829.4083;3.0;enero
CARNE CERDO ADOBAD;0.05622791816795;0.44141075264769;17.236;7.850384062400175;578.9944;73.75364;4.0;enero
CARN.CERDO IBERICO;0.02095580079138;0.21957446951287;6.793;10.477980378739014;288.0138;27.48753;4.0;enero
CARNE DESPOJOS;0.01370112584631;0.08047720106169;4.309;5.873765555063422;105.5612;17.97164;3.0;enero
DESPOJOS CERDO;0.00119820316126;0.01231704198069;0.689;10.279593961080938;16.15615;1.571672;4.0;enero
DESPOJOS CORDERO;0.00499878650022;0.03064820734858;2.236;6.13112949456615;40.20097;6.556862;4.0;enero
DESPOJOS POLLO;0.00286668104336;0.00968724527965;0.509;3.379254661787847;12.70667;3.760199;4.0;enero
DESPOJOS TERNERA;0.0046374566662;0.0278247445715;0.86;6.000000986370172;36.49746;6.082909;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.20129767671729;1.49107402339199;47.244;7.4073086570497;1955.828;264.0403;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10154718273016;0.75143169381981;30.215;7.399828076141999;985.646;133.1985;4.0;enero
OTRAS AVES;0.0193449409112;0.15450044183013;3.682;7.986607068964292;202.65679999999998;25.37458;2.0;enero
CARNE CABALLO;0.00541289783029;0.04554148919907;2.35;8.413513542443656;59.73635;7.100048;4.0;enero
CARNE CONGELADA;0.03880963565945;0.20247638442961;8.489;5.217167875686753;265.5864;50.90624;2.0;enero
