Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.58101770006363;119.2745118434439;98.139;2.736845492327036;66434.477403;24274.105933;0.0;enero
T.HUEVOS KGS;0.80945869209599;2.47619317424129;71.671;3.059072931602606;1379.21;450.858816;1.0;enero
T.HUEVOS UNDS.;12.64779206399987;2.47619317424129;71.671;0.1957806676225668;1379.21;7044.669;1.0;enero
TOTAL HUEVOS GALLINA;12.64779206399987;2.47619317424129;71.671;0.1957806676225668;1379.21;7044.669;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.02714988244849;0.21558164606366;9.952;7.940426499918001;120.07639999999999;15.12216;1.0;enero
GRANEL;0.00815036341413;0.05705361214449;6.597;7.000131067228677;31.77818;4.539655;2.0;enero
ENVASADA;0.0189995280112;0.15852810573399;3.986;8.343791784746719;88.29826;10.582510000000001;2.0;enero
TOTAL CARNE;2.69102004647758;20.60186042189886;94.796;7.6557811038478425;11474.99;1498.866;1.0;enero
CARNE CERTIFICADA;0.47034994993692;4.70721232590356;50.541;10.007893753437772;2621.861;261.97929999999997;2.0;enero
CARNE FRESCA;1.96129343524565;14.7558785955197;85.81;7.523544580503599;8218.848;1092.417;2.0;enero
SALCHICHAS FRESCAS;0.01018305514996;0.09868822194778;8.597;9.691415836836018;54.968160000000005;5.67184;3.0;enero
CARNE VACUNO;0.42860937735702;4.9257430478208;56.116;11.492382826980906;2743.58;238.7303;3.0;enero
TERNERA;0.27013111111267;3.00363896344075;46.593;11.119189311696546;1672.991;150.4598;4.0;enero
AÑOJO;0.14988838711467;1.81962971296006;29.154;12.139897879932981;1013.512;83.48603999999999;4.0;enero
MAYOR;0.0085899688982;0.1024735814569;2.835;11.929447320624265;57.07656;4.78451;4.0;enero
CARNE POLLO;0.68410444727529;3.76233747108638;77.352;5.499653577858377;2095.577;381.038;3.0;enero
POLLO ENTERO;0.1206099132063;0.46715185617218;12.914;3.873245936037659;260.198;67.17828;4.0;enero
POLLO FILETES;0.14100877106716;0.9999214580032;32.549;7.09120042984357;556.9443;78.5402;4.0;enero
POLLO POR PIEZAS;0.4224857270944;2.29526469552219;58.605;5.432762690724738;1278.435;235.3195;4.0;enero
CARNE CONEJO;0.0846090688261;0.53466120436317;14.305;6.319194996248376;297.79990000000004;47.126239999999996;3.0;enero
CARNE OVINO/CAPRINO;0.03630079695712;0.5555519578787;9.162;15.304125651425803;309.4358;20.21911;3.0;enero
CORDERO;0.03200420565127;0.46579958298765;8.418;14.554324142991458;259.4448;17.82596;4.0;enero
