Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.06931459254852;130.06633537031007;99.387;2.5977255017121195;325243.89772;125203.335574;0.0;enero
T.HUEVOS KGS;0.58988523458133;1.72420703095001;69.356;2.9229533642654495;4311.552360000001;1475.067106;1.0;enero
T.HUEVOS UNDS.;9.36009485611668;1.72420703095001;69.356;0.1842082860755702;4311.552360000001;23405.854600000002;1.0;enero
TOTAL HUEVOS GALLINA;9.19044974111415;1.70960359265065;69.175;0.18601957910749625;4275.035;22981.64;2.0;enero
OTRAS AVES;0.16964511500253;0.01460343829936;1.083;0.08608228005353896;36.517360000000004;424.21459999999996;2.0;enero
MIEL;0.02212793596884;0.10945180500539;4.549;4.94631786532189;273.6952;55.33312;1.0;enero
GRANEL;0.00942412564488;0.02787104527832;0.835;2.957414441247273;69.69434;23.56597;2.0;enero
ENVASADA;0.01270381032395;0.08158073573283;3.813;6.421753289168213;204.0008;31.76715;2.0;enero
TOTAL CARNE;3.48926116814583;25.58509004461738;97.399;7.332523652339012;63978.08;8725.247;1.0;enero
CARNE CERTIFICADA;0.60667716111232;4.93190404737143;49.608;8.129371539764161;12332.72;1517.057;2.0;enero
CARNE FRESCA;2.66760641454316;17.97087791198509;89.355;6.7367051653542696;44937.98;6670.617;2.0;enero
SALCHICHAS FRESCAS;0.049453768131;0.3817000091157;16.277;7.7183200298227215;954.4791;123.6641;3.0;enero
CARNE VACUNO;0.34898658229924;3.74609711212251;55.618;10.734215302611197;9367.491;872.6759000000001;3.0;enero
TERNERA;0.26936689579703;2.85828464033821;47.54;10.61112068682674;7147.427;673.5789;4.0;enero
AÑOJO;0.06139382180233;0.70570938744123;16.614;11.494794862475198;1764.697;153.5214;4.0;enero
MAYOR;0.01822586469987;0.18210340426626;3.69;9.991482284380238;455.3678;45.5756;4.0;enero
CARNE POLLO;0.92208904335231;4.72125061682299;73.663;5.120167787330599;11805.96;2305.776;3.0;enero
POLLO ENTERO;0.20991884689255;0.78491997215239;18.688;3.7391591263558417;1962.771;524.9231;4.0;enero
POLLO FILETES;0.12879144233306;0.92605969015904;27.511;7.190382166574188;2315.705;322.0559;4.0;enero
POLLO POR PIEZAS;0.58337875412669;3.01027255412755;63.369;5.1600654511902615;7527.488;1458.797;4.0;enero
CARNE CONEJO;0.07699571641233;0.52627766181193;15.043;6.835155075297802;1316.01;192.5355;3.0;enero
CARNE OVINO/CAPRINO;0.10814015987885;1.08972799995312;10.595;10.076996382970934;2724.974;270.4153;3.0;enero
CORDERO;0.0982636508331;0.99548942286103;11.095;10.130800295134954;2489.321;245.7181;4.0;enero
CABRITO;0.00137228456943;0.01652333740848;0.357;12.04075144213887;41.31826;3.431535;4.0;enero
OTRO OVINO/CAPRINO;0.00850421447871;0.07771510371625;0.812;9.13842235643978;194.3344;21.265639999999998;4.0;enero
OVINO/CAPRINO ENTE;0.04485483215133;0.3469453123264;1.335;7.734848079597732;867.5715;112.164;4.0;enero
OVINO/CAPRINO PIEZ;0.06328532772752;0.74278248767472;9.278;11.737041022727777;1857.402;158.2513;4.0;enero
CARNE CERDO;0.93921933105633;6.05659805338697;72.266;6.448544927812682;15145.13;2348.612;3.0;enero
CARNE CERDO ADOBAD;0.13596248085393;0.98696866835291;27.0;7.25912518037412;2468.014;339.9878;4.0;enero
CARN.CERDO IBERICO;0.02316733045185;0.25443815958867;5.234;10.982627459705935;636.2481;57.932230000000004;4.0;enero
CARNE DESPOJOS;0.06628408784532;0.36016921779634;13.842;5.4337206636500754;900.6392;165.75;3.0;enero
DESPOJOS CERDO;0.03194399152705;0.20096175713105;9.118;6.29106594148786;502.525;79.87915;4.0;enero
DESPOJOS CORDERO;0.0058941010624;0.03172137296885;2.728;5.381884808725817;79.32247;14.738790000000002;4.0;enero
DESPOJOS POLLO;0.01441647918075;0.04039310323374;2.291;2.8018701880867747;101.007;36.04985;4.0;enero
DESPOJOS TERNERA;0.01402950407798;0.08709297246556;3.515;6.20784398232949;217.78470000000002;35.08218;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.20589165366035;1.470756530264;44.982;7.143351875206248;3677.774;514.8527;3.0;enero
AVESTRUZ;0.00018117450725;0.00189451520277;0.16;10.45685307199064;4.737425;0.45304500000000003;4.0;enero
PAVO;0.13270526278153;0.97986517361749;30.461;7.383770267126483;2450.251;331.8428;4.0;enero
OTRAS AVES;0.0145750731087;0.09259049273114;5.518;6.352660603521387;231.53179999999998;36.44643;2.0;enero
CARNE CABALLO;0.00057272571149;0.00448525526985;0.548;7.8314194383580595;11.21583;1.4321579999999998;4.0;enero
CARNE CONGELADA;0.04882991789245;0.26455293143706;8.85;5.4178451010244535;661.5411;122.1041;2.0;enero
C.CONG.POLLO;0.03370189752423;0.12323481625643;4.953;3.656613582894186;308.161;84.27497;3.0;enero
C.CONG.CERDO;0.00341501539158;0.0252213613613;1.31;7.385431240945113;63.06854;8.539588;3.0;enero
