Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.21966266710884;137.77797885055438;99.359;2.743506657219972;378996.3343;138143.034318;0.0;enero
T.HUEVOS KGS;0.71380012165904;2.52163586767393;66.546;3.532691843499633;6936.455;1963.504123;1.0;enero
T.HUEVOS UNDS.;11.45789923773096;2.52163586767393;66.546;0.2200783769654885;6936.455;31518.1123;1.0;enero
TOTAL HUEVOS GALLINA;11.09668757929131;2.44646107602021;66.08;0.22046768988845028;6729.666;30524.5;2.0;enero
OTRAS AVES;0.36121165843964;0.07517479165372;2.569;0.20811839789020323;206.789;993.6123;2.0;enero
MIEL;0.02231200350928;0.19066559115523;5.525;8.545426728528666;524.4783;61.37532;1.0;enero
GRANEL;0.00609661820112;0.05573184054426;1.588;9.141435252405572;153.30579999999998;16.77043;2.0;enero
ENVASADA;0.01621538530815;0.13493375061096;4.383;8.321341000953035;371.1725;44.60489;2.0;enero
TOTAL CARNE;3.08312509644198;22.65531029177903;96.914;7.348164470499066;62319.68;8480.986;1.0;enero
CARNE CERTIFICADA;0.68435529301107;5.7140461325347;53.476;8.349531582335905;15718.06;1882.508;2.0;enero
CARNE FRESCA;2.38584217785122;16.19977516663665;90.829;6.789960927435162;44561.95;6562.917;2.0;enero
SALCHICHAS FRESCAS;0.01084667084139;0.07600172199612;3.11;7.006916970877536;209.0637;29.836759999999998;3.0;enero
CARNE VACUNO;0.46546795469702;4.68861542750974;53.991;10.0729070179741;12897.33;1280.398;3.0;enero
TERNERA;0.42949010478434;4.27944722586451;49.961;9.964018211812624;11771.8;1181.431;4.0;enero
AÑOJO;0.02907201273605;0.33611586574877;7.052;11.561492793788318;924.5794000000001;79.97059;4.0;enero
MAYOR;0.00690602621421;0.07305440803912;2.205;10.578356608146684;200.9563;18.99693;4.0;enero
CARNE POLLO;0.80725698356682;4.12376023925679;70.637;5.108361182626364;11343.54;2220.583;3.0;enero
POLLO ENTERO;0.2706381201782;1.16395744198099;19.226;4.30078896947176;3201.786;744.4648000000001;4.0;enero
POLLO FILETES;0.10476328049948;0.73752102114449;24.444;7.0398809356503556;2028.755;288.1803;4.0;enero
POLLO POR PIEZAS;0.43185561924251;2.22227995846229;57.593;5.145886401478864;6112.994;1187.938;4.0;enero
CARNE CONEJO;0.08593946381044;0.60808771874458;12.239;7.075768125407677;1672.713;236.4002;3.0;enero
CARNE OVINO/CAPRINO;0.04181027719293;0.41692419533895;3.68;9.971811318425155;1146.865;115.0107;3.0;enero
CORDERO;0.03937103807944;0.36815177321859;3.424;9.350827186108333;1012.703;108.3009;4.0;enero
CABRITO;0.00243922711686;0.04877231306021;0.491;19.994986413090054;134.16170000000002;6.709767;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01330139285956;0.11359213515355;0.234;8.539867693018284;312.4665;36.589150000000004;4.0;enero
OVINO/CAPRINO PIEZ;0.02850888433336;0.30333195112526;3.448;10.639909565674232;834.3982;78.42155;4.0;enero
CARNE CERDO;0.77601852384795;4.94039530434773;71.326;6.366336823830384;13589.92;2134.653;3.0;enero
CARNE CERDO ADOBAD;0.03374112457501;0.24675478542815;11.522;7.313176088116622;678.7671;92.81427000000001;4.0;enero
CARN.CERDO IBERICO;0.00644772641904;0.0776297354275;2.074;12.039861864824866;213.542;17.73625;4.0;enero
CARNE DESPOJOS;0.02861298950861;0.14979846606162;6.253;5.235330828206361;412.062;78.70792;3.0;enero
DESPOJOS CERDO;0.0091266288277;0.04605049912141;2.351;5.045729369603483;126.67460000000001;25.105310000000003;4.0;enero
DESPOJOS CORDERO;0.00014480205746;0.00115179941746;0.144;7.954302843456736;3.168342;0.398318;4.0;enero
DESPOJOS POLLO;0.01063687184816;0.03952833915614;2.805;3.7161620183426667;108.73360000000001;29.25965;4.0;enero
DESPOJOS TERNERA;0.00767920808379;0.05981167135872;1.83;7.788781174581444;164.5285;21.12378;4.0;enero
DESPOJOS OT.PROCED;0.00102547978208;0.00325617373042;0.295;3.1752685789642543;8.957004000000001;2.820865;4.0;enero
OTRAS CARNES FRESCA;0.18073562896429;1.27219454244481;38.79;7.038980358964621;3499.522;497.1632;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.11090031275352;0.78463354791891;27.309;7.0751247533697255;2158.351;305.06190000000004;4.0;enero
OTRAS AVES;0.01147199260715;0.09193977100106;3.432;8.01428087947858;252.90570000000002;31.55688;2.0;enero
CARNE CABALLO;0.00078480259113;0.00509855432081;0.296;6.496607399611639;14.02498;2.158816;4.0;enero
