Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;43.0744806737126;119.58317502966862;99.568;2.77619539828016;37853.546472;13635.044023;0.0;enero
T.HUEVOS KGS;0.58967685972775;1.85023282107758;64.751;3.1377063395904723;585.683346;186.659707;1.0;enero
T.HUEVOS UNDS.;9.39669317730006;1.85023282107758;64.751;0.19690254711596403;585.683346;2974.4833399999998;1.0;enero
TOTAL HUEVOS GALLINA;9.17981350404437;1.8346064987664;64.86;0.19985226257136082;580.7369;2905.831;2.0;enero
OTRAS AVES;0.21687967325568;0.01562632231118;2.638;0.07205065406364881;4.946446;68.65234;2.0;enero
MIEL;0.01293062987031;0.06961653923514;2.854;5.3838474949280934;22.03682;4.093136;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01293062987031;0.06961653923514;2.854;5.3838474949280934;22.03682;4.093136;2.0;enero
TOTAL CARNE;2.77404825381779;21.20432792307482;97.804;7.6438208650092045;6712.14;878.1132;1.0;enero
CARNE CERTIFICADA;0.30592626295027;2.8433194401359;40.758;9.294133209472234;900.0406999999999;96.83966000000001;2.0;enero
CARNE FRESCA;2.07407172206724;15.00613708785982;91.497;7.235110014856705;4750.129;656.5386;2.0;enero
SALCHICHAS FRESCAS;0.03986352615707;0.34266199483706;16.745;8.595877682442547;108.4682;12.61863;3.0;enero
CARNE VACUNO;0.2433376492586;2.71363234340292;53.874;11.151715945603843;858.9888000000001;77.0275;3.0;enero
TERNERA;0.20600968071469;2.23784330679666;47.844;10.862806539154374;708.3798;65.21149;4.0;enero
AÑOJO;0.03732796854391;0.47578903660626;17.205;12.746180817382518;150.609;11.81601;4.0;enero
MAYOR;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE POLLO;0.74853507261912;4.40954262131632;75.677;5.890896475815545;1395.822;236.9456;3.0;enero
POLLO ENTERO;0.12257428614668;0.43926193174692;11.308;3.583638506540015;139.0465;38.80037;4.0;enero
POLLO FILETES;0.15688907260317;1.2640608606609;45.615;8.057035711200607;400.13309999999996;49.66257;4.0;enero
POLLO POR PIEZAS;0.4690715243232;2.70621951299839;59.905;5.7693110169137665;856.6423000000001;148.48260000000002;4.0;enero
