Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.66888986818978;128.92683015813608;99.406;2.6490604266361806;5931079.678;2238937.10327;0.0;enero
T.HUEVOS KGS;0.63108304283804;1.94226721164613;74.886;3.0776729523765574;89351.003;29032.000600000003;1.0;enero
T.HUEVOS UNDS.;10.04931903956945;1.94226721164613;74.886;0.19327351475243312;89351.003;462303.4;1.0;enero
TOTAL HUEVOS GALLINA;9.82573800819159;1.91916170812899;74.679;0.19531985348367842;88288.07;452017.9;2.0;enero
OTRAS AVES;0.22358103137786;0.02310550351714;2.87;0.10334286130961062;1062.933;10285.5;2.0;enero
MIEL;0.01985052193424;0.13913970043398;6.027;7.009372393074583;6400.907;913.1926;1.0;enero
GRANEL;0.00578568496262;0.0472580588178;1.723;8.168100946230016;2174.034;266.1615;2.0;enero
ENVASADA;0.01406483697161;0.09188166335367;4.429;6.5327215337871705;4226.874;647.0310999999999;2.0;enero
TOTAL CARNE;2.9684313685286;22.83169799760127;96.79;7.691502737662577;1050337.0;136558.1;1.0;enero
CARNE CERTIFICADA;0.46208050734612;4.07936965744293;47.086;8.828266054484812;187665.1;21257.3;2.0;enero
CARNE FRESCA;2.1220014714392;14.70452805045348;89.106;6.929556010383182;676459.1;97619.4;2.0;enero
SALCHICHAS FRESCAS;0.02233373540299;0.17691192831953;8.141;7.921287018373046;8138.56;1027.429;3.0;enero
CARNE VACUNO;0.29712311582171;3.2303160443954;49.491;10.871978221760827;148605.7;13668.69;3.0;enero
TERNERA;0.21360938911214;2.29841648056401;39.496;10.759903813765867;105735.1;9826.77;4.0;enero
AÑOJO;0.06876581278768;0.76483515666636;16.745;11.1223168266442;35185.06;3163.465;4.0;enero
MAYOR;0.01474799000311;0.16706468975248;4.31;11.327963316842519;7685.553;678.4585;4.0;enero
CARNE POLLO;0.84010711116778;4.47072721640659;72.39;5.321615728489801;205668.9;38647.83;3.0;enero
POLLO ENTERO;0.18959447564617;0.71368008623208;16.875;3.7642451542942954;32831.75;8722.001;4.0;enero
POLLO FILETES;0.12811587633532;0.95292841899204;30.293;7.438019754069252;43838.0;5893.773;4.0;enero
POLLO POR PIEZAS;0.52239684613627;2.80411762430759;60.832;5.367792024487289;128999.1;24032.06;4.0;enero
CARNE CONEJO;0.05989000125007;0.43633461521021;12.806;7.285600369054719;20072.9;2755.147;3.0;enero
CARNE OVINO/CAPRINO;0.06322940257858;0.73507174022737;10.528;11.625473438782219;33815.84;2908.771;3.0;enero
CORDERO;0.05791260630754;0.66900757232664;9.844;11.552019758424732;30776.66;2664.18;4.0;enero
CABRITO;0.0042460180089;0.05651190717586;0.755;13.309389422596968;2599.743;195.3315;4.0;enero
OTRO OVINO/CAPRINO;0.00107079282625;0.00955242592984;0.152;8.920890853604444;439.4446;49.260169999999995;4.0;enero
OVINO/CAPRINO ENTE;0.01806521038909;0.15472620353757;0.645;8.5648713856642;7117.94;831.0621;4.0;enero
OVINO/CAPRINO PIEZ;0.04516419436323;0.5803455366898;9.958;12.849682029581622;26697.9;2077.709;4.0;enero
CARNE CERDO;0.6452791373413;4.32179275172472;67.962;6.697555370426952;198817.4;29685.07;3.0;enero
CARNE CERDO ADOBAD;0.06001220946147;0.44595824013963;17.1;7.431125168386055;20515.62;2760.769;4.0;enero
CARN.CERDO IBERICO;0.02504242323917;0.31111619514006;5.805;12.423565889319622;14312.42;1152.038;4.0;enero
CARNE DESPOJOS;0.03623951693105;0.20945776618649;9.502;5.779816728379029;9635.781;1667.143;3.0;enero
DESPOJOS CERDO;0.01560836233115;0.09676249237321;4.865;6.199400700742272;4451.409;718.0386;4.0;enero
DESPOJOS CORDERO;0.00248417861364;0.01803074993417;1.141;7.258234104066475;829.4768;114.2808;4.0;enero
DESPOJOS POLLO;0.00947272974246;0.03564471378472;2.936;3.762876673758193;1639.78;435.7783;4.0;enero
DESPOJOS TERNERA;0.00759389478772;0.05326397723718;2.254;7.0140525680315235;2450.327;349.34540000000004;4.0;enero
DESPOJOS OT.PROCED;0.00108034210894;0.00575583503094;0.421;5.327789209824572;264.7883;49.69947;4.0;enero
OTRAS CARNES FRESCA;0.18013309939869;1.30082598166538;41.251;7.221471156648358;59842.49;8286.745;3.0;enero
AVESTRUZ;9.84806459e-06;0.00010297976448;0.009;10.45685307199064;4.737425;0.45304500000000003;4.0;enero
