Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;60.53086726014926;138.37037168102196;99.693;2.2859472851484925;261380.01834;114342.102304;0.0;enero
T.HUEVOS KGS;0.69530274646572;1.95809250743827;74.994;2.816172548420674;3698.8139100000003;1313.418779;1.0;enero
T.HUEVOS UNDS.;10.90638067089416;1.95809250743827;74.994;0.17953641694020803;3698.8139100000003;20602.02589;1.0;enero
TOTAL HUEVOS GALLINA;10.85627666118234;1.95373466687503;74.863;0.17996360334669761;3690.582;20507.38;2.0;enero
OTRAS AVES;0.05010400971181;0.00435784056324;0.659;0.08697588453127758;8.23191;94.64589;2.0;enero
MIEL;0.03104614721037;0.25161674670115;9.274;8.104604574478552;475.30109999999996;58.64581;1.0;enero
GRANEL;0.00883161619908;0.10549885145386;1.352;11.945588335784958;199.2861;16.68282;2.0;enero
ENVASADA;0.02221453101129;0.14611789524728;7.578;6.577581816738989;276.015;41.96299;2.0;enero
TOTAL CARNE;3.37880275584949;23.11812049686993;98.023;6.84210419115086;43669.86;6382.519;1.0;enero
CARNE CERTIFICADA;0.60192642671162;4.43002735090842;47.735;7.359748890092804;8368.27;1137.032;2.0;enero
CARNE FRESCA;1.98343416204436;12.9545056029046;90.226;6.531351456381162;24470.91;3746.684;2.0;enero
SALCHICHAS FRESCAS;0.00536297646719;0.0374459961459;1.823;6.982315953645391;70.73505;10.130600000000001;3.0;enero
CARNE VACUNO;0.35766435749858;3.51370247701861;54.037;9.824021889104557;6637.343;675.6238000000001;3.0;enero
TERNERA;0.12930683327716;1.19830861591107;31.968;9.267171622265044;2263.591;244.25910000000002;4.0;enero
AÑOJO;0.18880778295363;1.94223962502078;33.578;10.286862091367107;3668.868;356.6557;4.0;enero
MAYOR;0.03954973068011;0.37315476547065;13.228;9.435077282543544;704.885;74.70898;4.0;enero
CARNE POLLO;0.71753804573653;3.936923194793;71.853;5.486710033266417;7436.802;1355.421;3.0;enero
POLLO ENTERO;0.16205785602134;0.60024986792225;14.819;3.703923294179444;1133.865;306.1254;4.0;enero
POLLO FILETES;0.17854186462232;1.23993354203972;35.576;6.944777599710611;2342.22;337.2635;4.0;enero
POLLO POR PIEZAS;0.37693843096963;2.09673925544713;50.561;5.562551024721771;3960.716;712.0323000000001;4.0;enero
CARNE CONEJO;0.03270436284785;0.19894352578562;4.492;6.08308826290715;375.802;61.77816000000001;3.0;enero
CARNE OVINO/CAPRINO;0.00206516627068;0.02467999885348;0.553;11.950611049518404;46.62023000000001;3.9010749999999996;3.0;enero
CORDERO;0.00085890048547;0.01708962906849;0.268;19.897100254984277;32.28211;1.622453;4.0;enero
