Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.00018349176356;126.79703950944128;99.52;2.392388689166445;276542.613656;115592.677272;0.0;enero
T.HUEVOS KGS;0.66012611468733;1.56390497555908;76.14;2.3691002988115684;3410.85542;1439.726052;1.0;enero
T.HUEVOS UNDS.;10.60534335492442;1.56390497555908;76.14;0.14746387016625068;3410.85542;23130.1092;1.0;enero
TOTAL HUEVOS GALLINA;10.26060520626093;1.53792020965687;75.905;0.14988591596121945;3354.183;22378.24;2.0;enero
OTRAS AVES;0.34473814866348;0.0259847659022;4.401;0.07537537114168262;56.672419999999995;751.8692;2.0;enero
MIEL;0.03442814287049;0.21510588447888;9.092;6.2479665338923445;469.143;75.08731;1.0;enero
GRANEL;0.01119810304554;0.1022796401175;1.875;9.133657700904603;223.0705;24.422909999999998;2.0;enero
ENVASADA;0.02323003982494;0.11282624436138;6.608;4.856911361824081;246.0725;50.6644;2.0;enero
TOTAL CARNE;4.01352074484237;26.06526617640482;97.845;6.494364383166652;56847.99;8753.434;1.0;enero
CARNE CERTIFICADA;0.60519589861708;4.05416565745007;53.836;6.698931150581397;8842.08;1319.924;2.0;enero
CARNE FRESCA;2.88604601821364;17.31058969132551;94.562;5.998029685625078;37754.16;6294.427;2.0;enero
SALCHICHAS FRESCAS;0.02368947415171;0.1890020531828;12.066;7.978313573884161;412.21090000000004;51.666419999999995;3.0;enero
CARNE VACUNO;0.27401904522013;2.84445428629616;49.854;10.380498494223367;6203.716;597.6318;3.0;enero
TERNERA;0.19481625735788;2.05588951965755;43.385;10.552966921445377;4483.867;424.8916;4.0;enero
AÑOJO;0.06747988098436;0.66769193366849;15.48;9.894681554391541;1456.227;147.17270000000002;4.0;enero
MAYOR;0.01172289770772;0.12087287882091;3.881;10.310836265443445;263.6221;25.56748;4.0;enero
CARNE POLLO;1.1056859612921;5.01414415085923;77.573;4.534871859094351;10935.78;2411.486;3.0;enero
POLLO ENTERO;0.28091289851325;0.92002409406079;27.693;3.2751222849860415;2006.56;612.6672;4.0;enero
