Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;56.9759794466076;163.18084274050798;99.852;2.864028742031988;1158112.919624;404364.978126;0.0;enero
T.HUEVOS KGS;0.79807711079026;2.31646486996696;84.203;2.9025577085817753;16440.2135;5664.04363;1.0;enero
T.HUEVOS UNDS.;12.70414518460289;2.31646486996696;84.203;0.18233929448275413;16440.2135;90162.757;1.0;enero
TOTAL HUEVOS GALLINA;12.4265862767452;2.29194173019168;83.954;0.18443856415182674;16266.17;88192.89;2.0;enero
OTRAS AVES;0.27755890785768;0.02452313977528;3.429;0.08835291925800066;174.0435;1969.867;2.0;enero
MIEL;0.03936121497997;0.28875331850139;12.392;7.335985910198997;2049.315;279.351;1.0;enero
GRANEL;0.00914810540554;0.09214956529928;2.116;10.073076469299874;653.9959;64.92514;2.0;enero
ENVASADA;0.03021310112028;0.19660373911186;10.051;6.5072346704547686;1395.319;214.42579999999998;2.0;enero
TOTAL CARNE;4.04866443946138;31.47090830151229;98.128;7.7731579813759595;223352.6;28733.83;1.0;enero
CARNE CERTIFICADA;0.64303370191424;6.08261394972784;54.133;9.459245964279289;43169.0;4563.683;2.0;enero
CARNE FRESCA;3.02537232704778;21.16342164882121;94.103;6.9953114397238005;150199.2;21471.41;2.0;enero
SALCHICHAS FRESCAS;0.04529941810162;0.38945426207838;13.972;8.597334764977756;2764.001;321.4951;3.0;enero
CARNE VACUNO;0.45619097374465;5.06143114563335;60.999;11.094983103428147;35921.55;3237.639;3.0;enero
TERNERA;0.37726169912121;4.26261339990859;54.207;11.298823627836587;30252.25;2677.469;4.0;enero
AÑOJO;0.05137274658587;0.51776882732893;10.736;10.078667420738775;3674.664;364.5982;4.0;enero
MAYOR;0.02755654212779;0.28104920020054;9.582;10.199000981224808;1994.638;195.5719;4.0;enero
CARNE POLLO;1.11666754232924;5.69291184039941;79.168;5.098126008502589;40403.24;7925.116;3.0;enero
POLLO ENTERO;0.26763205483847;0.96211146258025;21.565;3.59490369403211;6828.214;1899.415;4.0;enero
POLLO FILETES;0.16360497016724;1.13371320524866;34.662;6.929576797634704;8046.091;1161.123;4.0;enero
POLLO POR PIEZAS;0.68543051732352;3.59708646805869;68.6;5.24792284140577;25528.93;4864.578;4.0;enero
CARNE CONEJO;0.11185631017692;0.80069681958872;20.96;7.1582624022037225;5682.636;793.8569;3.0;enero
CARNE OVINO/CAPRINO;0.1055449694273;1.37023373734332;16.832;12.982463728762513;9724.704;749.0645999999999;3.0;enero
CORDERO;0.09788906791381;1.22611964963923;15.314;12.525603479223143;8701.91;694.7298000000001;4.0;enero
CABRITO;0.00716512027864;0.13773239440645;1.733;19.222621400634434;977.5024000000001;50.85167;4.0;enero
OTRO OVINO/CAPRINO;0.00049079053439;0.0063817454315;0.075;13.002992079687735;45.29197;3.483196;4.0;enero
OVINO/CAPRINO ENTE;0.01570551239939;0.18479781222869;0.417;11.766429997900662;1311.531;111.4638;4.0;enero
OVINO/CAPRINO PIEZ;0.0898394570279;1.18543592511463;16.432;13.195047747744356;8413.173;637.6008;4.0;enero
CARNE CERDO;0.87516428010175;5.913967915851;75.693;6.757551753784329;41972.1;6211.14;3.0;enero
CARNE CERDO ADOBAD;0.0450996185561;0.3439185648104;17.069;7.625753295065471;2440.829;320.0771;4.0;enero
CARN.CERDO IBERICO;0.02380067701808;0.25812114558399;7.491;10.845117783325568;1831.915;168.9161;4.0;enero
CARNE DESPOJOS;0.0772160851071;0.38887938045233;16.161;5.036248340134592;2759.921;548.0113;3.0;enero
DESPOJOS CERDO;0.03479671123009;0.18474032406608;10.039;5.309131740770225;1311.123;246.95620000000002;4.0;enero
DESPOJOS CORDERO;0.00121412280005;0.00908468666263;1.061;7.4825105518113695;64.47505;8.616767;4.0;enero
DESPOJOS POLLO;0.02153161360397;0.07758179718073;5.558;3.60315759922467;550.6068;152.8123;4.0;enero
DESPOJOS TERNERA;0.01770810127155;0.10811315446002;5.264;6.105293436158261;767.2913000000001;125.6764;4.0;enero
DESPOJOS OT.PROCED;0.00196553296067;0.00935940821968;0.715;4.761766099554038;66.42478;13.94961;4.0;enero
OTRAS CARNES FRESCA;0.28273284249212;1.935302359479;50.04;6.844986038482259;13735.06;2006.587;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.12177693531185;0.84498665819554;28.281;6.938807057606311;5996.966;864.2647;4.0;enero
OTRAS AVES;0.03480078330827;0.20171680392707;8.674;5.796329414203528;1431.607;246.98510000000002;2.0;enero
CARNE CABALLO;0.00411857455406;0.05849448725515;1.073;14.202604927336616;415.142;29.22999;4.0;enero
CARNE CONGELADA;0.07474472817571;0.36654522928034;11.669;4.903960964560227;2601.413;530.4718;2.0;enero
C.CONG.POLLO;0.05170717833573;0.19030977162315;6.965;3.68052904352025;1350.65;366.9717;3.0;enero
C.CONG.CERDO;0.01355654570223;0.09396547263556;3.096;6.931372836374211;666.8836;96.21234;3.0;enero
C.CONG.VACA;0.00268778718238;0.03169752156601;1.114;11.793166428403298;224.96089999999998;19.07553;3.0;enero
RESTO CARNES CONG.;0.0067932141373;0.05057243527514;2.421;7.4445519091533034;358.9183;48.21221;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.94854636974089;9.94094043709421;92.901;10.480183946947841;70551.98;6731.941;2.0;enero
JAMON CURADO+PALETA;0.14028540425508;2.58733648139988;50.158;18.44337616688432;18362.62;995.6214;3.0;enero
JAMON C.+P.ENTERO;0.04168100324343;0.49777266900523;6.492;11.942434928881179;3532.749;295.8148;4.0;enero
JAMON C.+P.LONCHA;0.09860440101164;2.08956367149228;47.023;21.191383447941188;14829.87;699.8066;4.0;enero
JAMON CURADO NORMAL;0.10128306758431;1.52822558022212;42.149;15.088658120963682;10845.99;718.8174;3.0;enero
JAMON C.N.ENTER/PI;0.02760133498782;0.29597653704985;5.176;10.723268899146358;2100.579;195.88979999999998;4.0;enero
JAMON C.N.LONCHA;0.07368173259648;1.23224932497698;39.544;16.723946106497344;8745.413;522.9276;4.0;enero
JAMON IBERICO;0.02163156973768;0.67822068449919;8.85;31.353281001969098;4813.409;153.5217;3.0;enero
JAMON IBE.ENTER/PI;0.00744741674653;0.14393330997707;1.195;19.3266087927839;1021.511;52.855160000000005;4.0;enero
JAMON IBE.LONCHA;0.01418414735505;0.53428737452211;7.91;37.667923291263726;3791.898;100.6665;4.0;enero
PALETA CURADA NORM.;0.00976512670019;0.11969149585241;3.686;12.257034601505447;849.4641;69.30421000000001;3.0;enero
PALETA C.N.ENTR/PI;0.00437323443319;0.03182692629282;0.205;7.277662969829244;225.8793;31.03734;4.0;enero
PALETA C.N.LONCHA;0.005391892267;0.08786456955959;3.489;16.29568344628134;623.5848000000001;38.266870000000004;4.0;enero
PALETA IBERICA;0.00760564164191;0.26119845311167;4.46;34.342724178879955;1853.755;53.9781;3.0;enero
PALETA IB.ENTER/PI;0.00225900721272;0.02603588159524;0.112;11.525364526774792;184.77960000000002;16.03243;4.0;enero
PALETA IBE.LONCHA;0.00534663442919;0.23516251515548;4.349;43.98327925162476;1668.975;37.94567;4.0;enero
HUESOS JAMON CURADO;0.00680293499107;0.02817549801184;3.525;4.141667978426386;199.96470000000002;48.2812;3.0;enero
LOMO EMBUCHADO N+IB;0.01576842530283;0.28901765132748;13.573;18.32888483008266;2051.191;111.9103;3.0;enero
LOMO EMB.AL CORTE;0.00434797486723;0.09780680911644;3.494;22.494796336906358;694.146;30.85807;4.0;enero
LOMO EMB.ENVASADO;0.01142045466267;0.19121084221104;11.146;16.742839743148437;1357.045;81.05225999999999;4.0;enero
LOMO EMB.NORMAL;0.01334411144215;0.21098493841643;11.854;15.81108935810663;1497.384;94.70467;4.0;enero
LOMO E.N.AL CORTE;0.00294775908046;0.04791074743677;2.263;16.253277872793202;340.028;20.92058;5.0;enero
LOMO E.N.ENVASADO;0.01039635236169;0.16307419097966;10.509;15.685712190798858;1157.356;73.78408999999999;5.0;enero
LOMO EMB.IBERICO;0.00242431808775;0.07803279745246;2.441;32.18752433792136;553.8076;17.205659999999998;4.0;enero
LOMO E.I.AL CORTE;0.00140021677309;0.04989606167967;1.54;35.63452648086334;354.118;9.937496999999999;5.0;enero
LOMO E.I.ENVASADO;0.00102410103285;0.02813673577279;1.012;27.474570252365076;199.6896;7.268161;5.0;enero
OTRAS SALAZONES;0.04153036453108;0.29254274655309;15.191;7.044068836288366;2076.209;294.7457;3.0;enero
O.SALAZONES AL COR;0.01211287421882;0.0881790213549;4.788;7.279776852455447;625.8165;85.96644;4.0;enero
O.SALAZONES ENVASA;0.02941749594835;0.204363654747;11.283;6.947010551333395;1450.392;208.77929999999998;4.0;enero
TOCINO Y MANTECA;0.04310204580794;0.34080828613064;25.21;7.90700951062128;2418.755;305.90009999999995;3.0;enero
TOCINO;0.00405874600327;0.03058954995369;2.431;7.536699741506621;217.0975;28.80538;4.0;enero
CHORIZOS;0.05781733869671;0.52751574803528;29.255;9.123833091011711;3743.839;410.3362;3.0;enero
CHOR.IBERICO;0.00903312485326;0.11842760168926;6.385;13.110369181540658;840.4941;64.10911;4.0;enero
CHOR.NORMAL;0.04878421525246;0.40908816043625;25.392;8.385666517727815;2903.345;346.22709999999995;4.0;enero
CHORIZO DE PAVO;0.00135639458941;0.01727951856519;1.539;12.739300716793228;122.6347;9.626486000000002;4.0;enero
CHORIZO DE CERDO;0.05578113052162;0.50463489570911;28.025;9.046695378708463;3581.451;395.885;4.0;enero
SALCHICHON/SALAMI;0.01981213984241;0.18887482199578;14.801;9.53328734291546;1340.466;140.609;3.0;enero
SALCHICHON DE PAVO;0.00154279347515;0.01847902035012;1.475;11.977637089953953;131.14770000000001;10.94938;4.0;enero
SALCHICHON DE CERD;0.01813145650038;0.1680094370174;13.676;9.266185373132009;1192.382;128.681;4.0;enero
FUET/LONGANIZAS;0.09665365011748;1.09352996590438;44.947;11.313902419361774;7760.906;685.9619;3.0;enero
