Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.03009981243948;136.46946751827778;99.413;2.5734341063085377;690258.2764600001;268224.577722;0.0;enero
T.HUEVOS KGS;0.74231892815126;1.98466736908147;81.437;2.673604691751916;10038.38516;3754.625802;1.0;enero
T.HUEVOS UNDS.;11.74545461580569;1.98466736908147;81.437;0.1689732270056823;10038.38516;59408.1402;1.0;enero
TOTAL HUEVOS GALLINA;11.57156262950384;1.96931690593815;81.4;0.17018590911110126;9960.743;58528.6;2.0;enero
OTRAS AVES;0.17389198630184;0.01535046314331;1.793;0.08827585140508644;77.64216;879.5401999999999;2.0;enero
MIEL;0.04525917810035;0.28605278623181;12.986;6.320326577683422;1446.846;228.9195;1.0;enero
GRANEL;0.01619520939808;0.1207005129522;3.843;7.452852876755206;610.4994;81.91486;2.0;enero
ENVASADA;0.02906398056473;0.16535231282116;9.256;5.689252112347428;836.3468;147.0047;2.0;enero
TOTAL CARNE;3.82402534944176;26.00043839197372;97.414;6.799232749795779;131509.4;19341.8;1.0;enero
CARNE CERTIFICADA;0.57427976549466;4.55522404200753;51.958;7.932064327712881;23040.18;2904.689;2.0;enero
CARNE FRESCA;2.91200109643939;17.95787159926522;91.878;6.166849188766778;90830.35;14728.81;2.0;enero
SALCHICHAS FRESCAS;0.01394700444005;0.09916945781564;4.83;7.1104485728028;501.596;70.54351;3.0;enero
CARNE VACUNO;0.32583852185077;3.350693028298;53.293;10.283293114840838;16947.7;1648.081;3.0;enero
TERNERA;0.22526711779678;2.29819933757395;43.859;10.202107436058114;11624.22;1139.394;4.0;enero
AÑOJO;0.08240256831234;0.88799128433206;13.344;10.776257373024663;4491.432;416.78959999999995;4.0;enero
MAYOR;0.01816879817715;0.16450193189317;6.945;9.054089890215382;832.0455999999999;91.89721;4.0;enero
CARNE POLLO;1.23722279460022;5.66383710091028;81.566;4.577863522746049;28647.51;6257.834;3.0;enero
POLLO ENTERO;0.37137913705031;1.28686387024022;28.75;3.465094675110625;6508.917;1878.424;4.0;enero
POLLO FILETES;0.12705181775027;0.83826064704405;34.3;6.597785548347781;4239.896;642.6241;4.0;enero
POLLO POR PIEZAS;0.73879185957041;3.53871317674949;70.209;4.789864873182462;17898.7;3736.786;4.0;enero
CARNE CONEJO;0.11177754329718;0.75482260373118;22.142;6.752900282701175;3817.869;565.3673;3.0;enero
CARNE OVINO/CAPRINO;0.07100052037819;0.89155635196285;16.391;12.557039683848;4509.464;359.1184;3.0;enero
CORDERO;0.06761263850665;0.85108180225639;16.123;12.58761410668262;4304.745;341.9826;4.0;enero
CABRITO;0.00130616430653;0.01759511133745;0.688;13.470825415671568;88.99552;6.606538;4.0;enero
OTRO OVINO/CAPRINO;0.00208173298622;0.02287960048942;0.098;10.990650886000452;115.7243;10.52934;4.0;enero
OVINO/CAPRINO ENTE;0.01218866413208;0.13919333251853;0.611;11.419900574015715;704.0355;61.649879999999996;4.0;enero
OVINO/CAPRINO PIEZ;0.05881187206273;0.75236311829823;15.76;12.792708205168546;3805.429;297.4686;4.0;enero
CARNE CERDO;0.81881924506947;5.10609935203054;74.021;6.235929825510279;25826.49;4141.562;3.0;enero
CARNE CERDO ADOBAD;0.0588020064419;0.41723094437778;16.75;7.095522238514255;2110.341;297.4187;4.0;enero
CARN.CERDO IBERICO;0.01743751842438;0.18474588927113;4.586;10.594735143781488;934.4389;88.19842;4.0;enero
CARNE DESPOJOS;0.07237360127303;0.35189503018397;16.272;4.862201465647754;1779.874;366.0634;3.0;enero
DESPOJOS CERDO;0.02973818404342;0.17321303783518;8.691;5.824600371771927;876.1061;150.41479999999999;4.0;enero
