Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.21080277713199;141.5527585617234;99.572;2.6602259536395767;6511916.011899999;2447880.7911;0.0;enero
T.HUEVOS KGS;0.72653657918811;1.98877421818498;77.754;2.737335290684719;91490.486;33423.193100000004;1.0;enero
T.HUEVOS UNDS.;11.54318486851023;1.98877421818498;77.754;0.1722899044621869;91490.486;531026.39;1.0;enero
TOTAL HUEVOS GALLINA;11.31675426857437;1.96898187883677;77.407;0.17398821535822032;90579.97;520609.8;2.0;enero
OTRAS AVES;0.22643059993586;0.01979233934821;2.887;0.08741017933891992;910.516;10416.59;2.0;enero
MIEL;0.03018542821703;0.20105767978345;8.726;6.660752941379802;9249.348;1388.634;1.0;enero
GRANEL;0.00757776121701;0.0666621881967;1.498;8.797082183984541;3066.691;348.6032;2.0;enero
ENVASADA;0.02260764961002;0.13439551332425;7.026;5.944691980039038;6182.658;1040.03;2.0;enero
TOTAL CARNE;3.75574396719448;26.54696239679888;97.657;7.06836318680937;1221252.0;172777.2;1.0;enero
CARNE CERTIFICADA;0.58482237431678;4.83043280514136;50.904;8.25965800433767;222216.6;26903.85;2.0;enero
CARNE FRESCA;2.73339684967488;17.53103747102011;91.888;6.413645158442794;806488.3;125745.7;2.0;enero
SALCHICHAS FRESCAS;0.02663810772415;0.20897425902778;9.698;7.844936329251824;9613.538;1225.445;3.0;enero
CARNE VACUNO;0.37410928938243;3.89036428971872;56.321;10.399004783176606;178970.2;17210.32;3.0;enero
TERNERA;0.26933672478779;2.79778331751225;46.57;10.387678545198629;128707.7;12390.42;4.0;enero
AÑOJO;0.08570075807876;0.89889921662748;17.374;10.4888128970958;41352.47;3942.531;4.0;enero
MAYOR;0.01907164565838;0.19368151646651;6.265;10.1554695350241;8910.019;877.3616;4.0;enero
CARNE POLLO;1.07734363852654;5.14093991559918;76.879;4.7718664052542366;236501.0;49561.53;3.0;enero
POLLO ENTERO;0.24939974413067;0.8786544330046;22.239;3.523076721940165;40421.14;11473.25;4.0;enero
POLLO FILETES;0.15346403747798;1.01565022926459;34.822;6.618164398354872;46723.42;7059.876;4.0;enero
POLLO POR PIEZAS;0.67447976996789;3.24663438383007;65.692;4.813538564669786;149356.4;31028.4;4.0;enero
CARNE CONEJO;0.07216129685995;0.50323524201789;14.121;6.973755515986685;23150.56;3319.669;3.0;enero
CARNE OVINO/CAPRINO;0.07019744437842;0.82954660009257;12.298;11.81733334365541;38162.01;3229.325;3.0;enero
CORDERO;0.06565513340873;0.76732888238895;11.532;11.687264080509529;35299.78;3020.363;4.0;enero
CABRITO;0.00308259235832;0.04682087426643;0.719;15.188798525349782;2153.922;141.8099;4.0;enero
OTRO OVINO/CAPRINO;0.00145971926348;0.01539684995843;0.146;10.547815832498538;708.3083;67.15213;4.0;enero
OVINO/CAPRINO ENTE;0.01469868283735;0.12949988106886;0.822;8.810305147871116;5957.442;676.1902;4.0;enero
OVINO/CAPRINO PIEZ;0.05549876588857;0.70004676249871;11.61;12.613735662234859;32204.57;2553.135;4.0;enero
CARNE CERDO;0.83827877024617;5.23825869227301;74.121;6.248826617349156;240978.0;38563.72;3.0;enero
CARNE CERDO ADOBAD;0.07155829867703;0.51108139177005;19.84;7.142168011521512;23511.51;3291.929;4.0;enero
CARN.CERDO IBERICO;0.0240038273422;0.24622563473377;6.498;10.257765614769722;11327.23;1104.259;4.0;enero
CARNE DESPOJOS;0.06378129590468;0.33033909900162;14.56;5.179247212149304;15196.74;2934.16;3.0;enero
DESPOJOS CERDO;0.03223503512653;0.16864361462684;8.231;5.231687012744424;7758.189;1482.923;4.0;enero
DESPOJOS CORDERO;0.00249600163858;0.01717181662848;1.264;6.879729709722734;789.9629;114.82469999999999;4.0;enero
DESPOJOS POLLO;0.01420628069463;0.04987079733965;3.887;3.510475289883679;2294.229;653.538;4.0;enero
DESPOJOS TERNERA;0.01211542253597;0.08024062474867;4.163;6.623014963811872;3691.346;557.3513;4.0;enero
DESPOJOS OT.PROCED;0.00272855156146;0.01441227174296;0.776;5.282022867558722;663.0143;125.5228;4.0;enero
OTRAS CARNES FRESCA;0.23752433182674;1.59835341494212;46.187;6.729219708353848;73529.78;10926.94;3.0;enero
AVESTRUZ;0.00023310901131;0.00146682003444;0.075;6.2924209843134244;67.47878999999999;10.72382;4.0;enero
PAVO;0.11809954177458;0.7873330319136;27.53;6.666689981036215;36220.04;5432.987;4.0;enero
OTRAS AVES;0.02514991516471;0.15170206113649;7.815;6.031911445544145;6978.819;1156.983;2.0;enero
CARNE CABALLO;0.0037780814197;0.04889106658614;0.981;12.9407127996465;2249.158;173.8048;4.0;enero
CARNE CONGELADA;0.08495855296133;0.38154677418005;11.848;4.49097543308787;17552.47;3908.387;2.0;enero
C.CONG.POLLO;0.05666046123434;0.18957041223635;7.513;3.3457265985236573;8720.894;2606.577;3.0;enero
C.CONG.CERDO;0.01258687190478;0.07930826000239;2.994;6.300871304829585;3648.454;579.0396;3.0;enero
C.CONG.VACA;0.00500092217242;0.04295951214599;1.114;8.590318078307499;1976.286;230.05970000000002;3.0;enero
RESTO CARNES CONG.;0.01071029982353;0.06970867674529;2.474;6.508564456066318;3206.84;492.7108;3.0;enero
C.CONG.CABALLO;3.391677836e-05;0.00034692241853;0.006;10.228637130685405;15.959629999999999;1.560289;4.0;enero
SALCHICHAS CONGELAD;0.00024993231282;0.00186612373565;0.08;7.466516492357201;85.84814;11.49775;3.0;enero
CARNE TRANSFORMADA;0.93738828197079;8.63439054197233;92.447;9.211114228800804;397211.8;43123.1;2.0;enero
