Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.03457101431592;130.15654971934208;99.655;2.7672528294076777;170728.91019999998;61696.173326;0.0;enero
T.HUEVOS KGS;0.72047801815833;1.98067299919044;79.993;2.749109548481961;2598.08779;945.065209;1.0;enero
T.HUEVOS UNDS.;11.43310488761768;1.98067299919044;79.993;0.17324016692399652;2598.08779;14997.028900000001;1.0;enero
TOTAL HUEVOS GALLINA;11.22494387559558;1.96474902547985;79.875;0.17503419591713654;2577.2;14723.98;2.0;enero
OTRAS AVES;0.20816101202209;0.01592397371058;2.161;0.07649834883055746;20.887790000000003;273.0489;2.0;enero
MIEL;0.01195860671594;0.09254919332788;3.351;7.739128439138767;121.3986;15.68634;1.0;enero
GRANEL;0.00409571572703;0.04505338301485;0.352;11.000124524633263;59.09741;5.372431;2.0;enero
ENVASADA;0.00786289175127;0.0474958179366;2.693;6.040502583404353;62.301199999999994;10.31391;2.0;enero
TOTAL CARNE;3.10981302149019;23.96313025395628;97.432;7.705649853660139;31432.91;4079.203;1.0;enero
CARNE CERTIFICADA;0.51111018656846;4.82671336383497;55.27;9.443586707283185;6331.295;670.4333;2.0;enero
CARNE FRESCA;2.3092974838124;16.54471608467898;92.128;7.164393587510164;21702.03;3029.151;2.0;enero
SALCHICHAS FRESCAS;0.03643543665787;0.27701459414015;12.887;7.6028893722689554;363.3655;47.79308;3.0;enero
CARNE VACUNO;0.26272312621711;2.91869215914317;52.819;11.109384244808252;3828.506;344.6191;3.0;enero
TERNERA;0.19996185178267;2.18687956164358;48.145;10.936483845030326;2868.573;262.2939;4.0;enero
AÑOJO;0.05424989810162;0.63535456602242;13.92;11.711626901717887;833.4071;71.16066000000001;4.0;enero
MAYOR;0.00851133821491;0.09645818394876;2.31;11.332904593044555;126.5261;11.164489999999999;4.0;enero
CARNE POLLO;0.84751414572985;4.63907495281048;69.542;5.473743389634443;6085.166;1111.701;3.0;enero
POLLO ENTERO;0.24465142993859;1.14057599449201;15.389;4.6620450768601325;1496.116;320.91409999999996;4.0;enero
POLLO FILETES;0.1398647898344;1.03284947325055;30.263;7.38462821467388;1354.809;183.4634;4.0;enero
POLLO POR PIEZAS;0.46299792595685;2.4656494850679;57.86;5.3254007131289995;3234.241;607.3235;4.0;enero
CARNE CONEJO;0.07376585873149;0.48534385857181;13.147;6.5795188576121175;636.6351;96.76013;3.0;enero
CARNE OVINO/CAPRINO;0.16261644937445;2.16768491203798;25.7;13.330046993256673;2843.395;213.30720000000002;3.0;enero
CORDERO;0.16261644937445;2.16768491203798;25.7;13.330046993256673;2843.395;213.30720000000002;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.01724835726717;0.22081325778364;1.385;12.801987711828634;289.64509999999996;22.62501;4.0;enero
OVINO/CAPRINO PIEZ;0.14536809973085;1.94687173049014;24.671;13.392702622478657;2553.75;190.68220000000002;4.0;enero
CARNE CERDO;0.68352621432186;4.41910341448944;72.521;6.465155720287469;5796.625;896.5948000000001;3.0;enero
CARNE CERDO ADOBAD;0.06242967157722;0.47876188834781;23.568;7.668819589345396;628.0014;81.89023;4.0;enero
CARN.CERDO IBERICO;0.00823828445173;0.10588268219403;3.845;12.852515935119449;138.8884;10.80632;4.0;enero
CARNE DESPOJOS;0.04546286836486;0.21655030434554;9.997;4.763234528177797;284.0533;59.63454;3.0;enero
DESPOJOS CERDO;0.03112450017795;0.13210413791387;7.148;4.244377810360005;173.2836;40.826620000000005;4.0;enero
DESPOJOS CORDERO;0.00305328875028;0.02144348371443;1.948;7.0230775626526345;28.12784;4.005059;4.0;enero
DESPOJOS POLLO;0.00680356710956;0.02488904453356;4.47;3.658234589701708;32.64745;8.924373;4.0;enero
DESPOJOS TERNERA;0.00448150546583;0.03811368392514;2.36;8.504660814472587;49.99447;5.8784790000000005;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
