Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.26150221778379;126.59825281306728;99.404;2.376918553581402;239160.91615;100618.05264200001;0.0;enero
T.HUEVOS KGS;0.71211305081253;2.19802663141533;73.766;3.0866259632615236;4152.36428;1345.276146;1.0;enero
T.HUEVOS UNDS.;11.21975131421823;2.19802663141533;73.766;0.19590689399950287;4152.36428;21195.6006;1.0;enero
TOTAL HUEVOS GALLINA;11.10954699389537;2.18799754311813;73.922;0.1969475032888765;4133.418;20987.41;2.0;enero
OTRAS AVES;0.11020432032286;0.01002908829719;1.485;0.09100449299824294;18.946279999999998;208.19060000000002;2.0;enero
MIEL;0.01807010040839;0.14842381378056;5.678;8.213779139357444;280.3923;34.13682;1.0;enero
GRANEL;0.00256046208729;0.02560462616635;0.605;10.000002067374494;48.37054;4.837053;2.0;enero
ENVASADA;0.01550963990913;0.1228191558536;5.143;7.918891513482871;232.0217;29.29977;2.0;enero
TOTAL CARNE;2.80967060850408;21.06446898713729;97.452;7.4971311310945445;39793.58;5307.841;1.0;enero
CARNE CERTIFICADA;0.40566628566241;3.31002504777608;47.5;8.159477789412906;6253.077;766.3575;2.0;enero
CARNE FRESCA;1.53911781493553;10.96904337488809;89.975;7.126838029191106;20721.98;2907.598;2.0;enero
SALCHICHAS FRESCAS;0.00195159701484;0.00953772528494;1.167;4.887138693282514;18.01803;3.686826;3.0;enero
CARNE VACUNO;0.29572933669154;3.03601467083991;53.509;10.266193759486784;5735.435;558.672;3.0;enero
TERNERA;0.08555518016958;0.84998734386141;22.596;9.934960597085478;1605.739;161.6251;4.0;enero
AÑOJO;0.19167921568654;2.02282440423662;37.583;10.553175507273393;3821.384;362.1075;4.0;enero
MAYOR;0.0184949249551;0.16320334621658;6.575;8.824223218678526;308.3128;34.939370000000004;4.0;enero
CARNE POLLO;0.53538320950968;3.24199118712389;59.556;6.05545921040923;6124.552;1011.41;3.0;enero
POLLO ENTERO;0.0859852187488;0.36042812217818;13.401;4.191745132743362;680.8965999999999;162.4375;4.0;enero
POLLO FILETES;0.15074906053946;1.14522756725016;29.854;7.596913461032006;2163.487;284.785;4.0;enero
POLLO POR PIEZAS;0.29864882435274;1.73633581530159;43.635;5.813971707622628;3280.169;564.1873;4.0;enero
CARNE CONEJO;0.03173386694285;0.21178378393663;6.063;6.673746515608389;400.0877;59.94949;3.0;enero
CARNE OVINO/CAPRINO;0.01032326559903;0.09890601476549;3.223;9.580884441714241;186.8466;19.50202;3.0;enero
