Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.69305365458731;111.09064113218086;99.38;2.43123696595025;242301.94947999998;99662.004516;0.0;enero
T.HUEVOS KGS;0.5278904463011;1.50808035150637;70.648;2.8568055400005927;3289.30327;1151.392079;1.0;enero
T.HUEVOS UNDS.;8.46712661975567;1.50808035150637;70.648;0.17811005069744612;3289.30327;18467.813899999997;1.0;enero
TOTAL HUEVOS GALLINA;8.20776259451012;1.48526029377505;70.236;0.18095799880572738;3239.53;17902.11;2.0;enero
OTRAS AVES;0.25936402524554;0.02282005773132;3.573;0.08798466830439033;49.77327;565.7039;2.0;enero
MIEL;0.01323663911459;0.07434136895131;5.09;5.616332688965868;162.1474;28.87069;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01323663911459;0.07434136895131;5.09;5.616332688965868;162.1474;28.87069;2.0;enero
TOTAL CARNE;3.1982719918321;22.42241328740625;97.952;7.0107899968075404;48905.96;6975.813;1.0;enero
CARNE CERTIFICADA;0.37875749049092;3.23083829741567;37.63;8.530097433130702;7046.844;826.1153;2.0;enero
CARNE FRESCA;2.1428827137425;13.64387037904433;91.602;6.367063531543259;29758.91;4673.883;2.0;enero
SALCHICHAS FRESCAS;0.01820733449997;0.13370437385182;11.767;7.343434803815537;291.6252;39.71237;3.0;enero
CARNE VACUNO;0.20064151715488;2.29029234388451;37.518;11.414847616590624;4995.401;437.62309999999997;3.0;enero
TERNERA;0.14568010536335;1.63867738970048;33.103;11.248463787236144;3574.151;317.7457;4.0;enero
AÑOJO;0.03801058806969;0.40306111213936;9.988;10.603916766569412;879.1244;82.90563;4.0;enero
MAYOR;0.01695083747623;0.2485539337407;4.663;14.663224403464262;542.1258;36.9718;4.0;enero
CARNE POLLO;0.94848820566929;4.57214727703774;73.174;4.8204577028044735;9972.399;2068.766;3.0;enero
POLLO ENTERO;0.24501153248687;0.90833313616547;25.883;3.7073076803604192;1981.183;534.3994;4.0;enero
POLLO FILETES;0.10443724578721;0.73142214043547;30.852;7.003460642055998;1595.319;227.7901;4.0;enero
POLLO POR PIEZAS;0.59903919815511;2.93239200043679;66.953;4.895158796732835;6395.897;1306.576;4.0;enero
CARNE CONEJO;0.02614483219865;0.20001477475039;6.829;7.650260412099956;436.2561;57.025;3.0;enero
CARNE OVINO/CAPRINO;0.06237540306759;0.79421283484906;14.134;12.732788820432758;1732.273;136.0482;3.0;enero
CORDERO;0.06137302785258;0.78560120164981;13.877;12.800430891837037;1713.49;133.8619;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00100237429804;0.00861161944484;0.241;8.591221324814825;18.782970000000002;2.186298;4.0;enero
OVINO/CAPRINO ENTE;0.01912114509883;0.23029610681863;0.824;12.044054141540084;502.3033;41.7055;4.0;enero
OVINO/CAPRINO PIEZ;0.04325423962955;0.56391686557448;13.269;13.037262252304524;1229.97;94.34266000000001;4.0;enero
CARNE CERDO;0.64709158873954;4.11326546955567;73.134;6.356542939412661;8971.523;1411.384;3.0;enero
CARNE CERDO ADOBAD;0.08208977566984;0.57980503769219;24.308;7.063060325857481;1264.624;179.04760000000002;4.0;enero
CARN.CERDO IBERICO;0.01077801164672;0.11422790661438;4.581;10.598235589134482;249.1447;23.50813;4.0;enero
CARNE DESPOJOS;0.06586856355021;0.35697445532173;15.063;5.419496586555596;778.6039000000001;143.6672;3.0;enero
DESPOJOS CERDO;0.0429651999704;0.2411747411102;9.558;5.613257735943324;526.0309;93.71222999999999;4.0;enero
DESPOJOS CORDERO;0.00637297076678;0.03348451759214;1.594;5.254145800674953;73.03372999999999;13.90021;4.0;enero
DESPOJOS POLLO;0.00929416347189;0.03620755974876;3.708;3.895730891568927;78.97300999999999;20.27168;4.0;enero
DESPOJOS TERNERA;0.00723622934113;0.0461076093618;2.191;6.371772809869809;100.5662;15.78308;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.19227255751429;1.31696505756591;41.559;6.849469703798131;2872.458;419.36940000000004;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07869761837061;0.52911088431725;23.984;6.723340493297656;1154.054;171.6489;4.0;enero
OTRAS AVES;0.01635596861378;0.09995450168656;8.194;6.111194270836838;218.01270000000002;35.67432;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.08262564730287;0.41394497310497;14.934;5.009884782960929;902.8634000000001;180.2164;2.0;enero
C.CONG.POLLO;0.05050943171087;0.1655380281096;6.939;3.27736865180258;361.0582;110.1671;3.0;enero
C.CONG.CERDO;0.01678101183319;0.12610579845575;6.008;7.5147911049279825;275.0518;36.60139;3.0;enero
C.CONG.VACA;0.00605469841143;0.0717326625817;3.165;11.847437759446072;156.4575;13.20602;3.0;enero
RESTO CARNES CONG.;0.00928052368657;0.05056848395791;2.437;5.448882591729148;110.29589999999999;20.24193;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.9727638141788;8.36459490928777;94.093;8.598793239805177;18244.18;2121.714;2.0;enero
JAMON CURADO+PALETA;0.19989428615939;2.42653614775093;55.33;12.139097091629619;5292.565;435.9933;3.0;enero
JAMON C.+P.ENTERO;0.11249045012863;1.0357667849152;12.037;9.207597478104184;2259.131;245.3551;4.0;enero
JAMON C.+P.LONCHA;0.08740383603076;1.39076982131591;50.959;15.911999798571324;3033.435;190.6382;4.0;enero
JAMON CURADO NORMAL;0.15343506834843;1.85851450913524;51.829;12.112710145992859;4053.642;334.66020000000003;3.0;enero
JAMON C.N.ENTER/PI;0.07271821157415;0.64517468311179;10.73;8.872257294913027;1407.203;158.6071;4.0;enero
JAMON C.N.LONCHA;0.08071685677428;1.21333982602345;48.418;15.032049989463406;2646.439;176.0531;4.0;enero
JAMON IBERICO;0.04279332033615;0.51530833853311;4.457;12.04179377728142;1123.949;93.33734;3.0;enero
JAMON IBE.ENTER/PI;0.03891270283919;0.38061685685623;0.989;9.781300939931016;830.1708000000001;84.87325;4.0;enero
JAMON IBE.LONCHA;0.00388061703848;0.13469166506895;3.424;34.708826903875895;293.7786;8.464089;4.0;enero
PALETA CURADA NORM.;0.00358463140462;0.04938042427047;3.836;13.77559327488144;107.7046;7.818509;3.0;enero
PALETA C.N.ENTR/PI;0.00085954075857;0.0099748185606;0.585;11.604823228134148;21.75627;1.874761;4.0;enero
PALETA C.N.LONCHA;0.00272509064605;0.03940559195545;3.272;14.460286674334109;85.9483;5.943747999999999;4.0;enero
PALETA IBERICA;8.126240233e-05;0.00333261677079;0.271;41.010561771127776;7.268835;0.17724299999999998;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;8.126240233e-05;0.00333261677079;0.271;41.010561771127776;7.268835;0.17724299999999998;4.0;enero
HUESOS JAMON CURADO;0.00175487827406;0.00870049124271;2.987;4.957888744353836;18.97681;3.827599;3.0;enero
LOMO EMBUCHADO N+IB;0.0180433544792;0.2725895737246;17.171;15.10747760560299;594.5504;39.35471;3.0;enero
LOMO EMB.AL CORTE;0.00668300881812;0.09707116568982;5.725;14.525069221291343;211.72379999999998;14.57644;4.0;enero
LOMO EMB.ENVASADO;0.01136034566107;0.17551840803477;13.246;15.450093973469496;382.8266;24.77827;4.0;enero
LOMO EMB.NORMAL;0.01719145704369;0.24912648378805;16.61;14.491295482099453;543.3746;37.49662;4.0;enero
LOMO E.N.AL CORTE;0.00636880318196;0.0917765907365;5.337;14.410335523701471;200.1757;13.89112;5.0;enero
LOMO E.N.ENVASADO;0.01082264927693;0.15734993889956;12.719;14.53894835481068;343.199;23.605490000000003;5.0;enero
LOMO EMB.IBERICO;0.00085190018639;0.02346308993655;1.217;27.542064565017096;51.1758;1.858096;4.0;enero
LOMO E.I.AL CORTE;0.0003142047192;0.00529460246213;0.358;16.850805027738947;11.54816;0.685318;5.0;enero
LOMO E.I.ENVASADO;0.0005376950087;0.01816848747442;0.859;33.78957806982913;39.62764;1.172777;5.0;enero
OTRAS SALAZONES;0.0587674849962;0.38921877027569;15.48;6.623029219317688;848.9326;128.1789;3.0;enero
O.SALAZONES AL COR;0.03894653409158;0.24645886271545;9.071;6.328133387578897;537.5562;84.94703999999999;4.0;enero
O.SALAZONES ENVASA;0.01982093256541;0.14275990756023;7.809;7.202481875618469;311.37640000000005;43.23182;4.0;enero
TOCINO Y MANTECA;0.02427668593792;0.19049521325297;17.74;7.846837650742629;415.4928;52.95035;3.0;enero
TOCINO;0.00094957434521;0.00795142174171;0.854;8.373669509713272;17.343;2.0711350000000004;4.0;enero
CHORIZOS;0.08050453460346;0.7201559070007;43.971;8.945532205706476;1570.746;175.59;3.0;enero
CHOR.IBERICO;0.00668299964852;0.10008548947366;6.291;14.976132685529093;218.2984;14.57642;4.0;enero
CHOR.NORMAL;0.07382149827652;0.62007014243893;40.786;8.39958761221885;1352.447;161.0135;4.0;enero
CHORIZO DE PAVO;0.00081515758485;0.01009055729695;0.885;12.378658414493948;22.00871;1.7779559999999999;4.0;enero
CHORIZO DE CERDO;0.07842441003204;0.68795409315931;42.186;8.772193413737263;1500.51;171.053;4.0;enero
SALCHICHON/SALAMI;0.03959056578361;0.38655665096524;34.219;9.763857709890072;843.1261999999999;86.35175;3.0;enero
SALCHICHON DE PAVO;0.00081048383791;0.01109511487761;1.158;13.689495531638311;24.19977;1.7677619999999998;4.0;enero
SALCHICHON DE CERD;0.03871247079068;0.37464079696507;33.293;9.677522238007914;817.1363;84.43652;4.0;enero
FUET/LONGANIZAS;0.04997984125629;0.51656044790154;33.725;10.335375921916853;1126.68;109.012;3.0;enero
FUET/LONGANIZ.PAVO;0.0029842080548;0.03719701957713;3.6;12.464620057969732;81.13114;6.508914;4.0;enero
FUET/LONGANIZ.CERD;0.04595887839178;0.46495529441123;30.938;10.116767655808257;1014.123;100.2418;4.0;enero
OTROS PROD.CURADOS;0.02341486699134;0.25617038986376;16.477;10.940501603465945;558.7382;51.070620000000005;3.0;enero
O.PROD.CURAD.CORTE;0.00909804399059;0.09531298589999;4.319;10.476206314075043;207.889;19.843919999999997;4.0;enero
O.PROD.CURAD.ENVAS;0.01431682300075;0.16085740396376;11.704;11.23555162729331;350.8492;31.2267;4.0;enero
SALCHICHAS;0.1113624054966;0.37926525728899;33.364;3.405684850266391;827.2228;242.8947;3.0;enero
JAMON COCIDO;0.0895391157677;0.77844478453821;43.256;8.693907437703379;1697.881;195.2955;3.0;enero
J.COC.SIN/BAJO SAL;0.00146114927964;0.00939027467178;0.621;6.426636075157965;20.48131;3.186941;4.0;enero
PALETA COCIDA;0.00356439959129;0.04862365688727;2.29;13.641471906252086;106.054;7.774381;3.0;enero
FIAMBRES;0.19981978313033;1.39189584863515;63.108;6.965755976860745;3035.891;435.8308;3.0;enero
PAVO;0.08781353391858;0.67477049561662;41.359;7.684128692989886;1471.755;191.53179999999998;4.0;enero
POLLO;0.00572202519366;0.05287120065616;5.379;9.239945450553746;115.3184;12.48042;4.0;enero
PROD.A BASE SANGRE;0.01582103686512;0.0976781475986;5.556;6.173940964257988;213.04770000000002;34.50757;3.0;enero
MORCILLA;0.01582103686512;0.0976781475986;5.556;6.173940964257988;213.04770000000002;34.50757;4.0;enero
FOIE-GRAS Y PATES;0.01786305256407;0.14627562526766;18.86;8.188725008951156;319.0446;38.96145;3.0;enero
COCIDOS Y OTROS;0.03856761856297;0.35542827676659;31.82;9.215717485542775;775.2315;84.12058;3.0;enero
COCIDOS Y O. CORTE;0.00531860848429;0.06086567368667;5.034;11.443909410957437;132.75529999999998;11.600520000000001;4.0;enero
COCIDOS Y O.ENVASA;0.03324900549387;0.29456255723189;28.131;8.859289258625719;642.4761;72.52005;4.0;enero
COCIDOS DE PAVO;0.00121055455893;0.0156528296571;1.227;12.93029673181425;34.14069;2.640364;4.0;enero
COCIDOS DE CERDO;0.03686629948492;0.3346858082113;30.239;9.07836731343692;729.9897;80.4098;4.0;enero
TOTAL PESCA;1.35351784830454;12.23426389958055;91.094;9.038864108741189;26684.39;2952.184;1.0;enero
PESCADOS;0.75949350634564;6.53527733490175;75.969;8.604783688469864;14254.22;1656.546;2.0;enero
PESCADOS FRESCOS;0.61409843810947;5.3536317851617;60.987;8.717872335977757;11676.91;1339.422;3.0;enero
PESCADOS CONGELADOS;0.14539502238815;1.18164325733915;43.433;8.127123184345297;2577.305;317.12390000000005;3.0;enero
MERLUZA/PESCAD;0.1664932257142;1.35479471560262;34.072;8.137236273673961;2954.969;363.1416;3.0;enero
MERLUZA/PESCAD.FRE;0.10523252550543;0.92909036778252;21.853;8.828927779886;2026.457;229.52470000000002;4.0;enero
MERLUZA/PESCAD.CON;0.06126070020876;0.42570448536415;19.793;6.9490633295638515;928.5123000000001;133.6169;4.0;enero
SARDINA/BOQUERON;0.09871431280279;0.5982808719393;32.403;6.0607307588163355;1304.922;215.3077;3.0;enero
BOQUERONES FRESCOS;0.06165522240266;0.40881137054243;24.939;6.6306041015070205;891.6664000000001;134.4774;4.0;enero
SARDINAS FRESCAS;0.02698651928058;0.14102084639386;9.471;5.225603380992654;307.5833;58.86082;4.0;enero
ATUN Y BONITO;0.02452217456488;0.28859598788044;7.796;11.76877634227708;629.4623;53.48579;3.0;enero
TRUCHA FRESCA;0.01744990232051;0.15908629503288;7.491;9.116744157694944;346.9862;38.06032;3.0;enero
LENGUADO;0.0128377751134;0.14542780372094;4.062;11.328115848449611;317.1954;28.00072;3.0;enero
LENGUADO FRESCO;0.01218110312284;0.13836867610329;3.674;11.359289442662044;301.79859999999996;26.56844;4.0;enero
