Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;41.24809220948005;98.09729237809769;98.861;2.3782261705561254;114340.548664;48078.080243000004;0.0;enero
T.HUEVOS KGS;0.43066707553529;1.2739256354815;54.256;2.958028853025504;1484.8662239999999;501.978276;1.0;enero
T.HUEVOS UNDS.;6.81003321478405;1.2739256354815;54.256;0.1870659944383104;1484.8662239999999;7937.659799999999;1.0;enero
TOTAL HUEVOS GALLINA;6.71419895161943;1.26609073825337;52.819;0.1885691424064814;1475.734;7825.957;2.0;enero
OTRAS AVES;0.09583426316461;0.00783489722812;1.489;0.08175465610530802;9.132224;111.7028;2.0;enero
MIEL;0.04572035990318;0.24757590742301;7.313;5.415003467760338;288.5703;53.290879999999994;1.0;enero
GRANEL;0.02364760555842;0.11823807068912;0.79;5.000001814009596;137.81629999999998;27.56325;2.0;enero
ENVASADA;0.02207275434475;0.12933783673388;6.595;5.859614741039108;150.754;25.72763;2.0;enero
TOTAL CARNE;2.2649710192201;15.74461709059689;97.574;6.951354766569242;18351.66;2640.012;1.0;enero
CARNE CERTIFICADA;0.2399479658334;1.86846390630365;38.158;7.786954558310178;2177.85;279.6793;2.0;enero
CARNE FRESCA;1.40799138554813;8.67527143952335;86.543;6.161452071772454;10111.75;1641.131;2.0;enero
SALCHICHAS FRESCAS;0.01144265021253;0.09554307844124;3.886;8.349733380519083;111.3634;13.33736;3.0;enero
CARNE VACUNO;0.10860795529592;1.09503386927583;35.386;10.082446228659721;1276.353;126.5916;3.0;enero
TERNERA;0.08059040829952;0.77062611860433;27.993;9.562256040944137;898.2288000000001;93.93482;4.0;enero
AÑOJO;0.0211318004343;0.21968797795168;11.67;10.396084263365443;256.0646;24.630869999999998;4.0;enero
MAYOR;0.00688578860113;0.10471994430775;3.472;15.20812653042459;122.05980000000001;8.025959;4.0;enero
CARNE POLLO;0.60487251789156;2.88432452918261;63.648;4.768483347923746;3361.92;705.0292;3.0;enero
POLLO ENTERO;0.10065708521521;0.34319499931885;13.241;3.4095463680979714;400.0223;117.32419999999999;4.0;enero
POLLO FILETES;0.09585322363128;0.64369162826285;28.615;6.715388422813535;750.2760999999999;111.72489999999999;4.0;enero
POLLO POR PIEZAS;0.40836220904506;1.89743824477677;56.222;4.646458959103542;2211.622;475.9801;4.0;enero
CARNE CONEJO;0.02229126299884;0.14430296415958;5.597;6.473521225202369;168.1971;25.98232;3.0;enero
CARNE OVINO/CAPRINO;0.01901716789901;0.18180788254719;4.993;9.56019758107993;211.9122;22.16609;3.0;enero
CORDERO;0.01901716789901;0.18180788254719;4.993;9.56019758107993;211.9122;22.16609;4.0;enero
