Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.21204611077272;132.28714385136732;99.56;2.486037533230393;133301.47218;53620.056173;0.0;enero
T.HUEVOS KGS;0.52548286895117;1.69941158771836;71.16;3.2339999800759975;1712.4420400000001;529.512075;1.0;enero
T.HUEVOS UNDS.;8.32148764591284;1.69941158771836;71.16;0.20421968523296924;1712.4420400000001;8385.2937;1.0;enero
TOTAL HUEVOS GALLINA;8.19014800911188;1.68773805599241;71.212;0.20606929863962534;1700.679;8252.947;2.0;enero
OTRAS AVES;0.13133963680095;0.01167353172595;0.819;0.08888049343126803;11.76304;132.3467;2.0;enero
MIEL;0.01646083447943;0.07984940463798;4.315;4.850872216578597;80.46166000000001;16.587049999999998;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01646083447943;0.07984940463798;4.315;4.850872216578597;80.46166000000001;16.587049999999998;2.0;enero
TOTAL CARNE;3.07546051930954;22.52511583870101;95.739;7.32414404193296;22697.83;3099.042;1.0;enero
CARNE CERTIFICADA;0.42269275012713;3.45864440860076;48.462;8.182407688706556;3485.164;425.93379999999996;2.0;enero
CARNE FRESCA;2.26313016456588;14.6602010628308;88.547;6.477842632459878;14772.61;2280.483;2.0;enero
SALCHICHAS FRESCAS;0.02358619984351;0.22052281356615;6.964;9.34965424821339;222.21370000000002;23.767049999999998;3.0;enero
CARNE VACUNO;0.28843548461163;3.06703412971254;46.647;10.633345386897032;3090.551;290.64709999999997;3.0;enero
TERNERA;0.23428866218891;2.45776378676593;37.98;10.490323192780908;2476.609;236.0851;4.0;enero
AÑOJO;0.02878570200613;0.37357496691318;8.94;12.977795950000036;376.43940000000003;29.00642;4.0;enero
MAYOR;0.02536116011221;0.23569458212084;3.964;9.293525259805866;237.50179999999997;25.555619999999998;4.0;enero
CARNE POLLO;0.99198294588526;4.98675641740473;75.311;5.027058618386295;5024.993;999.5891;3.0;enero
POLLO ENTERO;0.31126543310756;1.09200590723756;21.528;3.5082787585353326;1100.379;313.65209999999996;4.0;enero
POLLO FILETES;0.13312772639886;1.03758121541345;26.856;7.79387768033187;1045.537;134.1485;4.0;enero
POLLO POR PIEZAS;0.54758978637883;2.85716929475371;62.936;5.217718383039879;2879.077;551.7885;4.0;enero
CARNE CONEJO;0.06238673187967;0.36596779585491;10.461;5.8661158363091515;368.7739;62.865089999999995;3.0;enero
CARNE OVINO/CAPRINO;0.04509420451017;0.60512165354485;13.305;13.419055954482362;609.7615;45.43997;3.0;enero
CORDERO;0.03693094731237;0.48226169772252;11.596;13.058470816990969;485.9595;37.21412;4.0;enero
CABRITO;0.00675817087406;0.11512565951292;1.199;17.035032356875707;116.0084;6.80999;4.0;enero
OTRO OVINO/CAPRINO;0.00140508533134;0.00773437570066;0.658;5.504559422936889;7.79368;1.415859;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.04509420451017;0.60512165354485;13.305;13.419055954482362;609.7615;45.43997;4.0;enero
CARNE CERDO;0.65875471529223;4.27479050565986;68.744;6.489199100098251;4307.568;663.8058000000001;3.0;enero
CARNE CERDO ADOBAD;0.0260234419826;0.17712983469424;9.233;6.806549064980411;178.488;26.22298;4.0;enero
CARN.CERDO IBERICO;0.01640336513288;0.15851754675505;2.022;9.663721161536536;159.733;16.529139999999998;4.0;enero
CARNE DESPOJOS;0.02820443891407;0.15699908971555;7.541;5.56646739876217;158.2029;28.4207;3.0;enero
DESPOJOS CERDO;0.01184321069112;0.05979736616723;3.88;5.049084047119076;60.25587;11.93402;4.0;enero
DESPOJOS CORDERO;0.00402690023551;0.0179792617472;0.591;4.464789464773446;18.11712;4.057777;4.0;enero
DESPOJOS POLLO;0.00267961868639;0.0132482275475;1.701;4.94407193634463;13.34981;2.700165;4.0;enero
DESPOJOS TERNERA;0.00607334089414;0.04090172090598;1.921;6.734632818886686;41.21534;6.119909;4.0;enero
DESPOJOS OT.PROCED;0.00358136840689;0.02507248357589;1.797;7.000811066415173;25.26473;3.608829;4.0;enero
OTRAS CARNES FRESCA;0.18827180225534;1.20353673060914;36.4;6.392549049787209;1212.765;189.7154;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.11024696749811;0.73432407769287;26.156;6.660719059736813;739.9546;111.09230000000001;4.0;enero
OTRAS AVES;0.02498519288823;0.11749737409282;4.962;4.702680288218068;118.3983;25.17677;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.04307279393026;0.23153328935696;7.992;5.375395191030311;233.3086;43.403059999999996;2.0;enero
C.CONG.POLLO;0.02795624199519;0.09460853713161;4.514;3.3841650515076003;95.33396;28.1706;3.0;enero
C.CONG.CERDO;0.01465891095489;0.13419276011874;3.957;9.15434717706148;135.2217;14.77131;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.00045764296495;0.00273198714464;0.322;5.969691121365623;2.752935;0.461152;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.76925712416148;7.63338009716623;87.019;9.923054148490207;7691.91;775.1555;2.0;enero
JAMON CURADO+PALETA;0.18315444027255;2.47041875321758;59.165;13.488172874986184;2489.361;184.5588;3.0;enero
JAMON C.+P.ENTERO;0.09048851789774;0.24157935984681;5.383;2.6697239103839725;243.4317;91.18235;4.0;enero
JAMON C.+P.LONCHA;0.09266593229871;2.22883909565354;56.654;24.052411068057193;2245.929;93.37646000000001;4.0;enero
JAMON CURADO NORMAL;0.16041807422145;1.35268412419321;49.522;8.432242630751615;1363.056;161.6481;3.0;enero
JAMON C.N.ENTER/PI;0.09024225614076;0.23296203427544;4.768;2.5815182846497797;234.7483;90.9342;4.0;enero
JAMON C.N.LONCHA;0.07017578830896;1.11972238763498;46.933;15.955964508801456;1128.308;70.71387;4.0;enero
JAMON IBERICO;0.01885027315757;0.92241804353133;10.714;48.933935111748944;929.4908;18.99481;3.0;enero
JAMON IBE.ENTER/PI;0.00024627068849;0.0086173116779;0.615;34.99121933921398;8.683386;0.248159;4.0;enero
JAMON IBE.LONCHA;0.01860400147668;0.91380071795995;10.253;49.11850383935263;920.8074;18.746650000000002;4.0;enero
PALETA CURADA NORM.;0.00191560585098;0.03007412287691;2.214;15.699535925615475;30.30472;1.9302940000000002;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00191560585098;0.03007412287691;2.214;15.699535925615475;30.30472;1.9302940000000002;4.0;enero
PALETA IBERICA;0.00197054360881;0.16524228398578;1.098;83.8561923961538;166.5093;1.9856530000000001;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00197054360881;0.16524228398578;1.098;83.8561923961538;166.5093;1.9856530000000001;4.0;enero
HUESOS JAMON CURADO;0.00118546033365;0.00384798112035;0.921;3.2459804947469757;3.8774859999999998;1.19455;3.0;enero
LOMO EMBUCHADO N+IB;0.00651837851218;0.21299999571902;8.68;32.67683754800857;214.63320000000002;6.568359;3.0;enero
LOMO EMB.AL CORTE;0.0017912126515;0.04405970665272;2.251;24.597697328508815;44.39754;1.8049469999999999;4.0;enero
LOMO EMB.ENVASADO;0.00472716586067;0.16894032876192;7.332;35.738185149636436;170.2357;4.763412000000001;4.0;enero
LOMO EMB.NORMAL;0.00385866619122;0.06206815461098;6.646;16.085391048370564;62.54407;3.888253;4.0;enero
LOMO E.N.AL CORTE;0.00112296452811;0.01742876276743;1.757;15.520314605748625;17.5624;1.131575;5.0;enero
LOMO E.N.ENVASADO;0.00273570166311;0.04463939184354;5.519;16.317346458309604;44.98167;2.756678;5.0;enero
LOMO EMB.IBERICO;0.00265971132856;0.15093181133631;2.065;56.74744086518998;152.0891;2.680105;4.0;enero
LOMO E.I.AL CORTE;0.00066824812339;0.02663094388528;0.507;39.85187979304159;26.83514;0.673372;5.0;enero
LOMO E.I.ENVASADO;0.00199146320517;0.12430090714665;1.69;62.41687359504229;125.254;2.006733;5.0;enero
OTRAS SALAZONES;0.03907610901497;0.2418377783901;7.19;6.1888909742117795;243.6921;39.375730000000004;3.0;enero
