Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;52.08395386188112;133.30322614357607;99.268;2.5593914489878467;251827.77553;98393.614478;0.0;enero
T.HUEVOS KGS;0.74301404681339;2.40593883620956;78.825;3.238079880895984;4545.143;1403.65376;1.0;enero
T.HUEVOS UNDS.;11.60959448145931;2.40593883620956;78.825;0.20723711237734296;4545.143;21932.09;1.0;enero
TOTAL HUEVOS GALLINA;11.60959448145931;2.40593883620956;78.825;0.20723711237734296;4545.143;21932.09;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.03952778617013;0.3148124059201;11.204;7.9643318390022015;594.7230999999999;74.67332;1.0;enero
GRANEL;0.00941841161743;0.12196974453929;2.33;12.95013952390453;230.41729999999998;17.792650000000002;2.0;enero
ENVASADA;0.03010936925928;0.19284266138081;9.137;6.404739326161123;364.3058;56.880660000000006;2.0;enero
TOTAL CARNE;2.86623524190946;22.89108639962243;93.649;7.986464636577616;43244.35;5414.705;1.0;enero
CARNE CERTIFICADA;0.50762245978289;4.37079164718578;51.123;8.610319663663192;8257.015;958.9673;2.0;enero
CARNE FRESCA;1.52247148384978;11.35691797731494;84.374;7.459527549637468;21454.75;2876.154;2.0;enero
SALCHICHAS FRESCAS;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE VACUNO;0.30453299173047;3.37166077016525;48.176;11.07157799556026;6369.522;575.3039;3.0;enero
TERNERA;0.09282486966795;0.96594319925659;21.692;10.40608193377346;1824.797;175.3587;4.0;enero
AÑOJO;0.17914628632072;1.95112536349229;29.231;10.891240915813095;3685.939;338.4315;4.0;enero
MAYOR;0.03256188867607;0.4545924191535;8.381;13.960873820183439;858.7864000000001;61.5138;4.0;enero
CARNE POLLO;0.53531063613377;3.30854563709732;61.401;6.180608816206092;6250.289;1011.274;3.0;enero
POLLO ENTERO;0.09682855412577;0.42403816901027;11.142;4.379267798003742;801.0653000000001;182.9222;4.0;enero
