Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;41.75335650124865;121.2237339855203;99.639;2.9033290768346984;67521.36555;23256.531989;0.0;enero
T.HUEVOS KGS;0.93836498442076;3.11354134827791;83.595;3.3180493730803855;1734.236;522.667328;1.0;enero
T.HUEVOS UNDS.;14.66195288157449;3.11354134827791;83.595;0.21235515987714468;1734.236;8166.677;1.0;enero
TOTAL HUEVOS GALLINA;14.66195288157449;3.11354134827791;83.595;0.21235515987714468;1734.236;8166.677;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.00530782609289;0.0501869753548;1.604;9.455278766952775;27.95404;2.956448;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00530782609289;0.0501869753548;1.604;9.455278766952775;27.95404;2.956448;2.0;enero
TOTAL CARNE;2.55131122379193;19.646662856386;98.926;7.70061397181711;10943.15;1421.075;1.0;enero
CARNE CERTIFICADA;0.38573987276703;3.84254588897112;51.656;9.961495194695246;2140.29;214.85629999999998;2.0;enero
CARNE FRESCA;1.69910406473093;12.43811147269003;87.875;7.320394160000862;6928.002;946.3974000000001;2.0;enero
SALCHICHAS FRESCAS;0.00738679981079;0.0677938100626;2.423;9.177696945775262;37.76101;4.114432;3.0;enero
CARNE VACUNO;0.30560581874571;3.6216258469536;43.271;11.850644277054995;2017.238;170.2218;3.0;enero
TERNERA;0.17069949382533;1.97617440797169;34.836;11.576920140102057;1100.725;95.07925999999999;4.0;enero
AÑOJO;0.10133666528662;1.22300622152288;14.592;12.068743510196157;681.2119;56.444309999999994;4.0;enero
MAYOR;0.03356969554053;0.42244503792513;5.326;12.5841188346503;235.301;18.69825;4.0;enero
CARNE POLLO;0.66172888338982;3.57340124882734;69.891;5.4000986484404;1990.377;368.5816;3.0;enero
POLLO ENTERO;0.12077569719951;0.52953664409437;12.279;4.384463566537009;294.9508;67.27181;4.0;enero
POLLO FILETES;0.07275573180079;0.54492467331889;20.984;7.489783414053472;303.5219;40.52479;4.0;enero
POLLO POR PIEZAS;0.46819745438951;2.4989411881513;56.395;5.3373660294878915;1391.905;260.785;4.0;enero
CARNE CONEJO;0.02397955170504;0.20067454387186;5.397;8.36856945201459;111.7753;13.35656;3.0;enero
CARNE OVINO/CAPRINO;0.01658419351372;0.2171029719875;3.007;13.090957471511615;120.9259;9.237361;3.0;enero
CORDERO;0.01658419351372;0.2171029719875;3.007;13.090957471511615;120.9259;9.237361;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.01658419351372;0.2171029719875;3.007;13.090957471511615;120.9259;9.237361;4.0;enero
CARNE CERDO;0.5031913025105;3.26141982258876;63.107;6.481470975982646;1816.604;280.2765;3.0;enero
CARNE CERDO ADOBAD;0.05104153871663;0.40363257928748;18.376;7.9079234175975195;224.8225;28.43003;4.0;enero
CARN.CERDO IBERICO;0.02009425879692;0.14640888170289;5.757;7.286105110047301;81.54944;11.192459999999999;4.0;enero
