Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.98176607601935;147.7359041632521;99.603;2.9557959984558044;369438.016281;124987.65695399999;0.0;enero
T.HUEVOS KGS;0.67722753599506;2.03874952516525;71.496;3.0104350706438296;5098.229740000001;1693.5192490000002;1.0;enero
T.HUEVOS UNDS.;10.76388883051877;2.03874952516525;71.496;0.18940640852633117;5098.229740000001;26916.8809;1.0;enero
TOTAL HUEVOS GALLINA;10.54793792018292;2.01951714557687;71.46;0.1914608486377833;5050.136;26376.86;2.0;enero
OTRAS AVES;0.21595091033585;0.01923237958837;1.559;0.08905903456699546;48.09374;540.0209;2.0;enero
MIEL;0.0692794894993;0.48377889975386;10.396;6.983003241655738;1209.769;173.2448;1.0;enero
GRANEL;0.05114135480772;0.383028542485;4.965;7.48960491807637;957.8261;127.8874;2.0;enero
ENVASADA;0.01813811469689;0.10075011733269;5.738;5.5546080183255855;251.9423;45.35735;2.0;enero
TOTAL CARNE;4.21756999509914;32.90520619089838;97.681;7.801934817711271;82284.9;10546.73;1.0;enero
CARNE CERTIFICADA;0.73854152496545;7.0571545772113;49.516;9.55552848235775;17647.58;1846.845;2.0;enero
CARNE FRESCA;3.14164902356823;22.615627539108;92.199;7.1986486617214505;56554.11;7856.212;2.0;enero
SALCHICHAS FRESCAS;0.05727088416211;0.43914837286325;18.191;7.667916765876273;1098.163;143.21529999999998;3.0;enero
CARNE VACUNO;0.48106562157032;5.34223080031714;56.964;11.104993915131042;13359.13;1202.984;3.0;enero
TERNERA;0.37658017795068;4.11418149965715;51.113;10.925114333011681;10288.19;941.7009;4.0;enero
AÑOJO;0.07875268933326;0.89229182260042;10.411;11.330302877967807;2231.323;196.9341;4.0;enero
MAYOR;0.02573287425444;0.33575863775105;7.34;13.047848228341257;839.6199;64.3493;4.0;enero
CARNE POLLO;1.10422864080973;5.6756620972133;82.448;5.13993378495538;14192.93;2761.306;3.0;enero
POLLO ENTERO;0.27275067982913;1.03921873546814;27.701;3.810141687343058;2598.738;682.0581;4.0;enero
POLLO FILETES;0.14664662743236;1.0893781914915;34.851;7.428593555579129;2724.17;366.7141;4.0;enero
POLLO POR PIEZAS;0.68483141352695;3.54706676982811;67.658;5.179474392917162;8870.026;1712.534;4.0;enero
CARNE CONEJO;0.0456001089516;0.39565226418208;7.867;8.676564010011347;989.3938;114.0306;3.0;enero
CARNE OVINO/CAPRINO;0.11212277185259;1.51919704629697;13.68;13.549406790390949;3799.003;280.3815;3.0;enero
CORDERO;0.10096126116186;1.36461936877079;13.384;13.516267061907877;3412.456;252.47029999999998;4.0;enero
CABRITO;0.00075195155747;0.01905193959103;0.314;25.33665819497027;47.64252;1.8803789999999998;4.0;enero
OTRO OVINO/CAPRINO;0.01040958272697;0.13552546600748;1.134;13.019298617641816;338.9038;26.03088;4.0;enero
OVINO/CAPRINO ENTE;0.03827513762198;0.52212949730116;1.977;13.641479292846448;1305.671;95.7133;4.0;enero
OVINO/CAPRINO PIEZ;0.0738476342306;0.9970675489958;12.225;13.501685726075197;2493.332;184.6682;4.0;enero
CARNE CERDO;1.00872124874892;7.04745315809077;76.196;6.986521962168886;17623.32;2522.474;3.0;enero
CARNE CERDO ADOBAD;0.13836487063746;1.09073583031732;27.969;7.8830401480675665;2727.565;346.0042;4.0;enero
CARN.CERDO IBERICO;0.02318295661191;0.28358887653144;6.258;12.23264492440508;709.1608;57.972809999999996;4.0;enero
CARNE DESPOJOS;0.14735131996222;0.87412465563233;19.668;5.932248559812395;2185.893;368.4763;3.0;enero
DESPOJOS CERDO;0.08295485142734;0.46080061269348;14.499;5.554836212286501;1152.308;207.4423;4.0;enero
DESPOJOS CORDERO;0.01020714458181;0.056931014578;2.039;5.5775652163692735;142.3654;25.52465;4.0;enero
DESPOJOS POLLO;0.01029742056559;0.03170646909228;2.957;3.079069063004846;79.28725999999999;25.750400000000003;4.0;enero
