Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.64887246089472;148.34526152065854;98.946;2.928895636032052;149482.24768;51037.068662;0.0;enero
T.HUEVOS KGS;0.55721067270265;1.82246547825255;78.879;3.2706937744264444;1836.4336899999998;561.4813909999999;1.0;enero
T.HUEVOS UNDS.;9.15371423351152;1.82246547825255;78.879;0.1990957366333934;1836.4336899999998;9223.8725;1.0;enero
TOTAL HUEVOS GALLINA;8.62358389569523;1.78058974310334;78.677;0.2064790885831341;1794.237;8689.679;2.0;enero
OTRAS AVES;0.53013033781628;0.0418757351492;4.358;0.07899139544004187;42.196690000000004;534.1935;2.0;enero
MIEL;0.04433655430196;0.30824963335544;17.454;6.952494126089474;310.61220000000003;44.676370000000006;1.0;enero
GRANEL;0.00292699218868;0.04712478402982;0.748;16.100071674963196;47.48597;2.949426;2.0;enero
ENVASADA;0.0414095581437;0.2611248195538;16.733;6.305906927275282;263.12620000000004;41.72694;2.0;enero
TOTAL CARNE;3.5729373684019;29.04945167171083;95.418;8.130411668734073;29272.1;3600.322;1.0;enero
CARNE CERTIFICADA;0.7031152024318;6.73657976131973;47.681;9.581046943687843;6788.212;708.5042;2.0;enero
CARNE FRESCA;2.73039103017918;19.99024558439744;90.807;7.321385605008217;20143.46;2751.318;2.0;enero
SALCHICHAS FRESCAS;0.02977101130754;0.23991031723482;5.906;8.058520913397995;241.7491;29.99919;3.0;enero
CARNE VACUNO;0.37637667643405;4.75411527885834;47.928;12.631269620372649;4790.553;379.26140000000004;3.0;enero
TERNERA;0.29837849032545;3.79510060738848;43.043;12.719082408551166;3824.188;300.66540000000003;4.0;enero
AÑOJO;0.06821403632247;0.85491861144316;11.294;12.532884103230783;861.4711;68.73686000000001;4.0;enero
MAYOR;0.0097841061208;0.10409645698422;3.949;10.639342592870584;104.8943;9.859096;4.0;enero
CARNE POLLO;1.04497582573633;5.74949523013587;75.688;5.5020365912145;5793.562;1052.985;3.0;enero
POLLO ENTERO;0.30946472037095;1.21916079222041;27.287;3.9395792540067465;1228.505;311.8366;4.0;enero
POLLO FILETES;0.0914719966416;0.68099166735702;29.387;7.444810350267128;686.2111;92.17308;4.0;enero
POLLO POR PIEZAS;0.64403938659404;3.84934187740398;61.387;5.976873398630087;3878.845;648.9756;4.0;enero
