Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;45.92833981783379;125.96684400947532;99.271;2.742682285253492;70165.31553;25582.735524;0.0;enero
T.HUEVOS KGS;0.79628108867235;2.3220989661144;68.348;2.9161799760761062;1293.442;443.53984;1.0;enero
T.HUEVOS UNDS.;12.44189201050553;2.3220989661144;68.348;0.1866355184688708;1293.442;6930.31;1.0;enero
TOTAL HUEVOS GALLINA;12.44189201050553;2.3220989661144;68.348;0.1866355184688708;1293.442;6930.31;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.02616651622801;0.22989936288098;8.584;8.786013425618451;128.0572;14.57512;1.0;enero
GRANEL;0.00990268904748;0.0990268904748;2.534;10.0;55.15938;5.515938;2.0;enero
ENVASADA;0.01626382538524;0.1308725083119;6.195;8.046846618916213;72.89784;9.059181;2.0;enero
TOTAL CARNE;2.98605515969323;23.9987616332075;96.103;8.036945183448317;13367.65;1663.275;1.0;enero
CARNE CERTIFICADA;0.36037647729328;3.9154624157315;36.046;10.864922275559595;2180.968;200.73479999999998;2.0;enero
CARNE FRESCA;2.1320984095523;15.79456980829625;81.535;7.407992866339007;8797.799;1187.609;2.0;enero
SALCHICHAS FRESCAS;0.0066688251058;0.05097985320661;2.088;7.644502951841771;28.3965;3.71463;3.0;enero
CARNE VACUNO;0.33275832830398;4.05599026210697;47.905;12.188996990036747;2259.244;185.3511;3.0;enero
TERNERA;0.22192775221793;2.50927374171943;36.149;11.306714534986721;1397.701;123.6169;4.0;enero
AÑOJO;0.06851481145275;0.94005186877691;17.633;13.720418240150595;523.6222;38.16372;4.0;enero
MAYOR;0.04231563896324;0.60666554925387;10.928;14.336674669638754;337.9213;23.57041;4.0;enero
CARNE POLLO;0.90827565671604;5.0576775480768;59.728;5.56843895427441;2817.198;505.92240000000004;3.0;enero
POLLO ENTERO;0.20348513302116;0.82769799209234;23.584;4.067609165364584;461.0395;113.34410000000001;4.0;enero
POLLO FILETES;0.16468787859531;1.26615453142517;34.208;7.688207184552466;705.266;91.73348;4.0;enero
POLLO POR PIEZAS;0.54010260919383;2.96382592220254;48.471;5.487523799646862;1650.893;300.84479999999996;4.0;enero
CARNE CONEJO;0.04938549516827;0.55312274503436;15.415;11.20010527685705;308.0972;27.508419999999997;3.0;enero
CARNE OVINO/CAPRINO;0.04338212891085;0.52358076702754;5.188;12.069042718107504;291.6419;24.16446;3.0;enero
CORDERO;0.04338212891085;0.52358076702754;5.188;12.069042718107504;291.6419;24.16446;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.02273812940306;0.27398028911059;1.197;12.049376809053914;152.6109;12.66546;4.0;enero
OVINO/CAPRINO PIEZ;0.02064399950778;0.24960065744559;4.314;12.090712235846595;139.0311;11.499;4.0;enero
CARNE CERDO;0.54224259070642;3.75453293352628;56.498;6.924083422947138;2091.328;302.03679999999997;3.0;enero
CARNE CERDO ADOBAD;0.10459480999071;0.83467088487329;25.881;7.980041121996457;464.9235;58.26079;4.0;enero
CARN.CERDO IBERICO;0.0270902090871;0.25555149361991;6.123;9.43335257391997;142.3458;15.08963;4.0;enero
CARNE DESPOJOS;0.08085135605121;0.49136740270298;18.385;6.077416962452829;273.6986;45.03535;3.0;enero
DESPOJOS CERDO;0.03061169947014;0.17224499351035;5.31;5.626770041903332;95.9429;17.05115;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.01218109612595;0.02803497860976;3.865;2.301515259372711;15.615879999999999;6.785043;4.0;enero
DESPOJOS TERNERA;0.03360083354619;0.2498832355413;7.068;7.436816565808976;139.1885;18.71614;4.0;enero
DESPOJOS OT.PROCED;0.00445772870421;0.04120410527724;2.468;9.243295860118614;22.95127;2.483018;4.0;enero
OTRAS CARNES FRESCA;0.1752027998369;1.35829671359208;39.2;7.752711228681826;756.5905;97.59044;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08841719605866;0.73161389934891;17.379;8.274565717549553;407.5193;49.249629999999996;4.0;enero
OTRAS AVES;0.01248056607237;0.0707181306732;5.291;5.66625986859329;39.391;6.951852;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.02882346844225;0.27172397303255;3.263;9.42717818908408;151.35410000000002;16.05508;2.0;enero
C.CONG.POLLO;0.00803236315834;0.02913304764697;1.403;3.62695847693635;16.227520000000002;4.47414;3.0;enero
C.CONG.CERDO;0.01325695746911;0.13672424467121;1.733;10.313395437056906;76.15733999999999;7.384313;3.0;enero
C.CONG.VACA;0.00190640217143;0.02382205158263;0.74;12.495816433482469;13.269219999999999;1.061893;3.0;enero
RESTO CARNES CONG.;0.00562774923393;0.08204470094319;1.714;14.578599282363811;45.70006;3.1347359999999997;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.82513396390753;7.93247341726686;92.924;9.613558239320922;4418.5;459.61129999999997;2.0;enero
JAMON CURADO+PALETA;0.11581935412868;2.2023910573241;41.21;19.01574286864884;1226.763;64.51302;3.0;enero
JAMON C.+P.ENTERO;0.04904934572329;1.0105771856796;3.962;20.603275553984123;562.9058;27.321180000000002;4.0;enero
JAMON C.+P.LONCHA;0.06677000840539;1.19181387164449;40.216;17.849539038670848;663.8571999999999;37.19184;4.0;enero
JAMON CURADO NORMAL;0.06267190790305;0.90819576646662;36.8;14.491273632063121;505.8779;34.90914;3.0;enero
JAMON C.N.ENTER/PI;0.00618830590132;0.08616877924124;2.363;13.924453738264345;47.99723;3.446974;4.0;enero
JAMON C.N.LONCHA;0.05648360918287;0.82202704108397;36.723;14.553373146226088;457.8807;31.462169999999997;4.0;enero
JAMON IBERICO;0.00783349568173;0.27415694530257;4.034;34.99803362906818;152.70929999999998;4.363368;3.0;enero
JAMON IBE.ENTER/PI;0.00412944620469;0.10323615511746;1.03;25.0;57.504;2.30016;4.0;enero
JAMON IBE.LONCHA;0.00370404947703;0.17092079018511;3.931;46.144305372991965;95.20530000000001;2.063208;4.0;enero
PALETA CURADA NORM.;0.00499458758975;0.0959978830855;2.582;19.220382335941476;53.47218;2.782056;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00499458758975;0.0959978830855;2.582;19.220382335941476;53.47218;2.782056;4.0;enero
PALETA IBERICA;0.04031935218241;0.92404042656366;3.292;22.918037531530448;514.7035999999999;22.45845;3.0;enero
PALETA IB.ENTER/PI;0.03873158284554;0.82117212565084;0.66;21.201615460062186;457.4045;21.57404;4.0;enero
PALETA IBE.LONCHA;0.00158775676986;0.10286824705422;2.565;64.78841659288808;57.29907;0.884403;4.0;enero
HUESOS JAMON CURADO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LOMO EMBUCHADO N+IB;0.01104420940394;0.23935729124057;7.49;21.67265057062337;133.3254;6.151781;3.0;enero
LOMO EMB.AL CORTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO EMB.ENVASADO;0.01104420940394;0.23935729124057;7.49;21.67265057062337;133.3254;6.151781;4.0;enero
LOMO EMB.NORMAL;0.00896730169209;0.17290817234487;6.392;19.282073725393474;96.31230000000001;4.994914;4.0;enero
LOMO E.N.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.N.ENVASADO;0.00896730169209;0.17290817234487;6.392;19.282073725393474;96.31230000000001;4.994914;5.0;enero
LOMO EMB.IBERICO;0.00207690771185;0.06644913684856;1.413;31.994265546514857;37.01311;1.1568669999999999;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.00207690771185;0.06644913684856;1.413;31.994265546514857;37.01311;1.1568669999999999;5.0;enero
OTRAS SALAZONES;0.01027960226781;0.09610899336722;8.978;9.349485599079548;53.53407;5.725884;3.0;enero
O.SALAZONES AL COR;0.00420646399571;0.03507867749043;1.727;8.339231603117291;19.53932;2.34306;4.0;enero
O.SALAZONES ENVASA;0.00607314006739;0.06103031587679;6.905;10.04921921766571;33.99475;3.382825;4.0;enero
TOCINO Y MANTECA;0.02928634716154;0.17777698934331;15.026;6.07030260082352;99.0243;16.31291;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.11311561674815;1.06828182307234;41.746;9.444158585553986;595.0481;63.007;3.0;enero
CHOR.IBERICO;0.00361198000397;0.0656746502508;6.291;18.18245122579183;36.58171;2.011924;4.0;enero
CHOR.NORMAL;0.10950362597246;1.0026071907744;41.537;9.155926864253129;558.4664;60.99507;4.0;enero
CHORIZO DE PAVO;0.00064443065756;0.00920112519221;1.447;14.277913510531903;5.125157;0.35895699999999997;4.0;enero
CHORIZO DE CERDO;0.11247118070473;1.05908080021145;41.797;9.41646378721505;589.923;62.64804;4.0;enero
SALCHICHON/SALAMI;0.02860866241206;0.18826236016906;19.254;6.580606861565706;104.8648;15.93543;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.02860866241206;0.18826236016906;19.254;6.580606861565706;104.8648;15.93543;4.0;enero
FUET/LONGANIZAS;0.0313564022648;0.31901846210406;16.053;10.173949785754692;177.6978;17.46596;3.0;enero
FUET/LONGANIZ.PAVO;0.00013734121283;0.00453130313572;0.708;32.99303277081346;2.524;0.076501;4.0;enero
FUET/LONGANIZ.CERD;0.03062853925754;0.30149502959727;15.503;9.843598059380337;167.937;17.06053;4.0;enero
OTROS PROD.CURADOS;0.02470012621166;0.3458628426102;18.292;14.002472685618594;192.6505;13.75832;3.0;enero
