Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;42.2124311440378;130.150562314024;99.005;3.0832282999745404;41200.303331;13362.715739;0.0;enero
T.HUEVOS KGS;0.74624113846269;2.19025120760546;79.076;2.93504484638509;693.343252;236.229185;1.0;enero
T.HUEVOS UNDS.;11.71462203711056;2.19025120760546;79.076;0.1869672961421205;693.343252;3708.3664700000004;1.0;enero
TOTAL HUEVOS GALLINA;11.64990587303506;2.18478602355515;79.117;0.18753679620811955;691.6132;3687.88;2.0;enero
OTRAS AVES;0.0647161640755;0.0054651840503;0.889;0.08444851650870061;1.730052;20.48647;2.0;enero
MIEL;0.00315669967317;0.01420642317407;0.894;4.500403790325243;4.497167999999999;0.999281;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00315669967317;0.01420642317407;0.894;4.500403790325243;4.497167999999999;0.999281;2.0;enero
TOTAL CARNE;3.64064770834451;30.57577481975621;96.031;8.398443702661828;9679.03;1152.479;1.0;enero
CARNE CERTIFICADA;0.53975188920614;4.38731472347897;47.911;8.128391602170625;1388.843;170.8632;2.0;enero
CARNE FRESCA;2.56946086871074;19.77614389183809;90.576;7.696612208677461;6260.312;813.3854;2.0;enero
SALCHICHAS FRESCAS;0.02993262096547;0.30315630401133;16.53;10.127957199638558;95.96678999999999;9.475434;3.0;enero
CARNE VACUNO;0.33043720892651;3.48788934898836;47.192;10.55537710271618;1104.122;104.6028;3.0;enero
TERNERA;0.18715506751666;1.94484322430673;36.455;10.39161402420231;615.6572;59.245580000000004;4.0;enero
AÑOJO;0.13473450298114;1.41813725342614;15.402;10.525420156295024;448.92379999999997;42.65139;4.0;enero
MAYOR;0.00854755313648;0.12490820787158;2.294;14.613329203936873;39.54079;2.705803;4.0;enero
CARNE POLLO;0.89498859975859;5.48348396915803;72.911;6.126875773207702;1735.845;283.3165;3.0;enero
POLLO ENTERO;0.15122060387605;0.73918025392772;18.926;4.888092197631888;233.994;47.87021;4.0;enero
POLLO FILETES;0.13646141764312;1.09902179646796;33.129;8.053718153083727;347.905;43.19806;4.0;enero
POLLO POR PIEZAS;0.60730679936738;3.64528191876235;66.809;6.00237297286894;1153.946;192.2483;4.0;enero
CARNE CONEJO;0.08344980963849;0.65978425697013;20.467;7.906360240105054;208.8605;26.41677;3.0;enero
CARNE OVINO/CAPRINO;0.14684523953976;2.16142606500174;16.96;14.719074801307512;684.2184;46.485150000000004;3.0;enero
CORDERO;0.11532973403487;1.5957216497644;18.022;13.836168643915522;505.1397;36.50864;4.0;enero
CABRITO;0.03151550550489;0.56570473113443;1.912;17.950044654894345;179.0788;9.976510000000001;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.08149124763504;1.34745527789842;3.349;16.534969300420165;426.54879999999997;25.796770000000002;4.0;enero
OVINO/CAPRINO PIEZ;0.06535399190472;0.81397110300041;16.324;12.454803131032977;257.66970000000003;20.688380000000002;4.0;enero
CARNE CERDO;0.81722231592614;5.84174602621162;74.93;7.148294793677129;1849.256;258.6989;3.0;enero
CARNE CERDO ADOBAD;0.08989013012061;0.72104934002643;19.271;8.021451732898129;228.2545;28.455509999999997;4.0;enero
CARN.CERDO IBERICO;0.01035536588611;0.1432745282898;3.827;13.835776530300341;45.35481;3.278082;4.0;enero
