Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.31409139448126;134.87148343537112;99.301;2.7349481582553223;187341.19233000002;68498.992116;0.0;enero
T.HUEVOS KGS;0.65180486107074;2.01947575076011;79.538;3.098282739779861;2805.12222;905.379675;1.0;enero
T.HUEVOS UNDS.;10.23058661280587;2.01947575076011;79.538;0.19739589010783473;2805.12222;14210.64146;1.0;enero
TOTAL HUEVOS GALLINA;10.17590730842075;2.01187751093789;79.562;0.19770988964031047;2794.568;14134.69;2.0;enero
OTRAS AVES;0.05467930438511;0.00759823982221;1.249;0.1389600673904096;10.554219999999999;75.95146000000001;2.0;enero
MIEL;0.02350009413151;0.14515380828166;6.923;6.176733057720851;201.6237;32.642450000000004;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02350009413151;0.14515380828166;6.923;6.176733057720851;201.6237;32.642450000000004;2.0;enero
TOTAL CARNE;3.34400462389119;25.46173676215544;98.209;7.614145201906848;35367.24;4644.939;1.0;enero
CARNE CERTIFICADA;0.42794051929493;3.6813777258548;46.411;8.60254535354628;5113.562;594.4243;2.0;enero
CARNE FRESCA;2.30481832275145;15.74174313703985;91.224;6.82992797377957;21865.83;3201.473;2.0;enero
SALCHICHAS FRESCAS;0.02317989338472;0.20337833686242;9.852;8.773911660715928;282.4996;32.19768;3.0;enero
CARNE VACUNO;0.19859832724318;2.23430389384371;47.963;11.250366127745957;3103.526;275.86;3.0;enero
TERNERA;0.12866386938027;1.34811951214629;32.018;10.477840582905193;1872.585;178.7186;4.0;enero
AÑOJO;0.05773713260624;0.74912806636628;21.456;12.974805511647356;1040.565;80.19889;4.0;enero
MAYOR;0.01219732525665;0.137056459316;4.796;11.236599535724046;190.3762;16.94251;4.0;enero
CARNE POLLO;1.02123282805632;5.26284127345764;79.177;5.153419601164024;7310.27;1418.528;3.0;enero
POLLO ENTERO;0.31679500072957;1.17662705606613;25.166;3.7141591671471166;1634.376;440.03929999999997;4.0;enero
POLLO FILETES;0.11754521395502;0.96766901763238;28.901;8.232313210154196;1344.126;163.27439999999999;4.0;enero
POLLO POR PIEZAS;0.58689290134145;3.11854519975911;68.212;5.313652955472957;4331.768;815.2147;4.0;enero
CARNE CONEJO;0.03012203736285;0.27897197594331;7.201;9.261391338930455;387.5018;41.840559999999996;3.0;enero
CARNE OVINO/CAPRINO;0.07991282513285;1.05419888331186;14.878;13.19186102555186;1464.319;111.0017;3.0;enero
CORDERO;0.07218969283688;0.94134930384393;13.557;13.039940562857769;1307.567;100.274;4.0;enero
CABRITO;0.00669470022455;0.10308517371054;1.776;15.398026835077358;143.1889;9.299172;4.0;enero
OTRO OVINO/CAPRINO;0.00102847382702;0.00976442015587;0.414;9.494087160310967;13.563120000000001;1.428586;4.0;enero
OVINO/CAPRINO ENTE;0.00394381822326;0.14600677463459;0.802;37.02167959298305;202.8085;5.478101;4.0;enero
OVINO/CAPRINO PIEZ;0.07596900762951;0.9081917487151;14.111;11.954766516684419;1261.51;105.5236;4.0;enero
CARNE CERDO;0.7314496043791;5.08068385826859;72.519;6.946047722018211;7057.247;1016.009;3.0;enero
CARNE CERDO ADOBAD;0.04337416695919;0.32639080020754;14.565;7.525004469010956;453.3682;60.24823000000001;4.0;enero
CARN.CERDO IBERICO;0.01515650944531;0.12427931419863;4.295;8.199731913672784;172.6283;21.052919999999997;4.0;enero
