Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.54540609819133;155.99623035618816;99.413;2.9133447988072576;1107295.9526;380077.206465;0.0;enero
T.HUEVOS KGS;0.70374665605769;2.26488400365309;82.625;3.2183229350469884;16076.650599999999;4995.35035;1.0;enero
T.HUEVOS UNDS.;11.1319952246579;2.26488400365309;82.625;0.20345714833188783;16076.650599999999;79017.379;1.0;enero
TOTAL HUEVOS GALLINA;10.97086488539095;2.25079447631486;82.553;0.20516107889653032;15976.64;77873.64;2.0;enero
OTRAS AVES;0.16113033926694;0.01408952733822;2.414;0.08744180271897697;100.01060000000001;1143.739;2.0;enero
MIEL;0.03344578166161;0.25911839187691;10.127;7.74741623617977;1839.28;237.4056;1.0;enero
GRANEL;0.01047940241026;0.09655782130958;1.99;9.21405797099501;685.3889;74.38513;2.0;enero
ENVASADA;0.02296638347775;0.16256055647929;8.139;7.078195687045495;1153.891;163.0205;2.0;enero
TOTAL CARNE;3.47872301716906;29.95958494240494;96.618;8.612236385173786;212659.8;24692.75;1.0;enero
CARNE CERTIFICADA;0.49476597821846;5.08316412847391;51.837;10.27387563465291;36081.43;3511.959;2.0;enero
CARNE FRESCA;2.54191101983101;19.34580100215932;90.505;7.61073100168763;137320.8;18043.05;2.0;enero
SALCHICHAS FRESCAS;0.05098799028614;0.45046474648125;15.201;8.834722528839611;3197.499;361.92409999999995;3.0;enero
CARNE VACUNO;0.32016888724459;3.98455387817666;53.295;12.445162652961546;28283.25;2272.63;3.0;enero
TERNERA;0.26943646798336;3.27506357996259;47.59;12.155234977934873;23247.13;1912.52;4.0;enero
AÑOJO;0.03559315024507;0.52367814600854;9.579;14.712891171554428;3717.184;252.6481;4.0;enero
MAYOR;0.01513928310419;0.18581271572688;4.485;12.273547858777986;1318.94;107.462;4.0;enero
CARNE POLLO;1.00371818404057;5.6328031400285;77.027;5.611936925714582;39982.89;7124.615;3.0;enero
POLLO ENTERO;0.22984063960436;0.91595564915363;22.005;3.9851770806516864;6501.657;1631.46;4.0;enero
POLLO FILETES;0.13876879735319;1.09209552073157;36.018;7.8698925231149515;7751.937;985.0118;4.0;enero
POLLO POR PIEZAS;0.63510871890695;3.62475253366465;63.816;5.70729455565185;25729.3;4508.143;4.0;enero
CARNE CONEJO;0.06378253145044;0.501786890846;14.954;7.867152328939225;3561.795;452.7426;3.0;enero
CARNE OVINO/CAPRINO;0.08323151321366;1.20491700522744;16.455;14.476692285219357;8552.769;590.7958000000001;3.0;enero
CORDERO;0.07337751103543;1.04779738836184;15.015;14.279543876268383;7437.499;520.8499;4.0;enero
CABRITO;0.00962302604308;0.15561698715845;2.257;16.1713151831498;1104.604;68.30638;4.0;enero
OTRO OVINO/CAPRINO;0.00023096824584;0.0015025310909;0.045;6.505357848662733;10.665299999999998;1.639464;4.0;enero
OVINO/CAPRINO ENTE;0.00439153182216;0.05030619988039;0.524;11.455273903850467;357.08459999999997;31.172069999999998;4.0;enero
OVINO/CAPRINO PIEZ;0.07883999125312;1.15461074899491;15.983;14.644988293921735;8195.684;559.6238000000001;4.0;enero
CARNE CERDO;0.78308858283042;5.90677454615859;72.14;7.5429200165439205;41927.6;5558.537;3.0;enero
CARNE CERDO ADOBAD;0.04210452685865;0.34030871801943;12.617;8.082473392037201;2415.587;298.8673;4.0;enero
CARN.CERDO IBERICO;0.01899558656478;0.26579104830381;6.293;13.992252747619496;1886.644;134.8349;4.0;enero
CARNE DESPOJOS;0.05613820923007;0.30492507092807;11.643;5.4316850343115055;2164.426;398.4815;3.0;enero
DESPOJOS CERDO;0.02506402130117;0.13845322539144;7.902;5.523982912708673;982.7718000000001;177.91;4.0;enero
DESPOJOS CORDERO;0.00248607027943;0.02293150150555;1.664;9.223995675107158;162.7729;17.64668;4.0;enero
DESPOJOS POLLO;0.01615680544835;0.07268742277765;3.819;4.498873432003948;515.9515;114.6846;4.0;enero
DESPOJOS TERNERA;0.00638337696301;0.0372523261861;3.075;5.83583366640455;264.4253;45.310629999999996;4.0;enero
DESPOJOS OT.PROCED;0.0060479366469;0.03360055280321;1.18;5.555705154485484;238.50420000000003;42.9296;4.0;enero
OTRAS CARNES FRESCA;0.23178267509217;1.81004047079403;48.214;7.809213825296537;12848.07;1645.245;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.10727577217327;0.8696550436302;30.899;8.10672368990763;6173.005;761.4673;4.0;enero
OTRAS AVES;0.02929781363297;0.2120956337303;8.841;7.239299027131827;1505.502;207.9624;2.0;enero
CARNE CABALLO;0.00277361127992;0.04104169739713;0.157;14.7972059726601;291.32309999999995;19.68771;4.0;enero
CARNE CONGELADA;0.04810407110875;0.27914368693528;8.033;5.802911905402024;1981.424;341.45340000000004;2.0;enero
C.CONG.POLLO;0.02739652073951;0.10348124474179;3.543;3.777167390184227;734.5329;194.4666;3.0;enero
C.CONG.CERDO;0.00822230072112;0.0599113369379;2.713;7.2864443870267355;425.264;58.36372;3.0;enero
C.CONG.VACA;0.00317811677394;0.0325521917526;0.378;10.242604053906694;231.0627;22.55898;3.0;enero
RESTO CARNES CONG.;0.00930713287416;0.08319891350297;2.356;8.93926353344706;590.5644;66.06410000000001;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.88870882786347;10.33463518161809;91.532;11.628820213773924;73357.54;6308.253;2.0;enero
JAMON CURADO+PALETA;0.16415954833905;3.12127860074636;54.715;19.013689013689014;22155.53;1165.241;3.0;enero
JAMON C.+P.ENTERO;0.05505300797055;0.68067815546543;8.896;12.364050222824437;4831.605;390.7785;4.0;enero
JAMON C.+P.LONCHA;0.10910645584029;2.44060114968262;51.533;22.368989358934247;17323.93;774.4619;4.0;enero
JAMON CURADO NORMAL;0.10135588166745;1.58969798371693;43.781;15.684319030766149;11284.03;719.4466;3.0;enero
JAMON C.N.ENTER/PI;0.02612487843793;0.26951986914468;6.374;10.31659801919972;1913.112;185.4402;4.0;enero
JAMON C.N.LONCHA;0.07523101731754;1.3201786780936;40.862;17.548329467899737;9370.922;534.0065;4.0;enero
JAMON IBERICO;0.0327222484111;0.92463852715293;12.01;28.25718194961205;6563.29;232.26979999999998;3.0;enero
JAMON IBE.ENTER/PI;0.01069613695183;0.19998640498025;1.485;18.697068472553184;1419.548;75.92356;4.0;enero
JAMON IBE.LONCHA;0.02202611991208;0.72465212217267;11.288;32.89967207410729;5143.742;156.34629999999999;4.0;enero
PALETA CURADA NORM.;0.01083770056155;0.13451026643367;4.195;12.411328922565799;954.7838;76.92841;3.0;enero
PALETA C.N.ENTR/PI;0.00580961219322;0.04426953366069;0.573;7.620049701827833;314.235;41.237919999999995;4.0;enero
PALETA C.N.LONCHA;0.00502808977713;0.09024073277298;3.741;17.947319314663567;640.5488;35.6905;4.0;enero
PALETA IBERICA;0.0192436204915;0.47243137262573;7.085;24.550025440076723;3353.423;136.5955;3.0;enero
