Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.64621309092008;126.879054918772;99.471;2.555664309912436;641828.13349;251139.451688;0.0;enero
T.HUEVOS KGS;0.71209945930716;2.16579230230639;81.476;3.041418265383322;10955.83847;3602.213676;1.0;enero
T.HUEVOS UNDS.;11.25047788706946;2.16579230230639;81.476;0.19250669385303287;10955.83847;56911.4676;1.0;enero
TOTAL HUEVOS GALLINA;11.10360519326795;2.15072316506102;81.428;0.1936959327737077;10879.61;56168.5;2.0;enero
OTRAS AVES;0.1468726938015;0.01506913724537;1.057;0.10259999224730662;76.22847;742.9676;2.0;enero
MIEL;0.02762673283655;0.18535199311327;6.302;6.70915356549204;937.6183000000001;139.7521;1.0;enero
GRANEL;0.00465973248916;0.03811036194701;1.049;8.178658761121417;192.7844;23.57164;2.0;enero
ENVASADA;0.02296700825474;0.14724161139787;5.429;6.411005289183641;744.8338;116.1805;2.0;enero
TOTAL CARNE;3.14491279451403;24.17958120746422;97.961;7.688474303530121;122314.4;15908.8;1.0;enero
CARNE CERTIFICADA;0.40601158658246;3.62217102355427;42.997;8.921348905442139;18323.05;2053.843;2.0;enero
CARNE FRESCA;2.23622735965842;15.09553199270544;89.723;6.7504459810433755;76361.99;11312.14;2.0;enero
SALCHICHAS FRESCAS;0.01333028837676;0.1088834527479;7.456;8.168124324879035;550.7959000000001;67.43236;3.0;enero
CARNE VACUNO;0.25133168551461;2.68093298951629;50.279;10.666912068913984;13561.72;1271.382;3.0;enero
TERNERA;0.17881563599792;1.88679704161655;42.432;10.551633424486951;9544.518;904.5536;4.0;enero
AÑOJO;0.05751570031975;0.65643689165588;12.552;11.41317741080104;3320.64;290.9479;4.0;enero
MAYOR;0.01500029977596;0.13769889809677;4.633;9.179743082027272;696.5612;75.88025;4.0;enero
CARNE POLLO;0.96262881013398;5.01936092153943;75.565;5.214222625272177;25390.85;4869.537;3.0;enero
POLLO ENTERO;0.22930278595859;0.83840309420635;19.896;3.6563144695404195;4241.131;1159.947;4.0;enero
POLLO FILETES;0.12003175425911;0.89342582329256;30.164;7.443245571200471;4519.468;607.1905;4.0;enero
POLLO POR PIEZAS;0.61329417107434;3.28753180635666;68.37;5.360448478741774;16630.25;3102.399;4.0;enero
CARNE CONEJO;0.05613564961136;0.4182877535177;14.184;7.451374597312081;2115.943;283.9668;3.0;enero
CARNE OVINO/CAPRINO;0.04247579458492;0.61762483112346;11.506;14.540630426314289;3124.306;214.8673;3.0;enero
CORDERO;0.04053602183046;0.57678097600553;11.038;14.22885004398824;2917.694;205.0548;4.0;enero
CABRITO;0.00136752170382;0.02939888945664;0.314;21.497932628390192;148.7167;6.917720999999999;4.0;enero
OTRO OVINO/CAPRINO;0.00057223741045;0.01144499729069;0.133;20.000435276763476;57.89546;2.89471;4.0;enero
OVINO/CAPRINO ENTE;0.00057223741045;0.01144499729069;0.133;20.000435276763476;57.89546;2.89471;4.0;enero
OVINO/CAPRINO PIEZ;0.04190353938292;0.60617992476733;11.376;14.466079326327709;3066.411;211.9725;4.0;enero
CARNE CERDO;0.66645333452933;4.54944467059861;69.053;6.826351426107782;23013.74;3371.309;3.0;enero
CARNE CERDO ADOBAD;0.05695927959395;0.48975580188478;18.068;8.598349652174758;2477.47;288.1332;4.0;enero
CARN.CERDO IBERICO;0.01499589735668;0.18271257768543;3.926;12.184170999544147;924.2665999999999;75.85798;4.0;enero
CARNE DESPOJOS;0.06928067659351;0.34353419960369;15.191;4.958586094926126;1737.796;350.462;3.0;enero
DESPOJOS CERDO;0.02510100538945;0.14022158121262;6.681;5.586293418809141;709.3224;126.9755;4.0;enero
DESPOJOS CORDERO;0.00207890066955;0.01846455698839;1.415;8.881885151512556;93.40447999999999;10.516290000000001;4.0;enero
DESPOJOS POLLO;0.03037641631458;0.10199800572609;6.924;3.3578024698428233;515.9653;153.6616;4.0;enero
DESPOJOS TERNERA;0.00754890169005;0.06233760473013;2.823;8.257837668258668;315.3399;38.18674;4.0;enero
DESPOJOS OT.PROCED;0.00417542683096;0.02051236791923;1.725;4.9126397730489995;103.7635;21.121740000000003;4.0;enero
OTRAS CARNES FRESCA;0.18792079587076;1.46634741754162;44.253;7.803007701979187;7417.639;950.6128;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.0777300005336;0.59989713672328;21.861;7.7177040088137545;3034.629;393.2036;4.0;enero
OTRAS AVES;0.01891854585173;0.13007907534956;6.583;6.875743853095818;658.0156999999999;95.70102;2.0;enero
CARNE CABALLO;0.01344697719831;0.1765448021039;2.627;13.128958240962127;893.0664;68.02264;4.0;enero
CARNE CONGELADA;0.05784369735967;0.31330992077821;11.041;5.416491944317141;1584.904;292.6071;2.0;enero
C.CONG.POLLO;0.03728046538645;0.13744726632718;6.107;3.686844166304764;695.2883;188.5863;3.0;enero
C.CONG.CERDO;0.0103909905058;0.08209072829593;3.224;7.900183168301763;415.2627;52.56368;3.0;enero
C.CONG.VACA;0.00489129539455;0.05126062755113;1.556;10.479969704587395;259.3061;24.74302;3.0;enero
RESTO CARNES CONG.;0.00528095002653;0.04251125906718;2.069;8.049926405960594;215.04670000000002;26.714119999999998;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.85084333873509;8.770736131039;94.549;10.308285593535965;44367.49;4304.061;2.0;enero
JAMON CURADO+PALETA;0.20555561839934;2.99676456545434;58.887;14.578850185609047;15159.38;1039.82;3.0;enero
JAMON C.+P.ENTERO;0.0442584679857;0.49851062644293;6.97;11.26362138436189;2521.757;223.8851;4.0;enero
JAMON C.+P.LONCHA;0.16129718995041;2.49825532279834;56.791;15.488523535756705;12637.63;815.9350999999999;4.0;enero
JAMON CURADO NORMAL;0.14586227235132;2.03400073725246;55.402;13.944666461477661;10289.16;737.8563;3.0;enero
JAMON C.N.ENTER/PI;0.03308699792756;0.33503082889968;5.744;10.12575482469426;1694.781;167.3733;4.0;enero
JAMON C.N.LONCHA;0.11277527442376;1.69897030372047;53.34;15.065095717137934;8594.381;570.483;4.0;enero
JAMON IBERICO;0.05561945754853;0.87597587469824;5.84;15.749450162001397;4431.196;281.3556;3.0;enero
JAMON IBE.ENTER/PI;0.01081061400908;0.15870875718685;0.928;14.680827291914367;802.8413;54.68638;4.0;enero
JAMON IBE.LONCHA;0.04480883958578;0.71726717681653;4.915;16.007269624633604;3628.355;226.66920000000002;4.0;enero
PALETA CURADA NORM.;0.00335022723861;0.05455380323134;3.591;16.283612825566163;275.9649;16.947400000000002;3.0;enero
PALETA C.N.ENTR/PI;0.00036084853707;0.00477103442587;0.277;13.221709209360013;24.13467;1.825382;4.0;enero
PALETA C.N.LONCHA;0.0029893790969;0.04978276287495;3.487;16.65321167410174;251.83020000000002;15.122020000000001;4.0;enero
PALETA IBERICA;0.00072371186793;0.03223418980906;0.345;44.54008734330595;163.05929999999998;3.660956;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00072371186793;0.03223418980906;0.345;44.54008734330595;163.05929999999998;3.660956;4.0;enero
HUESOS JAMON CURADO;0.00499389924197;0.01926609975469;2.9;3.8579272070160577;97.45915;25.26205;3.0;enero
LOMO EMBUCHADO N+IB;0.02651252736639;0.5029474427182;19.547;18.970180992843503;2544.201;134.11579999999998;3.0;enero
LOMO EMB.AL CORTE;0.01301307103705;0.25148152987108;7.333;19.325302163876632;1272.14;65.82769;4.0;enero
LOMO EMB.ENVASADO;0.01349945237566;0.25146591284712;12.544;18.627860290132585;1272.061;68.28809;4.0;enero
LOMO EMB.NORMAL;0.02297252363408;0.39022257767557;17.263;16.986491510080167;1973.973;116.2084;4.0;enero
LOMO E.N.AL CORTE;0.0103244244238;0.16749809734479;5.99;16.22348040618876;847.3029;52.226949999999995;5.0;enero
LOMO E.N.ENVASADO;0.01264810316396;0.2227244605624;11.882;17.609317197619873;1126.67;63.98147;5.0;enero
LOMO EMB.IBERICO;0.00353999384811;0.11272482550585;2.29;31.84322638469679;570.2278;17.907349999999997;4.0;enero
LOMO E.I.AL CORTE;0.00268864463641;0.08398347206305;1.55;31.236360107141305;424.83729999999997;13.60073;5.0;enero
LOMO E.I.ENVASADO;0.0008513492117;0.02874133367441;0.746;33.75974662264142;145.3904;4.30662;5.0;enero
OTRAS SALAZONES;0.02671875115619;0.19373248353762;10.05;7.250806087644921;980.0116999999999;135.159;3.0;enero
O.SALAZONES AL COR;0.01175765011036;0.0789966795554;6.028;6.718747267853275;399.6112;59.47704;4.0;enero
O.SALAZONES ENVASA;0.01496109511531;0.1147358237506;5.25;7.668945546182556;580.4005999999999;75.68193;4.0;enero
TOCINO Y MANTECA;0.03626476577754;0.28220496041172;25.729;7.781794652771381;1427.557;183.4483;3.0;enero
TOCINO;0.00153661987399;0.01409168353045;0.903;9.17057222082567;71.28394;7.773118;4.0;enero
CHORIZOS;0.04454987374543;0.43098004495211;28.86;9.674102499476392;2180.148;225.35920000000002;3.0;enero
CHOR.IBERICO;0.00513434570832;0.08411906341412;5.694;16.383599428780663;425.52320000000003;25.97251;4.0;enero
CHOR.NORMAL;0.03941553001395;0.34686102107476;25.476;8.800110538967743;1754.625;199.38670000000002;4.0;enero
CHORIZO DE PAVO;0.00068131026409;0.00936823556037;0.86;13.750322069228055;47.38999;3.4464639999999997;4.0;enero
CHORIZO DE CERDO;0.04357626102768;0.41749919264967;28.079;9.580886078877997;2111.954;220.4341;4.0;enero
SALCHICHON/SALAMI;0.03208062899626;0.33666547663539;26.922;10.494353981482908;1703.05;162.2825;3.0;enero
SALCHICHON DE PAVO;0.00075154476525;0.01127267430391;1.278;14.999338462724149;57.02375;3.8017510000000003;4.0;enero
SALCHICHON DE CERD;0.03132909431288;0.32539295059435;26.001;10.386286540703985;1646.027;158.4808;4.0;enero
FUET/LONGANIZAS;0.05503694255484;0.61043823252823;32.851;11.091427034121395;3087.952;278.4089;3.0;enero
FUET/LONGANIZ.PAVO;0.00186630434324;0.02569721987378;2.389;13.769040385541393;129.9915;9.440854;4.0;enero
FUET/LONGANIZ.CERD;0.05289335775352;0.57864276248212;31.307;10.93980013858294;2927.112;267.5654;4.0;enero
OTROS PROD.CURADOS;0.01842827607184;0.22218082998153;15.139;12.056517338645444;1123.92;93.22095;3.0;enero
O.PROD.CURAD.CORTE;0.00663695644855;0.0913732896536;4.885;13.76734808520626;462.2193;33.573589999999996;4.0;enero
O.PROD.CURAD.ENVAS;0.01179131962328;0.13080761940146;10.796;11.093552170624148;661.7011;59.64736;4.0;enero
SALCHICHAS;0.06163363278048;0.26797014191458;20.76;4.34779080553264;1355.549;311.7788;3.0;enero
JAMON COCIDO;0.09098351641131;0.8670561818112;44.738;9.529816125059641;4386.075;460.2476;3.0;enero
J.COC.SIN/BAJO SAL;0.00187826184381;0.02080559237036;1.548;11.077045747853303;105.24680000000001;9.501342000000001;4.0;enero
PALETA COCIDA;0.00226414822629;0.02059719405823;1.543;9.097104959409362;104.1926;11.45338;3.0;enero
FIAMBRES;0.17425119503064;1.3505564760229;58.63;7.7506296343356045;6831.901;881.464;3.0;enero
PAVO;0.09465549388027;0.83261273662664;41.909;8.796243118014898;4211.84;478.82259999999997;4.0;enero
POLLO;0.00537363409847;0.06238508839032;5.296;11.609478287324746;315.58009999999996;27.18297;4.0;enero
PROD.A BASE SANGRE;0.00873116970894;0.07357476513083;4.356;8.426679080062328;372.184;44.167339999999996;3.0;enero
MORCILLA;0.00873116970894;0.07357476513083;4.356;8.426679080062328;372.184;44.167339999999996;4.0;enero
FOIE-GRAS Y PATES;0.02081492304797;0.21748504786591;18.498;10.448515584933615;1100.166;105.294;3.0;enero
COCIDOS Y OTROS;0.04202335556295;0.37831588185148;26.962;9.002514834512976;1913.742;212.5786;3.0;enero
COCIDOS Y O. CORTE;0.00266699232458;0.02415854764608;1.943;9.058349146110055;122.208;13.491200000000001;4.0;enero
COCIDOS Y O.ENVASA;0.03935636323836;0.3541573342054;26.108;8.998731210513574;1791.534;199.0874;4.0;enero
COCIDOS DE PAVO;0.00043470500169;0.00416182815908;0.07;9.573913672225125;21.05295;2.198991;4.0;enero
COCIDOS DE CERDO;0.04130307469587;0.37152781389299;26.603;8.995161174527963;1879.404;208.935;4.0;enero
TOTAL PESCA;1.35419128892851;13.05086621187559;91.322;9.637387508379211;66018.88;6850.288;1.0;enero
PESCADOS;0.6777023361925;5.77374422915993;70.47;8.519587318524257;29206.96;3428.213;2.0;enero
PESCADOS FRESCOS;0.46824977610564;3.88320068326387;51.942;8.293011297431482;19643.49;2368.68;3.0;enero
PESCADOS CONGELADOS;0.20945256008685;1.89054453431528;43.189;9.026122829586244;9563.475;1059.533;3.0;enero
MERLUZA/PESCAD;0.12323731645806;1.03256678552073;29.308;8.378686060338518;5223.324;623.4060999999999;3.0;enero
MERLUZA/PESCAD.FRE;0.03952002569578;0.37440431155925;10.107;9.473787148857541;1893.955;199.9153;4.0;enero
MERLUZA/PESCAD.CON;0.08371729076228;0.65816247396147;21.644;7.861726866321536;3329.369;423.4908;4.0;enero
SARDINA/BOQUERON;0.07944797201106;0.43957454790986;20.867;5.532860522212195;2223.624;401.8941;3.0;enero
BOQUERONES FRESCOS;0.03249220676694;0.19967926834593;11.676;6.145451116269024;1010.094;164.3645;4.0;enero
SARDINAS FRESCAS;0.04078411505918;0.19737449213528;10.408;4.839494294502733;998.4350999999999;206.3098;4.0;enero
ATUN Y BONITO;0.01739052878341;0.21222448299774;8.192;12.203451984746867;1073.555;87.97142;3.0;enero
TRUCHA FRESCA;0.01254387435531;0.09906929975568;3.938;7.89782302894906;501.1502;63.45422;3.0;enero
LENGUADO;0.0069144551496;0.09964173287314;2.536;14.410641289474844;504.0459;34.97734;3.0;enero
LENGUADO FRESCO;0.00446070043773;0.05950797790413;1.193;13.34050083271216;301.026;22.56482;4.0;enero
LENGUADO CONGELADO;0.00245375471186;0.04013373520062;1.278;16.35605018159084;203.01979999999998;12.41252;4.0;enero
BACALAO;0.07967700851688;0.61407462690462;20.201;7.707049227061375;3106.347;403.0527;3.0;enero
BACALAO FRESCO;0.0626607387474;0.40765493240746;14.119;6.505747307748731;2062.156;316.9745;4.0;enero
BACALAO CONGELADO;0.01701627569999;0.20641969449715;6.642;12.13072108940902;1044.191;86.07822999999999;4.0;enero
