Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;50.31075531420324;130.35784046639688;99.564;2.5910531386833604;181076.47831;69885.28162800001;0.0;enero
T.HUEVOS KGS;0.65232861586436;2.01865668779019;76.182;3.0945395291533764;2804.06029;906.131676;1.0;enero
T.HUEVOS UNDS.;10.40810802981697;2.01865668779019;76.182;0.19395039732554517;2804.06029;14457.6156;1.0;enero
TOTAL HUEVOS GALLINA;10.1527321401148;1.99740632675725;75.679;0.19673584402618471;2774.542;14102.88;2.0;enero
OTRAS AVES;0.25537588970216;0.02125036103294;4.575;0.08321208810167348;29.51829;354.7356;2.0;enero
MIEL;0.01791816610909;0.13910297260664;5.447;7.763237139322682;193.2241;24.88963;1.0;enero
GRANEL;0.00671729349764;0.05038100246043;1.925;7.500193713148284;69.98286;9.330807;2.0;enero
ENVASADA;0.01120087045172;0.0887220133405;3.765;7.920992723098539;123.24130000000001;15.558819999999999;2.0;enero
TOTAL CARNE;3.41223610817068;26.17392009307744;96.315;7.670606389283359;36357.47;4739.843;1.0;enero
CARNE CERTIFICADA;0.50077605747622;4.7781706700102;48.344;9.541531785866361;6637.225;695.6142;2.0;enero
CARNE FRESCA;2.28906787010967;16.31005698528386;90.227;7.125195892292339;22655.85;3179.681;2.0;enero
SALCHICHAS FRESCAS;0.03173507730866;0.26043178167742;10.845;8.206432873768893;361.7586;44.08232;3.0;enero
CARNE VACUNO;0.23603794878504;3.02293962512462;43.915;12.807006842266754;4199.082;327.87379999999996;3.0;enero
TERNERA;0.19771762797123;2.49225742308656;37.5;12.605135154915034;3461.926;274.6441;4.0;enero
AÑOJO;0.02458724253756;0.29305851877289;7.928;11.919129130694225;407.0795;34.15346;4.0;enero
MAYOR;0.01373307107719;0.23762397122711;3.884;17.30304677601392;330.0769;19.07623;4.0;enero
CARNE POLLO;0.99608558923338;5.26548220252677;75.868;5.286174460750126;7314.136;1383.635;3.0;enero
POLLO ENTERO;0.40547699314811;1.5022075163707;36.438;3.704791003572387;2086.675;563.2369;4.0;enero
POLLO FILETES;0.12851367574893;1.06658875379339;27.694;8.299418311534955;1481.569;178.51479999999998;4.0;enero
POLLO POR PIEZAS;0.46209448839341;2.69668521245779;63.313;5.835787442160383;3745.891;641.8827;4.0;enero
CARNE CONEJO;0.05719416065167;0.34103650753864;12.081;5.9627854251705195;473.7244;79.44683;3.0;enero
CARNE OVINO/CAPRINO;0.06065806937244;0.9425066685074;16.161;15.538026156427042;1309.21;84.25845;3.0;enero
CORDERO;0.04693352916807;0.66589156909889;16.242;14.187971390649487;924.9716;65.19407;4.0;enero
CABRITO;0.01372453300531;0.27661524338948;0.834;20.154801863371304;384.23859999999996;19.06437;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.06065806937244;0.9425066685074;16.161;15.538026156427042;1309.21;84.25845;4.0;enero
CARNE CERDO;0.72320564430649;5.1320780689441;71.414;7.096291503456651;7128.828;1004.585;3.0;enero
CARNE CERDO ADOBAD;0.0543455546322;0.43116708676819;21.535;7.933805988111524;598.9223000000001;75.48991000000001;4.0;enero
CARN.CERDO IBERICO;0.0177552156394;0.17202379084576;5.655;9.688634277354836;238.9535;24.66328;4.0;enero
CARNE DESPOJOS;0.05692114392481;0.39745113358864;10.746;6.9824867559514585;552.0884;79.06759;3.0;enero
DESPOJOS CERDO;0.03271458708802;0.205392461911;6.318;6.27831436045167;285.305;45.44293;4.0;enero
DESPOJOS CORDERO;0.00212017746525;0.01907685301414;1.463;8.997762369782825;26.49913;2.94508;4.0;enero
DESPOJOS POLLO;0.01074984284508;0.03804918303869;3.997;3.5395106316437315;52.85307;14.93231;4.0;enero
DESPOJOS TERNERA;0.01133652932739;0.1349326356248;1.634;11.902464301726143;187.43120000000002;15.74726;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.15896579617209;1.20856191516781;39.127;7.602653805221565;1678.78;220.815;3.0;enero
