Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.05113326286796;132.95518395860051;99.275;2.7105425525254576;6116397.8723;2256521.62022;0.0;enero
T.HUEVOS KGS;0.68350382210927;2.10725495741216;78.24;3.0830185424702465;96941.00940000001;31443.537579999997;1.0;enero
T.HUEVOS UNDS.;10.83704851996395;2.10725495741216;78.24;0.19444915776931293;96941.00940000001;498541.678;1.0;enero
TOTAL HUEVOS GALLINA;10.65061735017837;2.08905677222911;78.0;0.19614419554694904;96103.83;489965.2;2.0;enero
OTRAS AVES;0.18643116978557;0.01819818518305;2.263;0.09761342593078419;837.1794;8576.478;2.0;enero
MIEL;0.02556010174408;0.18584375738842;6.934;7.270853584589229;8549.455;1175.853;1.0;enero
GRANEL;0.00850110707554;0.07482135791404;1.752;8.801366369004015;3442.041;391.08029999999997;2.0;enero
ENVASADA;0.01705899901603;0.11102242121187;5.381;6.508143948395771;5107.415;784.7729;2.0;enero
TOTAL CARNE;3.19065815380712;25.10357081986812;96.956;7.867834662862368;1154851.0;146781.3;1.0;enero
CARNE CERTIFICADA;0.46619998051285;4.30107691652924;46.572;9.22581959741332;197864.4;21446.81;2.0;enero
CARNE FRESCA;2.24793114243023;15.97188719821686;89.309;7.1051496626136466;734762.0;103412.6;2.0;enero
SALCHICHAS FRESCAS;0.02626876590274;0.22272696509787;9.013;8.478775360915682;10246.21;1208.454;3.0;enero
CARNE VACUNO;0.30125845736168;3.42743384621715;50.182;11.377054361339583;157673.8;13858.93;3.0;enero
TERNERA;0.21787819888726;2.45639591798969;40.766;11.274170295765304;113002.7;10023.15;4.0;enero
AÑOJO;0.06596530576172;0.76632113200105;15.179;11.617032971378407;35253.42;3034.632;4.0;enero
MAYOR;0.01741490054268;0.20471723097635;5.103;11.75529142268272;9417.7;801.1456;4.0;enero
CARNE POLLO;0.89906398685915;4.88014863586075;73.661;5.428032606343561;224503.7;41360.05;3.0;enero
POLLO ENTERO;0.20977030792672;0.83350108565266;19.279;3.973398780268802;38343.93;9650.159;4.0;enero
POLLO FILETES;0.13145297348909;0.99536370964635;31.926;7.572013650409745;45790.17;6047.291;4.0;enero
POLLO POR PIEZAS;0.55784070544334;3.05128384056173;62.726;5.469812100098977;140369.6;25662.6;4.0;enero
CARNE CONEJO;0.04686978363599;0.35305326234979;10.916;7.532641180759234;16241.67;2156.172;3.0;enero
CARNE OVINO/CAPRINO;0.05317315797228;0.69984503852115;10.361;13.161622615793233;32195.29;2446.149;3.0;enero
CORDERO;0.04707144240106;0.62086140630764;9.545;13.189768034250633;28561.77;2165.449;4.0;enero
CABRITO;0.00521671465841;0.07104461987168;0.825;13.618651684737792;3268.298;239.9869;4.0;enero
OTRO OVINO/CAPRINO;0.00088500156492;0.00793882757309;0.244;8.97041077411636;365.2135;40.71313;4.0;enero
OVINO/CAPRINO ENTE;0.01259240409791;0.130042470746;0.52;10.327056671214157;5982.403;579.2941;4.0;enero
OVINO/CAPRINO PIEZ;0.04058075604811;0.56980241561266;9.912;14.041197629167772;26212.88;1866.855;4.0;enero
CARNE CERDO;0.70511877280947;4.88158983195042;69.202;6.923074551681829;224570.0;32437.9;3.0;enero
CARNE CERDO ADOBAD;0.06119199040523;0.4927042939394;18.095;8.051777539454992;22666.1;2815.043;4.0;enero
CARN.CERDO IBERICO;0.02221939616571;0.25075312073011;5.386;11.28532561640981;11535.51;1022.169;4.0;enero
CARNE DESPOJOS;0.04819120611399;0.27438960610069;11.377;5.693769221123321;12622.87;2216.962;3.0;enero
DESPOJOS CERDO;0.02251235242062;0.13098529122861;6.529;5.818374232121787;6025.776;1035.646;4.0;enero
DESPOJOS CORDERO;0.00257575651721;0.0195151014778;1.099;7.576454275628156;897.7621;118.4937;4.0;enero
DESPOJOS POLLO;0.01268167130548;0.04884885236583;3.241;3.851925443353085;2247.216;583.4006999999999;4.0;enero
DESPOJOS TERNERA;0.00832200531172;0.06285634364508;2.901;7.553028541875086;2891.609;382.841;4.0;enero
DESPOJOS OT.PROCED;0.00209940338632;0.01218393912835;0.715;5.803524566884115;560.5033000000001;96.57981;4.0;enero
OTRAS CARNES FRESCA;0.19425640806506;1.45542893359166;41.98;7.492308480779761;66954.76;8936.466;3.0;enero
AVESTRUZ;0.00014108803234;0.00116276896077;0.033;8.241442888315712;53.49139;6.490537000000001;4.0;enero
PAVO;0.09696230345098;0.75613624488407;24.601;7.7982496080685095;34784.88;4460.601;4.0;enero
OTRAS AVES;0.01885085137419;0.13247352726306;6.016;7.027455929358283;6094.24;867.2043000000001;2.0;enero
CARNE CABALLO;0.00269461932773;0.03610080995898;0.482;13.39736918954065;1660.762;123.9618;4.0;enero
CARNE CONGELADA;0.07529401806146;0.38779043561048;11.413;5.150348534911954;17839.7;3463.785;2.0;enero
C.CONG.POLLO;0.05031502484023;0.19709128207469;7.316;3.9171456776682585;9066.88;2314.665;3.0;enero
C.CONG.CERDO;0.01350314220785;0.089429173664;3.153;6.622841727313588;4114.051;621.1912;3.0;enero
C.CONG.VACA;0.00420497326597;0.03963624004068;1.096;9.426038534288859;1823.404;193.4433;3.0;enero
RESTO CARNES CONG.;0.00727089296365;0.06163371809359;1.983;8.476774228652781;2835.364;334.4862;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00017404462196;0.00136452902257;0.055;7.840110238309286;62.773050000000005;8.006654000000001;3.0;enero
CARNE TRANSFORMADA;0.86743179775306;8.7438866647915;92.221;10.080200757501718;402249.0;39904.86;2.0;enero
JAMON CURADO+PALETA;0.1564491610709;2.58512103116974;55.792;16.523712965121724;118924.5;7197.202;3.0;enero
JAMON C.+P.ENTERO;0.0473389657838;0.54433693719555;7.654;11.4987078442213;25041.38;2177.756;4.0;enero
JAMON C.+P.LONCHA;0.1091101952871;2.04078518084906;52.929;18.70389082779255;93883.17;5019.446;4.0;enero
JAMON CURADO NORMAL;0.11621607455911;1.65240652855401;49.049;14.218399088273644;76016.41;5346.341;3.0;enero
JAMON C.N.ENTER/PI;0.03310640445459;0.33137163013675;5.945;10.009290818373364;15244.24;1523.009;4.0;enero
JAMON C.N.LONCHA;0.08310967010451;1.32103489841725;46.346;15.89508052138815;60772.17;3823.332;4.0;enero
JAMON IBERICO;0.02610247404624;0.63910525327811;8.293;24.484470404828762;29401.05;1200.804;3.0;enero
