Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.1636577201814;145.28730459569792;99.695;3.1472225506122005;191928.47917500001;60983.446861000004;0.0;enero
T.HUEVOS KGS;0.7524181034369;2.29398990554173;74.174;3.048823380329667;3030.42303;993.96477;1.0;enero
T.HUEVOS UNDS.;12.08583832888035;2.29398990554173;74.174;0.18980809134770676;3030.42303;15965.721;1.0;enero
TOTAL HUEVOS GALLINA;11.69555037311297;2.2589141474609;73.636;0.1931430394805484;2984.087;15450.14;2.0;enero
OTRAS AVES;0.39028795576738;0.03507575808083;4.309;0.08987148479094459;46.33603;515.581;2.0;enero
MIEL;0.03302361257739;0.27429715587683;9.09;8.306091746744821;362.354;43.62508999999999;1.0;enero
GRANEL;0.01815339627467;0.17073055146987;2.589;9.404882088542116;225.5397;23.98113;2.0;enero
ENVASADA;0.01487021630272;0.10356660440696;5.77;6.96470060008267;136.81429999999997;19.64396;2.0;enero
TOTAL CARNE;3.78636795093907;31.68158115021027;97.902;8.36727480284972;41852.23;5001.895;1.0;enero
CARNE CERTIFICADA;0.65338178429787;6.80672062936845;53.882;10.417677371711566;8991.863;863.1351;2.0;enero
CARNE FRESCA;2.8482176895494;22.44196055203844;92.592;7.879299617575526;29646.44;3762.573;2.0;enero
SALCHICHAS FRESCAS;0.0570852521356;0.48077769076472;14.891;8.422099802986747;635.1204;75.41117;3.0;enero
CARNE VACUNO;0.39751490771812;4.80913418478638;61.643;12.097997059764475;6352.997;525.128;3.0;enero
TERNERA;0.30844058643792;3.68815498351558;47.354;11.957424365284897;4872.153;407.45840000000004;4.0;enero
AÑOJO;0.06403012813521;0.8107902783685;19.478;12.662637136323774;1071.076;84.58554;4.0;enero
MAYOR;0.02504421585458;0.3101889229023;9.002;12.385651229941644;409.768;33.084089999999996;4.0;enero
CARNE POLLO;1.05748921341996;5.94875948226023;77.018;5.625361854067226;7858.473;1396.972;3.0;enero
POLLO ENTERO;0.2718710892269;1.14619291401564;17.869;4.21594262661385;1514.152;359.1491;4.0;enero
POLLO FILETES;0.15656188015404;1.2177099887509;39.399;7.777819144435446;1608.628;206.8225;4.0;enero
POLLO POR PIEZAS;0.62905601694301;3.58485657949367;67.946;5.6987875212048715;4735.693;831.0001;4.0;enero
CARNE CONEJO;0.09744697258962;0.7442780968476;16.662;7.6377754697619284;983.2116;128.7301;3.0;enero
CARNE OVINO/CAPRINO;0.14389120980346;2.0411396739196;25.503;14.185297883779924;2696.401;190.0842;3.0;enero
CORDERO;0.14061648537287;2.01333176778047;24.202;14.317892830572216;2659.666;185.75820000000002;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00327467749741;0.02780816351459;1.377;8.491878524380144;36.735339999999994;4.325938;4.0;enero
OVINO/CAPRINO ENTE;0.02196859406378;0.30294266779091;2.34;13.789806799257505;400.1955;29.02111;4.0;enero
OVINO/CAPRINO PIEZ;0.12192262330954;1.73819738462203;23.543;14.256561558792795;2296.206;161.06310000000002;4.0;enero
CARNE CERDO;0.83539385983941;6.44591730526348;78.109;7.716021885177124;8515.232;1103.578;3.0;enero
CARNE CERDO ADOBAD;0.05652141059789;0.4492833351331;16.699;7.9489052092027555;593.5155;74.66632000000001;4.0;enero
CARN.CERDO IBERICO;0.02231206163565;0.23980361897059;6.135;10.747712286139635;316.78709999999995;29.47484;4.0;enero
CARNE DESPOJOS;0.06966814987921;0.4372458084519;15.56;6.276122004243671;577.6136;92.03352000000001;3.0;enero
DESPOJOS CERDO;0.03907996787713;0.22681539270262;7.052;5.803878688327713;299.6293;51.625699999999995;4.0;enero
DESPOJOS CORDERO;0.00664118429348;0.06345187357088;4.281;9.554300975073476;83.82164999999999;8.773185;4.0;enero
DESPOJOS POLLO;0.01806836395953;0.10277865695901;4.921;5.688321155650891;135.77339999999998;23.8688;4.0;enero
DESPOJOS TERNERA;0.00504600364763;0.0342081226438;3.447;6.779250478704477;45.18986;6.665908;4.0;enero
DESPOJOS OT.PROCED;0.00083263540033;0.00999174743583;0.23;12.000147281564168;13.19937;1.099934;4.0;enero
OTRAS CARNES FRESCA;0.24681346713799;2.01548463793318;44.607;8.16602376403669;2662.51;326.0473;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.15517470204052;1.2961421369197;31.776;8.35279281916191;1712.239;204.99;4.0;enero
OTRAS AVES;0.02613357269377;0.18388198406868;6.868;7.036235964494559;242.91310000000001;34.523160000000004;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.08269670839814;0.44948567767593;11.156;5.435351495634567;593.7828000000001;109.2446;2.0;enero
C.CONG.POLLO;0.05715885395168;0.24421859245569;7.419;4.272629270385813;322.61940000000004;75.5084;3.0;enero
C.CONG.CERDO;0.00723515768647;0.06163208513262;2.156;8.518416294895081;81.41766;9.55784;3.0;enero
C.CONG.VACA;0.00535903429858;0.05330646540638;0.73;9.947028221198597;70.41928999999999;7.07943;3.0;enero
RESTO CARNES CONG.;0.01294363975179;0.09032857253055;3.88;6.978606810964448;119.3265;17.0989;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
