Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.53990001105001;154.93952300524026;99.632;3.1920033409621484;90542.413618;28365.388111;0.0;enero
T.HUEVOS KGS;0.83109191428864;2.72787798020681;75.027;3.2822819393468308;1594.097178;485.667352;1.0;enero
T.HUEVOS UNDS.;13.11946255632382;2.72787798020681;75.027;0.2079260463982896;1594.097178;7666.65459;1.0;enero
TOTAL HUEVOS GALLINA;12.96106089915343;2.71238755880722;74.278;0.20927203258372065;1585.045;7574.089;2.0;enero
OTRAS AVES;0.15840165717039;0.01549042139958;2.061;0.09779204129741947;9.052178;92.56559;2.0;enero
MIEL;0.04227443164107;0.37657873731187;15.087;8.907955061564879;220.0623;24.70402;1.0;enero
GRANEL;0.00803716996818;0.0924274666128;1.873;11.500001490407525;54.012080000000005;4.696702;2.0;enero
ENVASADA;0.03423726509536;0.28415123647432;13.211;8.299472393104125;166.05020000000002;20.00732;2.0;enero
TOTAL CARNE;3.8909677779034;33.18223618347967;98.576;8.528016184538927;19390.79;2273.775;1.0;enero
CARNE CERTIFICADA;0.51581027975135;5.85442564407589;46.211;11.349959227059166;3421.166;301.4254;2.0;enero
CARNE FRESCA;3.08415207323003;24.38469861493727;90.948;7.906451444658862;14249.75;1802.294;2.0;enero
SALCHICHAS FRESCAS;0.06249264477425;0.63481808176233;14.758;10.158284771840625;370.9703;36.518989999999995;3.0;enero
CARNE VACUNO;0.42286461636775;5.07738717343109;59.351;12.007122319771923;2967.086;247.1105;3.0;enero
TERNERA;0.3273012738339;3.92245796011095;46.503;11.984242878631267;2292.177;191.2659;4.0;enero
AÑOJO;0.06875977627658;0.80468726816484;20.882;11.702877928630038;470.23720000000003;40.18133;4.0;enero
MAYOR;0.02680360048199;0.35024160290791;10.64;13.066961027983265;204.6716;15.663290000000002;4.0;enero
CARNE POLLO;1.19267533554043;6.61236328797356;75.52;5.544143566092387;3864.084;696.9668;3.0;enero
POLLO ENTERO;0.28063823815599;1.09536567570722;21.59;3.903123405080449;640.1016999999999;163.9973;4.0;enero
POLLO FILETES;0.12599758887394;0.99773105197871;25.271;7.918651943228221;583.0467;73.62953999999999;4.0;enero
POLLO POR PIEZAS;0.78603957695996;4.51926553354545;68.764;5.749412200113206;2640.935;459.34;4.0;enero
CARNE CONEJO;0.09723061779885;0.77290634680083;13.494;7.949207402957923;451.6653;56.81891;3.0;enero
CARNE OVINO/CAPRINO;0.09701507039363;1.42494580377685;17.799;14.687880944632447;832.6993;56.692949999999996;3.0;enero
CORDERO;0.09422595952653;1.38573315149723;17.142;14.7064902120423;809.7845;55.063069999999996;4.0;enero
CABRITO;0.00278912284576;0.03921260094251;0.698;14.059115754650477;22.91477;1.6298869999999999;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.09701507039363;1.42494580377685;17.799;14.687880944632447;832.6993;56.692949999999996;4.0;enero
CARNE CERDO;0.81598930367228;6.45723794794004;64.716;7.913385529540405;3773.433;476.8418;3.0;enero
CARNE CERDO ADOBAD;0.08864467467819;0.71017856095837;20.529;8.011519739189122;415.00890000000004;51.80152;4.0;enero
CARN.CERDO IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE DESPOJOS;0.09365786308651;0.66176407427028;20.621;7.065760977901226;386.7168;54.731089999999995;3.0;enero
DESPOJOS CERDO;0.03751137473657;0.28586041993204;4.604;7.6206329930449055;167.049;21.92062;4.0;enero
DESPOJOS CORDERO;0.01124416831901;0.07553285209321;3.849;6.717513465668633;44.13933;6.570784;4.0;enero
DESPOJOS POLLO;0.01838970512349;0.11721866956333;6.702;6.374146228890684;68.49938;10.74644;4.0;enero
DESPOJOS TERNERA;0.02651262175237;0.18315214979406;12.467;6.908111596985784;107.0291;15.49325;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.3647195230561;3.37808610905466;33.883;9.262147747805233;1974.061;213.1321;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.2052144431931;1.82842073660166;23.128;8.909805314634466;1068.479;119.9217;4.0;enero
OTRAS AVES;0.02239651508618;0.1642644918328;3.075;7.334377299354902;95.99167;13.087909999999999;2.0;enero
CARNE CABALLO;0.04389678693635;0.63701650786178;4.354;14.511688720758706;372.255;25.65208;4.0;enero
CARNE CONGELADA;0.0413429026993;0.1887612422427;7.748;4.565747200084769;110.3069;24.15966;2.0;enero
C.CONG.POLLO;0.03636700214395;0.15699110167143;6.66;4.316855732292861;91.74130000000001;21.25188;3.0;enero
C.CONG.CERDO;0.00497590055534;0.03177022613311;1.427;6.384819346718115;18.56565;2.9077800000000003;3.0;enero
C.CONG.VACA;0.0;0.0;0.0;;0.0;0.0;3.0;enero
RESTO CARNES CONG.;0.0;0.0;0.0;;0.0;0.0;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.76547290464827;8.60878471136071;86.257;11.246361117532047;5030.738;447.32140000000004;2.0;enero
JAMON CURADO+PALETA;0.17389059321631;3.41773033529107;47.571;19.65448660606651;1997.228;101.6169;3.0;enero
JAMON C.+P.ENTERO;0.09772386473503;1.88972922252438;8.74;19.33743848187136;1104.306;57.107150000000004;4.0;enero
JAMON C.+P.LONCHA;0.07616664291943;1.5280004282719;46.658;20.061281024136314;892.9216;44.509699999999995;4.0;enero
JAMON CURADO NORMAL;0.15765860386542;2.93948581338631;45.487;18.644626689041967;1717.755;92.13136999999999;3.0;enero
JAMON C.N.ENTER/PI;0.09772386473503;1.88972922252438;8.74;19.33743848187136;1104.306;57.107150000000004;4.0;enero
JAMON C.N.LONCHA;0.05993473913038;1.04975624861453;40.962;17.514988199594452;613.4488;35.02422;4.0;enero
JAMON IBERICO;0.00631441297904;0.24541721716739;7.909;38.866196744146976;143.4151;3.6899699999999998;3.0;enero
JAMON IBE.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
JAMON IBE.LONCHA;0.00631441297904;0.24541721716739;7.909;38.866196744146976;143.4151;3.6899699999999998;4.0;enero
PALETA CURADA NORM.;0.00854506167011;0.16636696887691;9.407;19.469370181235607;97.22030000000001;4.9935;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00854506167011;0.16636696887691;9.407;19.469370181235607;97.22030000000001;4.9935;4.0;enero
PALETA IBERICA;0.00137243940731;0.06646019896149;3.48;48.42486932929019;38.83752;0.802016;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00137243940731;0.06646019896149;3.48;48.42486932929019;38.83752;0.802016;4.0;enero
HUESOS JAMON CURADO;0.02414452651012;0.05791126989589;2.21;2.3985258054913747;33.84176;14.109399999999999;3.0;enero
LOMO EMBUCHADO N+IB;0.00523495958229;0.08816611015498;7.356;16.841793860877814;51.521860000000004;3.059167;3.0;enero
LOMO EMB.AL CORTE;0.00193084682376;0.0260919483749;2.066;13.513215058661705;15.24742;1.1283340000000002;4.0;enero
LOMO EMB.ENVASADO;0.00330411104728;0.06207417889244;5.41;18.78695298192696;36.274449999999995;1.930832;4.0;enero
LOMO EMB.NORMAL;0.00523495958229;0.08816611015498;7.356;16.841793860877814;51.521860000000004;3.059167;4.0;enero
LOMO E.N.AL CORTE;0.00193084682376;0.0260919483749;2.066;13.513215058661705;15.24742;1.1283340000000002;5.0;enero
LOMO E.N.ENVASADO;0.00330411104728;0.06207417889244;5.41;18.78695298192696;36.274449999999995;1.930832;5.0;enero
LOMO EMB.IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.02272986404249;0.23700289399965;12.731;10.426938478668886;138.498;13.28271;3.0;enero
O.SALAZONES AL COR;0.00669055997127;0.0801072109001;4.913;11.97316984587368;46.81246;3.90978;4.0;enero
O.SALAZONES ENVASA;0.01603930578245;0.15689563176243;9.177;9.781946543722555;91.68551;9.372931000000001;4.0;enero
TOCINO Y MANTECA;0.02832413717922;0.1541817468713;12.528;5.443475502738365;90.09958999999999;16.551849999999998;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.0553623311336;0.61163595490842;40.865;11.047872125043622;357.4233;32.35223;3.0;enero
CHOR.IBERICO;0.00107186063844;0.01848674937047;2.113;17.247344204506632;10.80315;0.626366;4.0;enero
CHOR.NORMAL;0.05429048076258;0.59314911997609;41.141;10.925471862552547;346.6201;31.72587;4.0;enero
CHORIZO DE PAVO;0.0009129089726;0.01552064184398;0.711;17.001302769181166;9.069837999999999;0.533479;4.0;enero
CHORIZO DE CERDO;0.05444942044976;0.59611520696774;40.181;10.94805421331762;348.3534;31.81875;4.0;enero
SALCHICHON/SALAMI;0.01904064254387;0.22863785445584;12.269;12.00788544446172;133.6097;11.12683;3.0;enero
SALCHICHON DE PAVO;0.00048798659381;0.00810043268669;0.719;16.5997033306916;4.733671;0.285166;4.0;enero
SALCHICHON DE CERD;0.01855264910511;0.22053737214327;11.502;11.887109538576198;128.876;10.84166;4.0;enero
FUET/LONGANIZAS;0.03056344472921;0.39812919974154;13.764;13.026319620345301;232.6558;17.860439999999997;3.0;enero
FUET/LONGANIZ.PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
FUET/LONGANIZ.CERD;0.03056344472921;0.39812919974154;13.764;13.026319620345301;232.6558;17.860439999999997;4.0;enero
OTROS PROD.CURADOS;0.04685483111437;0.48808002735287;22.208;10.416855972897677;285.2206;27.38068;3.0;enero
O.PROD.CURAD.CORTE;0.01224275379159;0.16337555557851;4.299;13.344673784966586;95.4722;7.15433;4.0;enero
O.PROD.CURAD.ENVAS;0.03461207732277;0.32470447177435;18.02;9.381247728828978;189.7484;20.22635;4.0;enero
SALCHICHAS;0.06393822929341;0.30451803631118;21.601;4.762691111036767;177.952;37.36375;3.0;enero
JAMON COCIDO;0.09197273962019;0.94892469203089;35.551;10.317455976080234;554.5255999999999;53.74635;3.0;enero
J.COC.SIN/BAJO SAL;0.00073197989072;0.00689862071487;0.719;9.424604148694678;4.031365;0.42774900000000005;4.0;enero
PALETA COCIDA;0.00252676113151;0.02137182640529;2.573;8.45819026527696;12.48911;1.47657;3.0;enero
FIAMBRES;0.14578338954423;1.03426938316531;41.812;7.094562600024274;604.3987;85.19182;3.0;enero
PAVO;0.0665296409566;0.58558784842396;30.609;8.80190904390904;342.2015;38.878099999999996;4.0;enero
POLLO;0.00465178029986;0.05031601317809;2.291;10.816506785492644;29.403299999999998;2.718373;4.0;enero
PROD.A BASE SANGRE;0.01579836019854;0.10374411608373;6.129;6.566764827484538;60.62522;9.232129;3.0;enero
MORCILLA;0.01579836019854;0.10374411608373;6.129;6.566764827484538;60.62522;9.232129;4.0;enero
FOIE-GRAS Y PATES;0.01629372051234;0.24970968391282;15.276;15.32551658313032;145.9235;9.521604;3.0;enero
COCIDOS Y OTROS;0.02301445985833;0.26477147810564;17.458;11.504570593247685;154.7252;13.44902;3.0;enero
COCIDOS Y O. CORTE;0.00177840299202;0.02019868791967;0.846;11.357767620880441;11.80356;1.03925;4.0;enero
COCIDOS Y O.ENVASA;0.0212360568663;0.24457272173649;16.348;11.51686131169232;142.9216;12.40977;4.0;enero
COCIDOS DE PAVO;0.00177840299202;0.02019868791967;0.846;11.357767620880441;11.80356;1.03925;4.0;enero
COCIDOS DE CERDO;0.0212360568663;0.24457272173649;16.348;11.51686131169232;142.9216;12.40977;4.0;enero
TOTAL PESCA;1.49337902470779;15.0960069529993;83.34;10.108623934873536;8821.693;872.6898;1.0;enero
PESCADOS;0.97924849513874;9.16005284729345;62.223;9.354165865729074;5352.884;572.246;2.0;enero
PESCADOS FRESCOS;0.7559433683654;6.70220836114186;39.543;8.866019124731807;3916.587;441.7526;3.0;enero
PESCADOS CONGELADOS;0.22330495564964;2.45784277491464;40.389;11.006664709988941;1436.296;130.4933;3.0;enero
MERLUZA/PESCAD;0.150416803138;1.49285812418263;21.558;9.924809549455707;872.3854;87.89946;3.0;enero
MERLUZA/PESCAD.FRE;0.10578372228259;1.08476832757251;10.921;10.2545864729037;633.9089;61.81711;4.0;enero
MERLUZA/PESCAD.CON;0.0446330808554;0.40808979661012;13.19;9.14321370582022;238.4765;26.082349999999998;4.0;enero
SARDINA/BOQUERON;0.09390903844486;0.58105461064079;18.26;6.187419446126463;339.55240000000003;54.87787;3.0;enero
BOQUERONES FRESCOS;0.07569680570463;0.45721136640267;13.97;6.04003513948413;267.1818;44.23514;4.0;enero
SARDINAS FRESCAS;0.0;0.0;0.0;;0.0;0.0;4.0;enero
ATUN Y BONITO;0.02284852121206;0.37742494397971;8.938;16.518572054478526;220.55679999999998;13.352049999999998;3.0;enero
TRUCHA FRESCA;0.03464486462258;0.26341292709735;13.278;7.603231531337071;153.9313;20.24551;3.0;enero
LENGUADO;0.00271684019733;0.04108265778515;1.965;15.121484813689694;24.00758;1.587647;3.0;enero
LENGUADO FRESCO;0.00271684019733;0.04108265778515;1.965;15.121484813689694;24.00758;1.587647;4.0;enero
