Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;56.35553103842181;149.5661712867549;99.539;2.6539750141788985;282918.292739;106601.716756;0.0;enero
T.HUEVOS KGS;0.74223208237698;2.67257323501754;74.732;3.6007244883011156;5055.420289;1404.000863;1.0;enero
T.HUEVOS UNDS.;11.61411496664053;2.67257323501754;74.732;0.23011423967250477;5055.420289;21969.17625;1.0;enero
TOTAL HUEVOS GALLINA;11.59427652678246;2.67080948914164;74.739;0.23035585557858163;5052.084;21931.65;2.0;enero
OTRAS AVES;0.01983843985806;0.0017637458759;0.255;0.0889054728356817;3.3362890000000003;37.52625;2.0;enero
MIEL;0.03695899561347;0.35273743903963;9.744;9.544021237175013;667.2356;69.91136999999999;1.0;enero
GRANEL;0.00918654374208;0.1423931196984;2.326;15.500184149345118;269.3498;17.377200000000002;2.0;enero
ENVASADA;0.02777245187138;0.21034431934122;7.828;7.573847650015218;397.88579999999996;52.534169999999996;2.0;enero
TOTAL CARNE;2.86566167931055;23.84714617146989;97.623;8.321689313027091;45109.09;5420.665;1.0;enero
CARNE CERTIFICADA;0.47463085076774;4.59928796499474;46.601;9.690242337924476;8699.98;897.8083;2.0;enero
CARNE FRESCA;1.63005378319132;12.91992124266244;88.682;7.926070523493885;24439.23;3083.398;2.0;enero
SALCHICHAS FRESCAS;0.0008610124758;0.00693346369237;0.573;8.052686676674742;13.115290000000002;1.628685;3.0;enero
CARNE VACUNO;0.34360370793248;4.16240271148113;50.932;12.113963311184733;7873.571;649.9583;3.0;enero
TERNERA;0.16118294592253;2.13122824313242;25.82;13.22241773739925;4031.416;304.8925;4.0;enero
AÑOJO;0.12811499387814;1.38952210005906;30.112;10.845897564345176;2628.41;242.3414;4.0;enero
MAYOR;0.0543057681318;0.64165236828964;8.594;11.815547231232307;1213.745;102.72439999999999;4.0;enero
CARNE POLLO;0.61191816756836;3.75559369847663;60.934;6.137411663066954;7104.054;1157.5;3.0;enero
POLLO ENTERO;0.09641911303211;0.39909033274756;9.398;4.139120556052366;754.9164000000001;182.3857;4.0;enero
POLLO FILETES;0.16245039629553;1.25557308101459;32.042;7.728962868951153;2375.033;307.29;4.0;enero
POLLO POR PIEZAS;0.35304849964421;2.10093049617647;44.924;5.950826864563119;3974.105;667.824;4.0;enero
CARNE CONEJO;0.01814497813634;0.12846755390056;3.83;7.080061102045252;243.0083;34.32291;3.0;enero
CARNE OVINO/CAPRINO;0.00343640079396;0.04726089039725;1.718;13.753020450993505;89.39836;6.500271;3.0;enero
CORDERO;0.0023096271036;0.03720683965262;1.28;16.109457494081997;70.38019;4.368874;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00112677369036;0.01005405603117;0.437;8.922870774426352;19.01818;2.1313969999999998;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.00343640079396;0.04726089039725;1.718;13.753020450993505;89.39836;6.500271;4.0;enero
CARNE CERDO;0.4636392145132;3.33381634767815;57.915;7.190540065034117;6306.223;877.0165999999999;3.0;enero
CARNE CERDO ADOBAD;0.04906210258196;0.38219462453862;16.581;7.790017231733629;722.9566;92.80552;4.0;enero
CARN.CERDO IBERICO;0.00979119290334;0.11830410857588;3.596;12.082706340657474;223.78320000000002;18.52095;4.0;enero
CARNE DESPOJOS;0.00939687442213;0.05259277260766;2.953;5.596836803926401;99.48411;17.77506;3.0;enero
DESPOJOS CERDO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.00620037251125;0.03101854162166;2.092;5.002690010214366;58.67445;11.72858;4.0;enero
DESPOJOS TERNERA;0.00319650138222;0.02157422569944;1.447;6.749324689625152;40.809650000000005;6.046479000000001;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.17991467296168;1.43978503191037;36.506;8.002599277808615;2723.487;340.32529999999997;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09462792414627;0.79932002276056;22.317;8.44697830975293;1511.988;178.9975;4.0;enero
OTRAS AVES;0.0173737709294;0.1239208565354;4.976;7.13264017575409;234.40779999999998;32.8641;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.42588299129348;2.12249327649507;34.84;4.983747460889885;4014.893;805.5971999999999;2.0;enero
C.CONG.POLLO;0.3241799186271;1.39046733520688;31.312;4.289184046610625;2630.198;613.2164;3.0;enero
C.CONG.CERDO;0.05218719377485;0.33460758572297;10.963;6.4116799835327125;632.9413000000001;98.71692;3.0;enero
C.CONG.VACA;0.02102604746575;0.17772445527854;5.568;8.452585088472702;336.1823;39.77272;3.0;enero
RESTO CARNES CONG.;0.02848979441992;0.21969353022816;5.962;7.711306266026536;415.5707;53.89109;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00176878448675;0.01763497408051;0.662;9.970108971791667;33.35819;3.3458200000000002;3.0;enero
