Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.53712281018832;131.1776682535794;99.7;2.8187747830611656;71472.534345;25355.886811;0.0;enero
T.HUEVOS KGS;0.99369368417169;3.15119909760212;85.484;3.171197671673697;1716.94;541.416896;1.0;enero
T.HUEVOS UNDS.;15.52646381518265;3.15119909760212;85.484;0.20295665098711663;1716.94;8459.639;1.0;enero
TOTAL HUEVOS GALLINA;15.52646381518265;3.15119909760212;85.484;0.20295665098711663;1716.94;8459.639;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.01847584881236;0.18640260157644;5.114;10.08898716749018;101.562;10.06662;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01847584881236;0.18640260157644;5.114;10.08898716749018;101.562;10.06662;2.0;enero
TOTAL CARNE;2.42943732961464;18.81059970838533;93.691;7.742780387493712;10249.01;1323.686;1.0;enero
CARNE CERTIFICADA;0.27742533274147;2.78618131728935;46.855;10.042995316097276;1518.059;151.156;2.0;enero
CARNE FRESCA;1.64248604109178;11.87873804997963;86.101;7.232169864946694;6472.165;894.9133;2.0;enero
SALCHICHAS FRESCAS;0.01601234540796;0.14720339829225;6.312;9.19311909291361;80.2042;8.724373;3.0;enero
CARNE VACUNO;0.26418047369698;3.08487477538349;47.962;11.677149079995415;1680.803;143.9395;3.0;enero
TERNERA;0.17063287761263;1.98653063803878;35.589;11.642132898611612;1082.367;92.96982000000001;4.0;enero
AÑOJO;0.05886959467386;0.65840705457284;13.004;11.1841615051097;358.735;32.07527;4.0;enero
MAYOR;0.03467792799617;0.43993671570031;7.392;12.686361069461432;239.7008;18.89437;4.0;enero
CARNE POLLO;0.76912886376882;4.09188050003395;68.01;5.3201494480173706;2229.473;419.0621;3.0;enero
POLLO ENTERO;0.22601769692182;0.96144755744587;25.289;4.253859633736755;523.8475;123.1464;4.0;enero
POLLO FILETES;0.07397150537475;0.59113972555354;26.118;7.991451878108129;322.0842;40.30359;4.0;enero
POLLO POR PIEZAS;0.46913964311867;2.53929266642721;51.335;5.412658477435144;1383.541;255.6121;4.0;enero
CARNE CONEJO;0.01704875539877;0.15656656750979;4.361;9.183460249601037;85.30575;9.289064;3.0;enero
CARNE OVINO/CAPRINO;0.0059186450832;0.025981727777;0.48;4.389810068311403;14.15622;3.224791;3.0;enero
CORDERO;0.0059186450832;0.025981727777;0.48;4.389810068311403;14.15622;3.224791;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.0059186450832;0.025981727777;0.48;4.389810068311403;14.15622;3.224791;4.0;enero
CARNE CERDO;0.39837797652094;3.02430246428458;60.886;7.591540302242632;1647.8;217.0574;3.0;enero
CARNE CERDO ADOBAD;0.05886858522711;0.52848189746824;23.709;8.977316091925355;287.9449;32.07472;4.0;enero
CARN.CERDO IBERICO;0.00642007399129;0.0547201995687;5.185;8.523297339390897;29.81446;3.497996;4.0;enero
CARNE DESPOJOS;0.05908664407878;0.35856484607671;18.671;6.068458475973279;195.3651;32.193529999999996;3.0;enero
DESPOJOS CERDO;0.02412287747003;0.12845843097622;9.816;5.325170313358319;69.99095;13.14342;4.0;enero
DESPOJOS CORDERO;0.009400671082;0.05816925887199;7.157;6.187777272981968;31.69369;5.121983;4.0;enero
DESPOJOS POLLO;0.00845676128532;0.04817971876901;3.852;5.69718325295685;26.25086;4.607691;4.0;enero
DESPOJOS TERNERA;0.00624743840803;0.03365168772253;2.974;5.38647770888692;18.33522;3.403935;4.0;enero
DESPOJOS OT.PROCED;0.01085889950409;0.09010573138335;1.204;8.297869535433348;49.094370000000005;5.916503;4.0;enero
OTRAS CARNES FRESCA;0.1287448201961;1.13656527849562;39.599;8.828046648901115;619.2609;70.14699;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.0532644855867;0.473323157524;21.555;8.886280460806216;257.8915;29.02131;4.0;enero
OTRAS AVES;0.00222005237856;0.01861008687659;1.473;8.382724234913633;10.13976;1.209602;2.0;enero
CARNE CABALLO;0.00398572891511;0.05566214186189;3.198;13.965360677387924;30.32768;2.171636;4.0;enero
CARNE CONGELADA;0.08270503677011;0.49179034344789;5.802;5.946316725725933;267.95340000000004;45.06208;2.0;enero
C.CONG.POLLO;0.04867877088885;0.21054342884506;5.162;4.3251590991438675;114.7152;26.52277;3.0;enero
C.CONG.CERDO;0.01868249173896;0.12663381009087;0.66;6.778207739107456;68.99680000000001;10.17921;3.0;enero
C.CONG.VACA;0.00185837862003;0.02630812779536;0.94;14.156495082184163;14.33406;1.012543;3.0;enero
RESTO CARNES CONG.;0.01348540469904;0.128304958363;1.714;9.514357279326122;69.90733;7.347562;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.70424603150981;6.44006287231226;83.732;9.14462074923673;3508.887;383.7105;2.0;enero
JAMON CURADO+PALETA;0.05925169779926;1.2797151057097;33.981;21.597948299221954;697.2565;32.28346;3.0;enero
JAMON C.+P.ENTERO;0.0051270332708;0.08902299879884;5.82;17.36345252640167;48.50444;2.7934789999999996;4.0;enero
JAMON C.+P.LONCHA;0.05412468104668;1.19069218032516;33.679;21.999061376419586;648.7520999999999;29.489990000000002;4.0;enero
JAMON CURADO NORMAL;0.05043175776207;0.86546825920047;26.669;17.16117576713496;471.5529;27.47789;3.0;enero
JAMON C.N.ENTER/PI;0.00420951041218;0.05239243371579;3.851;12.446205992071727;28.546169999999996;2.293564;4.0;enero
JAMON C.N.LONCHA;0.04622223633774;0.81307577042394;25.227;17.59057619979416;443.0067;25.18432;4.0;enero
JAMON IBERICO;0.00422753546042;0.27655170246292;4.426;65.41676706238862;150.68;2.303385;3.0;enero
JAMON IBE.ENTER/PI;0.00091752285861;0.03663056508305;1.964;39.923326965584145;19.95827;0.499915;4.0;enero
JAMON IBE.LONCHA;0.00331001076645;0.2399212658549;5.008;72.48353035178314;130.7218;1.803469;4.0;enero
PALETA CURADA NORM.;0.00324810231492;0.0534761390399;3.223;16.463809897284232;29.13663;1.769738;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.00324810231492;0.0534761390399;3.223;16.463809897284232;29.13663;1.769738;4.0;enero
PALETA IBERICA;0.00134431510934;0.08421896829924;2.027;62.64823456490101;45.88695;0.7324539999999999;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00134431510934;0.08421896829924;2.027;62.64823456490101;45.88695;0.7324539999999999;4.0;enero
HUESOS JAMON CURADO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
LOMO EMBUCHADO N+IB;0.00455499264483;0.07677861160549;8.557;16.855924387168834;41.83305;2.481801;3.0;enero
LOMO EMB.AL CORTE;0.00131639381222;0.02094879146156;3.608;15.913772358244998;11.414010000000001;0.717241;4.0;enero
LOMO EMB.ENVASADO;0.00323859699725;0.0558298384975;5.331;17.238896517486804;30.41905;1.764559;4.0;enero
LOMO EMB.NORMAL;0.00455499264483;0.07677861160549;8.557;16.855924387168834;41.83305;2.481801;4.0;enero
LOMO E.N.AL CORTE;0.00131639381222;0.02094879146156;3.608;15.913772358244998;11.414010000000001;0.717241;5.0;enero
LOMO E.N.ENVASADO;0.00323859699725;0.0558298384975;5.331;17.238896517486804;30.41905;1.764559;5.0;enero
LOMO EMB.IBERICO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
LOMO E.I.AL CORTE;0.0;0.0;0.0;;0.0;0.0;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.00930272538148;0.08134250389995;5.677;8.743943367589225;44.3197;5.068617000000001;3.0;enero
O.SALAZONES AL COR;0.00265243145821;0.02674890730733;1.309;10.084674280455443;14.574219999999999;1.445185;4.0;enero
O.SALAZONES ENVASA;0.00665029392327;0.05459359659262;5.359;8.209200559028016;29.74548;3.6234319999999998;4.0;enero
TOCINO Y MANTECA;0.00956179163087;0.08217619679435;7.708;8.594225848741882;44.77394;5.209770000000001;3.0;enero
TOCINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZOS;0.08940453296335;0.88438859494742;45.042;9.891988310144129;481.8617;48.71232;3.0;enero
CHOR.IBERICO;0.00196190747875;0.0449033115672;3.045;22.887578570018647;24.465700000000002;1.068951;4.0;enero
CHOR.NORMAL;0.08744262731995;0.83948528338021;43.899;9.6004123973598;457.396;47.643370000000004;4.0;enero
CHORIZO DE PAVO;0.00075999961089;0.0126148174436;0.293;16.598452502849636;6.87322;0.414088;4.0;enero
CHORIZO DE CERDO;0.08864452968174;0.87177363067519;45.137;9.834488758697782;474.9884;48.298230000000004;4.0;enero
SALCHICHON/SALAMI;0.01049377343767;0.10910381288366;11.025;10.397004807817595;59.44553;5.717563;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.0103012792838;0.1042045089644;10.511;10.115686226299655;56.776129999999995;5.6126819999999995;4.0;enero
FUET/LONGANIZAS;0.0482787730256;0.4974816042268;16.239;10.304354751579842;271.0543;26.304830000000003;3.0;enero
FUET/LONGANIZ.PAVO;0.00035843251678;0.00731268921018;0.703;20.40185772147491;3.98434;0.195293;4.0;enero
FUET/LONGANIZ.CERD;0.04792032766131;0.49016880489515;15.507;10.22882832437045;267.0699;26.10953;4.0;enero
OTROS PROD.CURADOS;0.02358137352595;0.30729045722811;20.039;13.031066951631258;167.4281;12.848379999999999;3.0;enero
O.PROD.CURAD.CORTE;0.00634182718527;0.06618485338487;8.143;10.436243601612915;36.06101;3.4553629999999997;4.0;enero
O.PROD.CURAD.ENVAS;0.01723954450531;0.24110562219681;13.188;13.985614418201779;131.3671;9.393016;4.0;enero
SALCHICHAS;0.15905272473464;0.60788094106997;31.476;3.8218832282448933;331.20570000000004;86.66033999999999;3.0;enero
JAMON COCIDO;0.07277217251377;0.66835194042229;33.682;9.184169131349634;364.1535;39.65013;3.0;enero
J.COC.SIN/BAJO SAL;0.00067473439692;0.00735374065649;0.931;10.898719096050115;4.006707;0.367631;4.0;enero
PALETA COCIDA;0.00123430376712;0.01023554778212;1.771;8.292567887062575;5.576868;0.6725140000000001;3.0;enero
FIAMBRES;0.13892558622076;1.18470212330811;48.046;8.527602118053993;645.4884000000001;75.69400999999999;3.0;enero
PAVO;0.0854358471801;0.75795428824158;34.936;8.871619036489173;412.9736;46.54997;4.0;enero
POLLO;0.00439333433615;0.0504903790879;5.953;11.492496410400376;27.50983;2.393721;4.0;enero
PROD.A BASE SANGRE;0.03288164503415;0.21295435475663;16.008;6.476389929257421;116.0288;17.91566;3.0;enero
MORCILLA;0.03288164503415;0.21295435475663;16.008;6.476389929257421;116.0288;17.91566;4.0;enero
FOIE-GRAS Y PATES;0.00815120542468;0.08289308752292;9.566;10.16942687665158;45.16454;4.441208;3.0;enero
COCIDOS Y OTROS;0.03679868385094;0.35476840861623;21.339;9.64079068841843;193.2966;20.04987;3.0;enero
COCIDOS Y O. CORTE;0.00402888184601;0.03309157325109;2.392;8.213587420984826;18.03004;2.195148;4.0;enero
COCIDOS Y O.ENVASA;0.03276979833421;0.32167690877945;20.675;9.816261470356299;175.2666;17.85472;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.03679868385094;0.35476840861623;21.339;9.64079068841843;193.2966;20.04987;4.0;enero
TOTAL PESCA;1.48702022937939;14.15693639672958;92.248;9.520338807117636;7713.448;810.2073;1.0;enero
PESCADOS;0.82494521238703;7.07040363650772;77.452;8.57075540331828;3852.33;449.4738;2.0;enero
PESCADOS FRESCOS;0.66151486581375;5.46901180555434;59.436;8.267405750325377;2979.807;360.4283;3.0;enero
PESCADOS CONGELADOS;0.16343047504832;1.60139072973874;40.896;9.79860536576946;872.5224000000001;89.04557000000001;3.0;enero
MERLUZA/PESCAD;0.17610004121295;1.49099194350289;38.79;8.466732507460765;812.3713;95.94861999999999;3.0;enero
MERLUZA/PESCAD.FRE;0.08723631475774;0.79054418481128;13.533;9.062099734573003;430.7303;47.53096;4.0;enero
MERLUZA/PESCAD.CON;0.0888637264552;0.70044757515583;26.217;7.882266511847123;381.64090000000004;48.417660000000005;4.0;enero
SARDINA/BOQUERON;0.19923285331017;1.40446969302282;33.879;7.0493880386098535;765.2294;108.55260000000001;3.0;enero
BOQUERONES FRESCOS;0.17417820142875;1.28602891982997;35.16;7.383409113659953;700.6966;94.9015;4.0;enero
SARDINAS FRESCAS;0.0250545784671;0.11844068142496;5.93;4.727306890453928;64.53275;13.65106;4.0;enero
ATUN Y BONITO;0.0;0.0;0.0;;0.0;0.0;3.0;enero
TRUCHA FRESCA;0.00395381755029;0.03598703360286;2.015;9.101844772818742;19.60764;2.1542489999999996;3.0;enero
LENGUADO;0.00205558964327;0.01540622218898;1.226;7.494794614971153;8.394125;1.119994;3.0;enero
LENGUADO FRESCO;0.00205558964327;0.01540622218898;1.226;7.494794614971153;8.394125;1.119994;4.0;enero
LENGUADO CONGELADO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
BACALAO;0.07664532792728;0.57589047233424;27.553;7.513706156761317;313.7756;41.76043;3.0;enero
BACALAO FRESCO;0.06332806402042;0.4232588200255;24.333;6.683590072941253;230.6138;34.50448;4.0;enero
BACALAO CONGELADO;0.01331726757757;0.15263161560158;3.337;11.461181110349129;83.16178;7.255952000000001;4.0;enero
