Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.53740089717306;146.62123907645324;99.556;3.292092401506973;47006.422628;14278.585438999999;0.0;enero
T.HUEVOS KGS;0.84369198855232;2.54431581687242;70.486;3.0156927544590655;815.701636;270.485657;1.0;enero
T.HUEVOS UNDS.;13.42468514230887;2.54431581687242;70.486;0.1895251761885888;815.701636;4303.922320000001;1.0;enero
TOTAL HUEVOS GALLINA;13.13787292135325;2.5149798675535;69.525;0.19142976055628116;806.2966;4211.971;2.0;enero
OTRAS AVES;0.28681222095562;0.02933594931891;4.143;0.10228277310211534;9.405036;91.95132000000001;2.0;enero
MIEL;0.00636009680469;0.03117247564967;0.733;4.901258047936472;9.993822;2.0390319999999997;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.00636009680469;0.03117247564967;0.733;4.901258047936472;9.993822;2.0390319999999997;2.0;enero
TOTAL CARNE;3.98711611272941;33.31515520488458;98.235;8.355702282790668;10680.76;1278.26;1.0;enero
CARNE CERTIFICADA;0.41789921376965;4.03384134810303;46.136;9.65266555951559;1293.24;133.9775;2.0;enero
CARNE FRESCA;3.09804530234989;23.98897913643583;92.418;7.743262862631466;7690.81;993.226;2.0;enero
SALCHICHAS FRESCAS;0.04910313812309;0.45501988674258;12.962;9.266615213103508;145.8783;15.74235;3.0;enero
CARNE VACUNO;0.32726754110032;4.06996450904174;70.544;12.436199738470394;1304.821;104.9212;3.0;enero
TERNERA;0.28064031019235;3.3866812423054;62.641;12.067693482750641;1085.762;89.97261999999999;4.0;enero
AÑOJO;0.02693061654809;0.32887859477659;9.984;12.212070755575816;105.43769999999999;8.633892;4.0;enero
MAYOR;0.01969667674337;0.35440591962958;10.026;17.9931835327936;113.6217;6.3147079999999995;4.0;enero
CARNE POLLO;1.2922063469749;6.86295141721436;86.104;5.311033669878437;2200.246;414.2783;3.0;enero
POLLO ENTERO;0.31446707241366;1.18916753353484;25.987;3.781532751290948;381.2443;100.81739999999999;4.0;enero
