Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;46.0811542053946;149.4349065174501;99.695;3.242863793111244;155249.65859;47874.245880999995;0.0;enero
T.HUEVOS KGS;0.73087076346326;2.37215728736732;73.583;3.2456590220229358;2464.461735;759.310118;1.0;enero
T.HUEVOS UNDS.;11.49543396302476;2.37215728736732;73.583;0.20635647988561417;2464.461735;11942.73975;1.0;enero
TOTAL HUEVOS GALLINA;11.4058596916989;2.36465353540071;73.642;0.20731918499064955;2456.666;11849.68;2.0;enero
OTRAS AVES;0.08957427132585;0.0075037519666;0.865;0.08377128672707589;7.795735;93.05975;2.0;enero
MIEL;0.02487542719977;0.20050127361632;6.119;8.060214283199134;208.3031;25.84337;1.0;enero
GRANEL;0.0084702740413;0.076109920816;1.144;8.985532279696077;79.07148;8.799866;2.0;enero
ENVASADA;0.01640514930829;0.1243913335494;4.86;7.582456655029777;129.23160000000001;17.0435;2.0;enero
TOTAL CARNE;3.27371547613917;27.3888075366112;97.43;8.366276097063862;28454.55;3401.101;1.0;enero
CARNE CERTIFICADA;0.59909264362498;5.67976040594568;59.533;9.480604488111666;5900.769;622.4043;2.0;enero
CARNE FRESCA;2.40139390851055;17.74457028804634;89.217;7.389279295312399;18435.04;2494.836;2.0;enero
SALCHICHAS FRESCAS;0.01529882804443;0.12924651080912;9.996;8.448131479986637;134.2757;15.894129999999999;3.0;enero
CARNE VACUNO;0.35583585569792;4.21080578796972;55.061;11.833562359000437;4374.655;369.682;3.0;enero
TERNERA;0.3164378936398;3.76764007711043;50.364;11.906412451977333;3914.245;328.751;4.0;enero
AÑOJO;0.02746831381952;0.28952463185469;10.508;10.540313240810663;300.7905;28.53715;4.0;enero
MAYOR;0.01192961936222;0.15364156027749;3.076;12.878999372267792;159.62;12.39382;4.0;enero
CARNE POLLO;0.86268802426387;4.34613010171118;64.982;5.037893165863437;4515.245;896.2565999999999;3.0;enero
POLLO ENTERO;0.15421244619028;0.56050639643831;16.169;3.6346378666913006;582.3166;160.2131;4.0;enero
POLLO FILETES;0.10841663472198;0.80787075230377;22.568;7.451538727201863;839.3063000000001;112.6353;4.0;enero
POLLO POR PIEZAS;0.60005894335159;2.97775285671452;55.475;4.962433923711623;3093.622;623.4082;4.0;enero
CARNE CONEJO;0.07604883765966;0.65170857334504;10.554;8.56960597164693;677.0676;79.00802;3.0;enero
CARNE OVINO/CAPRINO;0.03765453173057;0.58507152774918;12.724;15.537878201102101;607.8376;39.119730000000004;3.0;enero
CORDERO;0.03357439634741;0.53900601094828;12.233;16.054078988372694;559.9796;34.88083;4.0;enero
CABRITO;0.00408013730825;0.04606550717544;0.964;11.290185524458927;47.85799;4.238902;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.03765453173057;0.58507152774918;12.724;15.537878201102101;607.8376;39.119730000000004;4.0;enero
CARNE CERDO;0.80964578300987;5.81615892079772;73.989;7.1835845289974305;6042.475;841.1504;3.0;enero
CARNE CERDO ADOBAD;0.10534909751832;0.84853994859732;24.863;8.054553561312911;881.558;109.44839999999999;4.0;enero
CARN.CERDO IBERICO;0.02232179319767;0.20778091123205;7.133;9.308432767566885;215.866;23.190369999999998;4.0;enero
CARNE DESPOJOS;0.04687156227761;0.33373715173986;9.021;7.120248089090944;346.7234;48.69541;3.0;enero
DESPOJOS CERDO;0.01129192314558;0.07331585249901;4.401;6.4927693497145675;76.16869;11.731309999999999;4.0;enero
DESPOJOS CORDERO;0.00033766395357;0.00243381052589;0.391;7.207788986981297;2.528514;0.350803;4.0;enero
DESPOJOS POLLO;0.00911808372663;0.05543463920948;2.204;6.079637001744875;57.59169;9.472883;4.0;enero
DESPOJOS TERNERA;0.02612388760162;0.20255284373019;4.344;7.7535490436585155;210.4345;27.14041;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.2126487940963;1.80096072735269;39.062;8.469179122346986;1871.039;220.92329999999998;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.13415462808772;1.21544123078911;21.09;9.060002238568236;1262.736;139.3748;4.0;enero
OTRAS AVES;0.00768763479076;0.04809785524972;4.203;6.25652187685815;49.96942;7.986773;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.02387050051028;0.12473804254584;4.582;5.225614875234583;129.5918;24.79934;2.0;enero
C.CONG.POLLO;0.01602961206519;0.0657960308303;1.924;4.104655219520397;68.35625999999999;16.65335;3.0;enero
C.CONG.CERDO;0.00348993406383;0.02424164854453;1.888;6.946162334623096;25.18493;3.6257330000000003;3.0;enero
C.CONG.VACA;0.00042460975296;0.00416087661233;0.358;9.799295902360292;4.322783;0.441132;3.0;enero
RESTO CARNES CONG.;0.0039263407781;0.03053950869721;1.214;7.77810954860128;31.72785;4.079121;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.84845177940222;9.51949420078086;90.995;11.219841164677407;9889.913;881.4664;2.0;enero
JAMON CURADO+PALETA;0.14034784026124;2.42800156200479;51.76;17.29988546660357;2522.479;145.809;3.0;enero
JAMON C.+P.ENTERO;0.03476959909025;0.3751306637464;4.548;10.789041966594818;389.7276;36.12254;4.0;enero
JAMON C.+P.LONCHA;0.10557827967282;2.05287147578586;50.491;19.444070145368848;2132.752;109.6865;4.0;enero
JAMON CURADO NORMAL;0.11924517869495;1.9196166355101;47.136;16.098064982742088;1994.312;123.8852;3.0;enero
JAMON C.N.ENTER/PI;0.02247209472402;0.2128036677152;4.057;9.469685417783893;221.0842;23.34652;4.0;enero
JAMON C.N.LONCHA;0.09677310322184;1.70681316030406;46.267;17.63726803708423;1773.228;100.53869999999999;4.0;enero
JAMON IBERICO;0.01763489781982;0.41129822585185;5.479;23.322971873959535;427.3025;18.321099999999998;3.0;enero
JAMON IBE.ENTER/PI;0.01229750436622;0.1623269960312;0.392;13.19999499061523;168.64339999999999;12.77602;4.0;enero
JAMON IBE.LONCHA;0.0053373915285;0.24897113356606;5.029;46.64659360968412;258.659;5.545078;4.0;enero
PALETA CURADA NORM.;0.0023261122391;0.03864923618368;2.401;16.615378885842862;40.15314;2.416625;3.0;enero
PALETA C.N.ENTR/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA C.N.LONCHA;0.0023261122391;0.03864923618368;2.401;16.615378885842862;40.15314;2.416625;4.0;enero
PALETA IBERICA;0.00114162551863;0.05843777247379;1.322;51.18821497949493;60.71168;1.186048;3.0;enero
PALETA IB.ENTER/PI;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PALETA IBE.LONCHA;0.00114162551863;0.05843777247379;1.322;51.18821497949493;60.71168;1.186048;4.0;enero
HUESOS JAMON CURADO;0.00406202893415;0.02969167910742;2.084;7.309568589667185;30.84703;4.220089;3.0;enero
LOMO EMBUCHADO N+IB;0.02218383150844;0.41344691683673;18.441;18.637308738996413;429.53479999999996;23.047040000000003;3.0;enero
LOMO EMB.AL CORTE;0.01185974816274;0.23935655235353;11.312;20.182262647479188;248.6703;12.32123;4.0;enero
LOMO EMB.ENVASADO;0.01032408334569;0.17409036448319;10.492;16.862549308630303;180.8645;10.72581;4.0;enero
LOMO EMB.NORMAL;0.0215649434367;0.38632709272337;17.716;17.91458873320785;401.35970000000003;22.40407;4.0;enero
LOMO E.N.AL CORTE;0.011240860091;0.21223672824017;10.363;18.88082642448447;220.4952;11.67826;5.0;enero
LOMO E.N.ENVASADO;0.01032408334569;0.17409036448319;10.492;16.862549308630303;180.8645;10.72581;5.0;enero
LOMO EMB.IBERICO;0.00061889192192;0.02711985298973;0.952;43.82001449514288;28.17513;0.642974;4.0;enero
LOMO E.I.AL CORTE;0.00061889192192;0.02711985298973;0.952;43.82001449514288;28.17513;0.642974;5.0;enero
LOMO E.I.ENVASADO;0.0;0.0;0.0;;0.0;0.0;5.0;enero
OTRAS SALAZONES;0.01694165308518;0.15716996440923;7.37;9.277132734272378;163.28570000000002;17.60088;3.0;enero
O.SALAZONES AL COR;0.00852743482351;0.07489785427078;2.966;8.78316349768169;77.81225;8.859251;4.0;enero
O.SALAZONES ENVASA;0.00841421633657;0.08227207163662;4.305;9.77774617928676;85.47341;8.741627000000001;4.0;enero
TOCINO Y MANTECA;0.03664861361891;0.28321937935028;13.651;7.727969802495991;294.23990000000003;38.07467;3.0;enero
TOCINO;0.00829711590242;0.0764260112306;2.216;9.211153867124828;79.39986999999999;8.619969999999999;4.0;enero
CHORIZOS;0.09841116366088;1.09725793261851;40.056;11.14973029279004;1139.954;102.2405;3.0;enero
CHOR.IBERICO;0.00620954080043;0.09175540972959;5.479;14.776520950327724;95.32575999999999;6.4511639999999995;4.0;enero
CHOR.NORMAL;0.09220166521246;1.00550325442372;38.739;10.905478248214989;1044.629;95.78938000000001;4.0;enero
CHORIZO DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CHORIZO DE CERDO;0.09841116366088;1.09725793261851;40.056;11.14973029279004;1139.954;102.2405;4.0;enero
SALCHICHON/SALAMI;0.02559205217185;0.27908197249214;23.772;10.90502514679621;289.9415;26.587880000000002;3.0;enero
SALCHICHON DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHON DE CERD;0.02559205217185;0.27908197249214;23.772;10.90502514679621;289.9415;26.587880000000002;4.0;enero
FUET/LONGANIZAS;0.03237266754406;0.37636397367739;17.605;11.625979637456092;391.00890000000004;33.63234;3.0;enero
FUET/LONGANIZ.PAVO;0.00053224451173;0.01177991461426;0.753;22.132524346465804;12.238290000000001;0.5529550000000001;4.0;enero
FUET/LONGANIZ.CERD;0.03138914787311;0.35465673709537;17.802;11.298705480281688;368.457;32.610549999999996;4.0;enero
OTROS PROD.CURADOS;0.04269079273126;0.65611828440944;27.362;15.369081772259896;681.6489;44.35196;3.0;enero
O.PROD.CURAD.CORTE;0.02789915894417;0.45275738348182;16.242;16.22835241692531;470.3749;28.984759999999998;4.0;enero
O.PROD.CURAD.ENVAS;0.01479163378709;0.20336090092761;10.01;13.748373158415326;211.274;15.3672;4.0;enero
SALCHICHAS;0.09271655021073;0.3793979180327;24.3;4.09201935544821;394.1609;96.32430000000001;3.0;enero
JAMON COCIDO;0.14527222456384;1.54692564034332;49.578;10.64846115620341;1607.119;150.925;3.0;enero
J.COC.SIN/BAJO SAL;0.00178041903747;0.02186658603887;1.753;12.281707608485277;22.71745;1.849698;4.0;enero
PALETA COCIDA;0.00260004603539;0.02479161833714;1.453;9.535068994801604;25.7563;2.701218;3.0;enero
FIAMBRES;0.12468134859834;1.21512262812997;47.789;9.745825191901055;1262.405;129.53289999999998;3.0;enero
PAVO;0.08128456702607;0.82619983815311;34.154;10.164289094239402;858.3486;84.44748;4.0;enero
POLLO;0.0030085639477;0.03483279984734;3.524;11.577882489045415;36.188199999999995;3.125632;4.0;enero
PROD.A BASE SANGRE;0.01928949479567;0.12602843144265;5.685;6.533526812268214;130.9324;20.040080000000003;3.0;enero
MORCILLA;0.01928949479567;0.12602843144265;5.685;6.533526812268214;130.9324;20.040080000000003;4.0;enero
FOIE-GRAS Y PATES;0.01273795569793;0.18233986324499;11.297;14.314688131205317;189.435;13.23361;3.0;enero
COCIDOS Y OTROS;0.03190359010031;0.32453685023879;25.936;10.172424144690257;337.1651;33.14501;3.0;enero
COCIDOS Y O. CORTE;0.00534427084332;0.05776162255253;6.337;10.808139079378087;60.00922;5.552225;4.0;enero
COCIDOS Y O.ENVASA;0.02655932406972;0.26677524693717;21.224;10.044504379586117;277.15590000000003;27.59279;4.0;enero
COCIDOS DE PAVO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
COCIDOS DE CERDO;0.02723582050747;0.27482559497336;21.849;10.090593558506072;285.5195;28.29561;4.0;enero
TOTAL PESCA;1.94591627434898;19.16440234376693;90.612;9.848523596000266;19910.12;2021.635;1.0;enero
PESCADOS;1.0869856438622;9.77790598353376;75.48;8.99543249604616;10158.38;1129.282;2.0;enero
PESCADOS FRESCOS;0.95748011197884;8.5949506734273;67.372;8.976636241210242;8929.394;994.7371999999999;3.0;enero
PESCADOS CONGELADOS;0.12950514686504;1.18295145992326;32.704;9.134397269600221;1228.982;134.5444;3.0;enero
MERLUZA/PESCAD;0.25010482000695;2.49098093356823;31.257;9.959747810933633;2587.909;259.8368;3.0;enero
MERLUZA/PESCAD.FRE;0.20472848599742;2.07590519673211;24.862;10.139796553559371;2156.682;212.6948;4.0;enero
