Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;47.32984440653278;142.43278402876106;99.473;3.009365144016859;6592162.0604;2190549.08425;0.0;enero
T.HUEVOS KGS;0.74156946961315;2.39319202372311;79.023;3.227198693834495;110763.191;34321.7761;1.0;enero
T.HUEVOS UNDS.;11.77947185435602;2.39319202372311;79.023;0.20316632641200427;110763.191;545184.79;1.0;enero
TOTAL HUEVOS GALLINA;11.55138427906657;2.37069781193058;78.737;0.20523062471627485;109722.1;534628.3;2.0;enero
OTRAS AVES;0.22808757528945;0.02249421179252;2.607;0.09862094313545505;1041.091;10556.49;2.0;enero
MIEL;0.03251224934537;0.24662585265232;8.29;7.585628728189097;11414.49;1504.752;1.0;enero
GRANEL;0.01221857644922;0.1109184458239;2.548;9.077853405002266;5133.596;565.5077;2.0;enero
ENVASADA;0.02029367721742;0.13570736361564;5.961;6.687174638765518;6280.892;939.2445;2.0;enero
TOTAL CARNE;3.28146739004427;26.98345659531393;97.253;8.222984838179318;1248865.0;151874.9;1.0;enero
CARNE CERTIFICADA;0.48453849888026;4.82589170927256;49.966;9.959769389687105;223354.9;22425.71;2.0;enero
CARNE FRESCA;2.36832327034296;17.71306042233805;91.13;7.479156517248993;819806.8;109612.2;2.0;enero
SALCHICHAS FRESCAS;0.02580219237621;0.2315378987301;8.841;8.973574623197424;10716.18;1194.193;3.0;enero
CARNE VACUNO;0.31322666668489;3.78732253118961;51.15;12.09131575952183;175287.2;14496.95;3.0;enero
TERNERA;0.23291811453189;2.82023159223467;41.088;12.108253571872513;130527.7;10780.06;4.0;enero
AÑOJO;0.06121972252266;0.74606130502137;15.378;12.186616898584;34529.67;2833.409;4.0;enero
MAYOR;0.01908893766225;0.22102898574204;5.0;11.578904476132049;10229.8;883.486;4.0;enero
CARNE POLLO;0.975517860793;5.28614657725434;76.862;5.418810654022457;244656.7;45149.52;3.0;enero
POLLO ENTERO;0.22291868007556;0.86772663654531;19.689;3.8925703142113317;40160.66;10317.26;4.0;enero
POLLO FILETES;0.13620456972132;1.0207512575584;31.992;7.494251181490073;47243.04;6303.904;4.0;enero
POLLO POR PIEZAS;0.61639448135781;3.39766868315062;66.274;5.512165968238612;157253.0;28528.35;4.0;enero
CARNE CONEJO;0.05477935643701;0.4660354399231;11.349;8.50750118722124;21569.34;2535.332;3.0;enero
CARNE OVINO/CAPRINO;0.06217597786011;0.87852118592816;11.896;14.129591783899945;40660.26;2877.667;3.0;enero
CORDERO;0.05532830983206;0.77174589385017;10.978;13.948481278256002;35718.42;2560.739;4.0;enero
CABRITO;0.00619184297643;0.10051479913808;0.983;16.233421861734477;4652.088;286.5747;4.0;enero
OTRO OVINO/CAPRINO;0.00065581295203;0.00626043244203;0.161;9.546064045618287;289.74920000000003;30.35274;4.0;enero
OVINO/CAPRINO ENTE;0.01102330265083;0.13648389705203;0.854;12.381397968941995;6316.832;510.1873;4.0;enero
OVINO/CAPRINO PIEZ;0.05115268169119;0.74203733208889;11.143;14.506323179076487;34343.43;2367.48;4.0;enero
CARNE CERDO;0.71317638876695;5.36119635163653;72.317;7.517349755375039;248130.2;33007.67;3.0;enero
CARNE CERDO ADOBAD;0.06977788153638;0.57629152044301;19.298;8.25894262987215;26672.28;3229.503;4.0;enero
CARN.CERDO IBERICO;0.02370332664043;0.25625668219978;5.667;10.811000754750003;11860.23;1097.052;4.0;enero
CARNE DESPOJOS;0.04809548640511;0.31302443093184;11.77;6.508395159895507;14487.59;2225.985;3.0;enero
DESPOJOS CERDO;0.01912566851483;0.12645153446667;5.792;6.611613830313629;5852.508;885.186;4.0;enero
DESPOJOS CORDERO;0.00343663147518;0.02593917684997;1.392;7.547849409297211;1200.533;159.0563;4.0;enero
DESPOJOS POLLO;0.01535111535651;0.07914303898774;4.142;5.1555236964696745;3662.947;710.4898000000001;4.0;enero
DESPOJOS TERNERA;0.00936123589269;0.07647866936685;2.939;8.169719281036324;3539.633;433.2625;4.0;enero
DESPOJOS OT.PROCED;0.00082082760364;0.00501204367016;0.189;6.106085672432649;231.9705;37.990050000000004;4.0;enero
OTRAS CARNES FRESCA;0.20135047468305;1.62081476972979;42.183;8.049719139133302;75015.55;9319.027;3.0;enero
AVESTRUZ;0.00014433636996;0.00097218766884;0.072;6.735569621863803;44.99539;6.680265;4.0;enero
PAVO;0.1025455615519;0.84175511493868;24.305;8.208596278568594;38958.63;4746.077;4.0;enero
OTRAS AVES;0.01723308540779;0.12784149474759;5.784;7.418375277695133;5916.839;797.5923;2.0;enero
CARNE CABALLO;0.00318887971387;0.04093191143846;0.876;12.835827974445369;1894.436;147.58970000000002;4.0;enero
CARNE CONGELADA;0.09437813238414;0.52834717069308;12.081;5.598194807909311;24453.29;4368.067;2.0;enero
C.CONG.POLLO;0.06540338823834;0.27674385538798;8.472;4.231338204979122;12808.43;3027.04;3.0;enero
C.CONG.CERDO;0.0152841463697;0.12850882951989;3.338;8.407982128112302;5947.725;707.3903;3.0;enero
C.CONG.VACA;0.00404452708544;0.0454524422851;1.09;11.23801159562437;2103.658;187.19129999999998;3.0;enero
RESTO CARNES CONG.;0.00964607069064;0.07764202189372;2.179;8.04908282177395;3593.476;446.4454;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.00012223720929;0.00120630774651;0.06;9.868580553315642;55.83108;5.657457999999999;3.0;enero
CARNE TRANSFORMADA;0.81876635462569;8.74204662558056;91.765;10.677095579455147;404604.8;37894.65;2.0;enero
JAMON CURADO+PALETA;0.11903339308524;2.22222954514859;50.493;18.668959084088243;102850.6;5509.177;3.0;enero
JAMON C.+P.ENTERO;0.03470553497868;0.46079481151475;6.566;13.277271530253763;21326.79;1606.263;4.0;enero
JAMON C.+P.LONCHA;0.08432785810655;1.76143494969767;47.781;20.887936552022413;81523.82;3902.914;4.0;enero
JAMON CURADO NORMAL;0.09311100439553;1.48162341992742;43.39;15.912441601783627;68573.41;4309.421;3.0;enero
JAMON C.N.ENTER/PI;0.02459582153906;0.28096163758379;5.15;11.423145071106742;13003.64;1138.359;4.0;enero
JAMON C.N.LONCHA;0.06851518285647;1.20066199840746;40.917;17.52402822776723;55569.78;3171.062;4.0;enero
JAMON IBERICO;0.01440134841614;0.48956479196059;7.99;33.99437176394055;22658.34;666.5321;3.0;enero
JAMON IBE.ENTER/PI;0.00638531518018;0.14103173836788;1.147;22.08688755185192;6527.318;295.52909999999997;4.0;enero
JAMON IBE.LONCHA;0.00801603323596;0.34853322644377;7.194;43.47951364274683;16131.03;371.003;4.0;enero
PALETA CURADA NORM.;0.00688377013485;0.10660574678374;5.026;15.48653495037177;4933.993;318.5989;3.0;enero
PALETA C.N.ENTR/PI;0.00177025013825;0.01588947730219;0.333;8.975837345714687;735.4066;81.93181;4.0;enero
PALETA C.N.LONCHA;0.00511352021266;0.09071626083899;4.694;17.740471742798217;4198.586;236.6671;4.0;enero
PALETA IBERICA;0.00463726581742;0.14443586735981;2.499;31.146773345857515;6684.87;214.6248;3.0;enero
PALETA IB.ENTER/PI;0.00195414099107;0.02291201443747;0.253;11.724852271204464;1060.428;90.44275999999999;4.0;enero
PALETA IBE.LONCHA;0.00268312396209;0.12152385292234;2.267;45.29192636614002;5624.442;124.182;4.0;enero
HUESOS JAMON CURADO;0.00579506766427;0.02345485322589;2.89;4.047382116088495;1085.552;268.21090000000004;3.0;enero
LOMO EMBUCHADO N+IB;0.01763814244689;0.3784764335339;14.052;21.45783971715686;17516.88;816.3394000000001;3.0;enero
LOMO EMB.AL CORTE;0.00616775401905;0.14714144035475;4.6;23.856567544712078;6810.091;285.4598;4.0;enero
LOMO EMB.ENVASADO;0.01147038842784;0.23133501478553;10.064;20.168019264631756;10706.79;530.8796;4.0;enero
LOMO EMB.NORMAL;0.01353252331104;0.24269068195756;12.023;17.933882423793822;11232.36;626.3206;4.0;enero
LOMO E.N.AL CORTE;0.00418415834122;0.07802540556916;3.216;18.64781377902215;3611.22;193.6538;5.0;enero
LOMO E.N.ENVASADO;0.00934836496981;0.16466536281394;9.224;17.61434896322066;7621.144;432.66679999999997;5.0;enero
LOMO EMB.IBERICO;0.00410561913585;0.13578562193803;2.41;33.07311697579397;6284.514;190.0188;4.0;enero
LOMO E.I.AL CORTE;0.00198359675814;0.06911603478559;1.532;34.843792974428155;3198.871;91.80605;5.0;enero
LOMO E.I.ENVASADO;0.00212202280983;0.06666958715244;0.935;31.417940864512833;3085.643;98.21277;5.0;enero
OTRAS SALAZONES;0.03110208709553;0.24574712102021;12.166;7.901306438548203;11373.82;1439.486;3.0;enero
