Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.11153217507215;128.96807937262517;97.863;2.680606364879955;1108545.96227;413542.986689;0.0;enero
T.HUEVOS KGS;0.66901662767343;2.11643171199398;79.385;3.163496428114304;18191.8025;5750.53676;1.0;enero
T.HUEVOS UNDS.;10.65596985908293;2.11643171199398;79.385;0.19861464887590555;18191.8025;91593.458;1.0;enero
TOTAL HUEVOS GALLINA;10.41586905708529;2.09479104423568;78.81;0.20111533975273227;18005.79;89529.67;2.0;enero
OTRAS AVES;0.24010080199763;0.0216406677583;2.657;0.09013159297369691;186.0125;2063.788;2.0;enero
MIEL;0.02039398147845;0.15216008535135;5.547;7.461028907577215;1307.893;175.2966;1.0;enero
GRANEL;0.00854653534965;0.07533480444996;1.71;8.81466013628852;647.5408;73.4618;2.0;enero
ENVASADA;0.0118474461288;0.07682523436544;3.943;6.484539666204481;660.3518;101.8348;2.0;enero
TOTAL CARNE;2.7575384939252;22.0073128194763;95.127;7.980781725425738;189164.0;23702.44;1.0;enero
CARNE CERTIFICADA;0.33749331769338;3.06351231936357;43.025;9.07725326326835;26332.44;2900.926;2.0;enero
CARNE FRESCA;1.91241552009293;13.68483640153856;89.206;7.155786102841069;117628.1;16438.18;2.0;enero
SALCHICHAS FRESCAS;0.01362430477363;0.11561304758886;5.097;8.48579428526537;993.7527;117.1078;3.0;enero
CARNE VACUNO;0.1618595719576;1.93319498205549;34.297;11.943655594009767;16616.79;1391.265;3.0;enero
TERNERA;0.12119821003371;1.42468393515557;28.149;11.754991552756872;12245.88;1041.76;4.0;enero
AÑOJO;0.03518493070993;0.44172603531562;10.735;12.554409697641422;3796.859;302.4323;4.0;enero
MAYOR;0.00547646844271;0.06678499995031;1.918;12.194902727719617;574.0509000000001;47.07302;4.0;enero
CARNE POLLO;0.90494969853465;5.23105416674045;75.976;5.780491639713101;44963.56;7778.501;3.0;enero
POLLO ENTERO;0.14710581657859;0.55536029316884;15.298;3.7752436041311275;4773.603;1264.449;4.0;enero
POLLO FILETES;0.13339190684665;1.00330888210704;30.388;7.52151240525009;8623.948;1146.571;4.0;enero
POLLO POR PIEZAS;0.6244519751094;3.67238510780443;66.764;5.880972843685893;31566.01;5367.481;4.0;enero
CARNE CONEJO;0.03380063764653;0.30604258229419;6.329;9.054343456316241;2630.591;290.5336;3.0;enero
CARNE OVINO/CAPRINO;0.01848978885949;0.26434102570366;5.085;14.296595148402652;2272.145;158.9291;3.0;enero
CORDERO;0.01648306592405;0.23392815817395;4.569;14.192029519982666;2010.731;141.6803;4.0;enero
CABRITO;0.00143774424756;0.02654399719983;0.329;18.462252410152338;228.1591;12.358139999999999;4.0;enero
OTRO OVINO/CAPRINO;0.00056898369049;0.00386895176777;0.323;6.799758644104948;33.2556;4.890703;4.0;enero
OVINO/CAPRINO ENTE;0.00295568504916;0.04712279617604;0.154;15.94310469223136;405.04429999999996;25.40561;4.0;enero
OVINO/CAPRINO PIEZ;0.01553410497373;0.21721826442957;4.917;13.983313798694612;1867.101;133.5235;4.0;enero
CARNE CERDO;0.60651702266469;4.55358158127688;70.302;7.507755612976833;39140.34;5213.321;3.0;enero
CARNE CERDO ADOBAD;0.04959948560017;0.41063083452119;17.087;8.278933330706277;3529.58;426.3327;4.0;enero
CARN.CERDO IBERICO;0.02044894042717;0.23670635397299;6.709;11.575482593631413;2034.611;175.769;4.0;enero
CARNE DESPOJOS;0.02512588413983;0.13560282950012;7.499;5.396937625972532;1165.575;215.96970000000002;3.0;enero
DESPOJOS CERDO;0.00801631412193;0.0455483688834;3.245;5.681959088753268;391.5113;68.90428;4.0;enero
DESPOJOS CORDERO;0.00143269044415;0.00746802066073;0.352;5.212584959438719;64.19142;12.3147;4.0;enero
DESPOJOS POLLO;0.00871863108398;0.04257062696064;3.107;4.882719150585693;365.9161;74.94105;4.0;enero
DESPOJOS TERNERA;0.0061522878388;0.03647995620061;0.856;5.929494385900088;313.56370000000004;52.88203;4.0;enero
DESPOJOS OT.PROCED;0.00080596565358;0.00353590798427;0.352;4.387169563041495;30.392919999999997;6.927683;4.0;enero
OTRAS CARNES FRESCA;0.16167319550576;1.26102051370616;39.1;7.799811896841177;10839.11;1389.663;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08117145876495;0.6228552105641;21.77;7.673327793303175;5353.756;697.7098000000001;4.0;enero
OTRAS AVES;0.01131980531912;0.08438008876907;4.561;7.454199643040155;725.2896;97.29946000000001;2.0;enero
CARNE CABALLO;0.00127767223752;0.0267071522161;0.181;20.90297607774006;229.5615;10.98224;4.0;enero
