Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.23194741933903;142.52561904498853;99.088;2.8949823542629627;77655.113264;26824.03682;0.0;enero
T.HUEVOS KGS;0.93377403182106;3.07004929735384;80.521;3.2877861160548285;1672.717;508.766976;1.0;enero
T.HUEVOS UNDS.;14.59021924720415;3.07004929735384;80.521;0.210418311427509;1672.717;7949.484;1.0;enero
TOTAL HUEVOS GALLINA;14.59021924720415;3.07004929735384;80.521;0.210418311427509;1672.717;7949.484;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.01190001563356;0.10757661294331;4.731;9.040039631532856;58.61314;6.483726;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.01190001563356;0.10757661294331;4.731;9.040039631532856;58.61314;6.483726;2.0;enero
TOTAL CARNE;2.74659709484704;23.68483997416725;93.865;8.6233397750995;12904.69;1496.484;1.0;enero
CARNE CERTIFICADA;0.5402284799883;6.23720418293593;62.186;11.545493090388241;3398.342;294.3436;2.0;enero
CARNE FRESCA;1.98951745441057;16.3260522984071;86.122;8.206036223614815;8895.253;1083.989;2.0;enero
SALCHICHAS FRESCAS;0.0168317344027;0.13835821077705;8.473;8.220080442501365;75.3845;9.170774;3.0;enero
CARNE VACUNO;0.43664936941485;5.83079339972457;54.249;13.353490942946554;3176.909;237.9085;3.0;enero
TERNERA;0.32637006869272;4.12482360220843;51.454;12.638486178375327;2247.411;177.8228;4.0;enero
AÑOJO;0.05680720960156;1.01903035230859;16.254;17.938398302888853;555.2189000000001;30.95142;4.0;enero
MAYOR;0.05347209112056;0.68693999581759;12.013;12.84670154882839;374.2794;29.13428;4.0;enero
CARNE POLLO;0.74007661858901;4.05944416499919;63.975;5.485167431365007;2211.789;403.2309;3.0;enero
POLLO ENTERO;0.18215619346003;0.71195200790001;15.31;3.908469947557549;387.9072;99.24784;4.0;enero
POLLO FILETES;0.08948149277115;0.69686914682984;17.25;7.787857860307286;379.6893;48.75401;4.0;enero
POLLO POR PIEZAS;0.46843902412616;2.65062209258591;56.743;5.658414342251725;1444.192;255.22910000000002;4.0;enero
CARNE CONEJO;0.02537025733392;0.22322392115441;9.971;8.798646313134858;121.62360000000001;13.822989999999999;3.0;enero
CARNE OVINO/CAPRINO;0.03071613029892;0.54092867243385;4.003;17.610573570614658;294.7251;16.735689999999998;3.0;enero
CORDERO;0.03071613029892;0.54092867243385;4.003;17.610573570614658;294.7251;16.735689999999998;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO PIEZ;0.03071613029892;0.54092867243385;4.003;17.610573570614658;294.7251;16.735689999999998;4.0;enero
CARNE CERDO;0.52420077207417;3.85092263337115;64.641;7.346274249337122;2098.176;285.6109;3.0;enero
CARNE CERDO ADOBAD;0.05132788711437;0.42811766670677;12.71;8.340839469055473;233.26;27.966009999999997;4.0;enero
CARN.CERDO IBERICO;0.02216935922917;0.1377393617894;5.789;6.213051101997024;75.04732000000001;12.07898;4.0;enero
CARNE DESPOJOS;0.03014773554542;0.16350095603876;10.467;5.423324607329843;89.08353;16.426;3.0;enero
DESPOJOS CERDO;0.01035008688855;0.05502367353109;7.265;5.316252329433344;29.97966;5.639247;4.0;enero
DESPOJOS CORDERO;0.00620189723123;0.02824148684871;4.23;4.553685073414409;15.387379999999999;3.379105;4.0;enero
DESPOJOS POLLO;0.0078728170284;0.02758971138013;1.745;3.504426850084835;15.03226;4.289506;4.0;enero
DESPOJOS TERNERA;0.0057229307265;0.05264606592516;1.345;9.19914436170281;28.68422;3.11814;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.20235616737355;1.65723878928284;44.423;8.189712282025654;902.9469;110.2538;3.0;enero
