Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;49.17597502900886;125.97563424702602;98.506;2.5617312960792966;273287.67618999997;106680.851582;0.0;enero
T.HUEVOS KGS;0.65716011602151;2.00095803283065;72.489;3.044856168302756;4340.81697;1425.6229950000002;1.0;enero
T.HUEVOS UNDS.;10.4233517437827;2.00095803283065;72.489;0.19196877185154787;4340.81697;22612.0995;1.0;enero
TOTAL HUEVOS GALLINA;10.23938145525342;1.98584674233929;72.207;0.19394206095529645;4308.035;22213.0;2.0;enero
OTRAS AVES;0.18397028852928;0.01511129049136;2.519;0.08213984232002296;32.78197;399.0995;2.0;enero
MIEL;0.01822726522791;0.12916634213684;5.639;7.086435651301526;280.2095;39.541669999999996;1.0;enero
GRANEL;0.0091045262807;0.06991478974923;2.758;7.679124382059107;151.671;19.75108;2.0;enero
ENVASADA;0.00912273894721;0.05925155238761;2.927;6.494930166306309;128.5385;19.79059;2.0;enero
TOTAL CARNE;3.48368990247813;27.98986295171734;96.781;8.034544903611158;60720.35;7557.41;1.0;enero
CARNE CERTIFICADA;0.48499395173534;4.1375287790368;48.158;8.53109356154319;8975.828;1052.131;2.0;enero
CARNE FRESCA;2.39280234517598;16.91062450118126;91.425;7.067288501816265;36685.39;5190.872;2.0;enero
SALCHICHAS FRESCAS;0.03650657323107;0.2751557303261;13.413;7.53715580436647;596.9144;79.19624;3.0;enero
CARNE VACUNO;0.23011964586024;2.78636373260075;45.721;12.108326180429454;6044.652;499.2145;3.0;enero
TERNERA;0.16315493009639;1.8969785177863;34.87;11.626853792683745;4115.247;353.94329999999997;4.0;enero
AÑOJO;0.06436709444405;0.8648057209164;17.334;13.435525222721935;1876.083;139.636;4.0;enero
MAYOR;0.00259761717112;0.02457946624022;0.877;9.462312812467227;53.321940000000005;5.635191;4.0;enero
CARNE POLLO;1.00879134701824;5.27906884576266;77.795;5.233063171454018;11452.25;2188.441;3.0;enero
POLLO ENTERO;0.24274391399604;0.87785421372935;25.184;3.6163799095026756;1904.39;526.6012;4.0;enero
POLLO FILETES;0.12301307912727;0.89391418086125;36.966;7.266822253399526;1939.23;266.8608;4.0;enero
POLLO POR PIEZAS;0.64303435389492;3.50729906828165;70.552;5.454295010892637;7608.627;1394.979;4.0;enero
CARNE CONEJO;0.04076545617391;0.31731992021029;11.51;7.784039478339708;688.3841;88.43533000000001;3.0;enero
CARNE OVINO/CAPRINO;0.1077828001366;1.20500459470481;12.502;11.179934026371487;2614.1;233.82070000000002;3.0;enero
CORDERO;0.10405226890807;1.16699907891573;11.379;11.215508236025869;2531.652;225.7278;4.0;enero
CABRITO;0.00101330878897;0.01874399144364;0.759;18.49780802013974;40.662639999999996;2.198241;4.0;enero
OTRO OVINO/CAPRINO;0.00271722336147;0.01926114635539;0.669;7.0885399516613425;41.78454;5.894661;4.0;enero
OVINO/CAPRINO ENTE;0.05705708971459;0.53952869546402;1.955;9.455944881921571;1170.437;123.77789999999999;4.0;enero
OVINO/CAPRINO PIEZ;0.05072571042201;0.66547589924078;11.014;13.119104566586818;1443.663;110.0428;4.0;enero
CARNE CERDO;0.81997840680399;5.93095415915528;76.063;7.233061395204505;12866.43;1778.836;3.0;enero
CARNE CERDO ADOBAD;0.13507810638694;1.09344037297311;32.87;8.094874900310305;2372.076;293.0343;4.0;enero
CARN.CERDO IBERICO;0.01753434955647;0.17073436797133;3.314;9.737137235767571;370.38590000000005;38.03848;4.0;enero
CARNE DESPOJOS;0.03250974801826;0.19746402595337;12.156;6.07399435524522;428.3724;70.52565;3.0;enero
DESPOJOS CERDO;0.01655184741684;0.10280858947863;6.112;6.2113060185640325;223.0298;35.90707;4.0;enero
DESPOJOS CORDERO;0.00286284955654;0.02288878592882;1.497;7.995106091574729;49.654230000000005;6.210578000000001;4.0;enero
DESPOJOS POLLO;0.01309505473257;0.07176671047117;4.69;5.480443719922656;155.6885;28.408009999999997;4.0;enero
DESPOJOS TERNERA;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.1528548858491;1.19444991423927;38.187;7.814273698901714;2591.203;331.5987;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.07333006806382;0.60132223088117;20.732;8.200213728941412;1304.49;159.08;4.0;enero
OTRAS AVES;0.01114805568627;0.06534890052884;5.136;5.861910127458986;141.7659;24.18425;2.0;enero
CARNE CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
CARNE CONGELADA;0.14107413475849;0.67609603651839;17.724;4.792487564611251;1466.702;306.0419;2.0;enero
C.CONG.POLLO;0.10614886903741;0.42447474981808;12.492;3.9988626696387506;920.8425;230.2761;3.0;enero
C.CONG.CERDO;0.02056397200707;0.15185528657454;4.525;7.384530893269239;329.4302;44.61085;3.0;enero
C.CONG.VACA;0.00221465563858;0.01762107983247;1.011;7.956577774651018;38.22663;4.804406;3.0;enero
RESTO CARNES CONG.;0.01214663623157;0.08214474973679;3.539;6.762757044068166;178.20229999999998;26.350540000000002;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.94981337644729;10.40314333594461;92.087;10.952828833445926;22568.26;2060.496;2.0;enero
JAMON CURADO+PALETA;0.2143538656119;3.85480697877624;58.879;17.983379808766514;8362.5;465.0127;3.0;enero
JAMON C.+P.ENTERO;0.10712675693275;1.82002758170236;16.311;16.989477081293902;3948.312;232.3975;4.0;enero
JAMON C.+P.LONCHA;0.10722710867915;2.03477939707388;53.014;18.976352362184414;4414.188;232.61520000000002;4.0;enero
JAMON CURADO NORMAL;0.18972716905502;2.79492198029796;54.633;14.731269086123197;6063.218;411.5883;3.0;enero
JAMON C.N.ENTER/PI;0.09228400992738;1.0592479469692;12.945;11.478130911332325;2297.9;200.1981;4.0;enero
JAMON C.N.LONCHA;0.09744311303129;1.73567403332876;49.646;17.812177580690864;3765.318;211.39010000000002;4.0;enero
JAMON IBERICO;0.00860086376958;0.30577651920798;5.136;35.55183844317185;663.3421999999999;18.658450000000002;3.0;enero
JAMON IBE.ENTER/PI;0.00516611896785;0.12368161444103;2.139;23.940914874518388;268.31109999999995;11.20722;4.0;enero
JAMON IBE.LONCHA;0.00343474111402;0.18209490476695;3.664;53.015612741104746;395.0311;7.451222;4.0;enero
PALETA CURADA NORM.;0.00686313291727;0.11522920395545;5.556;16.789592354454765;249.9747;14.88867;3.0;enero
PALETA C.N.ENTR/PI;0.00077017821882;0.00921610709711;0.738;11.966200642685754;19.99314;1.670801;4.0;enero
PALETA C.N.LONCHA;0.0060929551594;0.10601306920052;5.602;17.399285966649693;229.9815;13.217870000000001;4.0;enero
PALETA IBERICA;0.00916272752783;0.63887922921848;0.885;69.72587881477098;1385.965;19.87734;3.0;enero
PALETA IB.ENTER/PI;0.0089064180122;0.62788202382624;0.3;70.49770434820412;1362.108;19.32131;4.0;enero
