Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;52.95347738569496;148.79151358846244;98.697;2.809853496583729;371805.91774;132322.172025;0.0;enero
T.HUEVOS KGS;0.81411138999377;2.53284342870502;76.913;3.1111755219692956;6329.16591;2034.332639;1.0;enero
T.HUEVOS UNDS.;12.899848386235;2.53284342870502;76.913;0.19634675950205224;6329.16591;32234.633899999997;1.0;enero
TOTAL HUEVOS GALLINA;12.68727603947076;2.50294517036625;76.946;0.1972799490276295;6254.455;31703.45;2.0;enero
OTRAS AVES;0.21257234676423;0.02989825833876;1.638;0.14064980132116203;74.71091;531.1839;2.0;enero
MIEL;0.01880987733887;0.14262368017276;4.977;7.582382256050911;356.3935;47.00284;1.0;enero
GRANEL;0.00885396662133;0.07887529498023;1.82;8.908469881756215;197.0966;22.12463;2.0;enero
ENVASADA;0.00995591071753;0.06374838519252;3.35;6.403069191875139;159.2969;24.87821;2.0;enero
TOTAL CARNE;3.8388143764039;32.69934005934781;96.58;8.518083150970085;81710.36;9592.576;1.0;enero
CARNE CERTIFICADA;0.67196947810869;6.70002964229038;53.705;9.970735071402496;16742.29;1679.143;2.0;enero
CARNE FRESCA;2.8235545641798;21.86256398546807;89.596;7.742922436428565;54631.01;7055.606;2.0;enero
SALCHICHAS FRESCAS;0.03764257328202;0.3080798110574;12.081;8.184345122987114;769.8416;94.06269999999999;3.0;enero
CARNE VACUNO;0.37903098353408;4.66011365115632;52.933;12.29480927312424;11644.87;947.1371;3.0;enero
TERNERA;0.30091808285424;3.61926954938394;47.825;12.02742459028951;9043.969;751.9456;4.0;enero
AÑOJO;0.05550991660585;0.7294457885384;11.017;13.140819391205989;1822.767;138.7103;4.0;enero
MAYOR;0.0226030320963;0.31139911360592;5.663;13.776873486667805;778.136;56.48132;4.0;enero
CARNE POLLO;1.04270696748458;5.60850638886849;77.561;5.378794391676863;14014.75;2605.556;3.0;enero
POLLO ENTERO;0.28111664071471;1.08438273507538;25.775;3.8574121130590138;2709.697;702.465;4.0;enero
POLLO FILETES;0.1340369697509;0.96126832126203;31.699;7.171665571434841;2402.054;334.93670000000003;4.0;enero
POLLO POR PIEZAS;0.62755323696317;3.56285453215912;64.25;5.677374160956131;8902.997;1568.154;4.0;enero
CARNE CONEJO;0.06678379581059;0.54505449809365;11.365;8.16147826696604;1362.003;166.8819;3.0;enero
CARNE OVINO/CAPRINO;0.10142753547263;1.50418782718068;14.459;14.830172301549412;3758.722;253.451;3.0;enero
CORDERO;0.09279328295698;1.38529537540037;14.175;14.928832467782266;3461.629;231.87539999999998;4.0;enero
CABRITO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRO OVINO/CAPRINO;0.00863428453052;0.1188924917989;0.868;13.76981397573564;297.0931;21.575680000000002;4.0;enero
OVINO/CAPRINO ENTE;0.01959483012265;0.29638485617008;1.913;15.125666020822107;740.6178000000001;48.96431;4.0;enero
OVINO/CAPRINO PIEZ;0.08183270935183;1.2078028909734;12.955;14.7594146709786;3018.104;204.4867;4.0;enero
CARNE CERDO;0.96012298900245;7.49588749388748;72.84;7.807215929362885;18731.01;2399.192;3.0;enero
CARNE CERDO ADOBAD;0.14352886082892;1.15463938479298;31.345;8.04464954382396;2885.257;358.65540000000004;4.0;enero
CARN.CERDO IBERICO;0.01813210236282;0.21151081344775;3.606;11.664991141973628;528.5313000000001;45.30919;4.0;enero
CARNE DESPOJOS;0.07610444731003;0.4924892699454;13.196;6.471228520181919;1230.651;190.17270000000002;3.0;enero
DESPOJOS CERDO;0.03130020185089;0.22564762311547;8.92;7.209142745800184;563.8569;78.21414;4.0;enero
DESPOJOS CORDERO;0.00621020200926;0.03885406828879;1.794;6.256490244737017;97.09003;15.51829;4.0;enero
DESPOJOS POLLO;0.0178154992308;0.09121639014229;2.594;5.120058043872092;227.935;44.51805;4.0;enero
DESPOJOS TERNERA;0.01953108049689;0.13052853931074;3.978;6.683119212556252;326.16970000000003;48.80501;4.0;enero
DESPOJOS OT.PROCED;0.00124744771474;0.00624281316434;0.335;5.0044687970178074;15.59978;3.11717;4.0;enero
OTRAS CARNES FRESCA;0.19737804565838;1.55632205503418;39.744;7.884980570371022;3888.997;493.2158;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.09243991874133;0.73815303497584;22.911;7.985219427132668;1844.525;230.9924;4.0;enero
OTRAS AVES;0.0173404024435;0.16240047085625;4.508;9.365438396560789;405.8125;43.33086;2.0;enero
CARNE CABALLO;0.00125888502989;0.02129266314076;0.449;16.913906063736786;53.20692;3.14575;4.0;enero
CARNE CONGELADA;0.07831143294188;0.32967056472699;7.727;4.209737356889246;823.7934;195.6876;2.0;enero
C.CONG.POLLO;0.06614113715382;0.23915774154681;6.107;3.6158698177593838;597.6165;165.276;3.0;enero
C.CONG.CERDO;0.00622297194371;0.04422587267735;2.55;7.106873223495517;110.5133;15.5502;3.0;enero
C.CONG.VACA;0.00047498353466;0.00471902903035;0.169;9.935142348979323;11.79209;1.186907;3.0;enero
RESTO CARNES CONG.;0.00547233910911;0.04156791747061;1.462;7.596005408611217;103.8715;13.67449;3.0;enero
C.CONG.CABALLO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
SALCHICHAS CONGELAD;0.0;0.0;0.0;;0.0;0.0;3.0;enero
CARNE TRANSFORMADA;0.93694821920782;10.50710686978505;89.765;11.21418094872809;26255.56;2341.282;2.0;enero
JAMON CURADO+PALETA;0.15706587175776;2.76516022712413;55.243;17.605099033790577;6909.688;392.48220000000003;3.0;enero
JAMON C.+P.ENTERO;0.0646107059308;0.85157534466803;8.024;13.180096586161682;2127.949;161.45170000000002;4.0;enero
JAMON C.+P.LONCHA;0.09245516582696;1.9135848824561;52.539;20.697436052815537;4781.739;231.0305;4.0;enero
