Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.58692092571364;154.39944764117507;99.263;3.4628865244680234;1327162.8613800001;383253.35006;0.0;enero
T.HUEVOS KGS;0.70753893309622;2.25497255755636;81.011;3.187064982683719;19382.9439;6081.75359;1.0;enero
T.HUEVOS UNDS.;11.60960386351344;2.25497255755636;81.011;0.19423337644131616;19382.9439;99792.035;1.0;enero
TOTAL HUEVOS GALLINA;10.95264619372383;2.19038591035227;80.379;0.19998691381151595;18827.78;94145.06;2.0;enero
OTRAS AVES;0.65695766978961;0.06458664720408;8.407;0.0983117332731241;555.1639;5646.975;2.0;enero
MIEL;0.03224005825748;0.21296528307942;9.014;6.605610988001405;1830.574;277.1241;1.0;enero
GRANEL;0.00804490284233;0.07052445631351;2.336;8.76635276965105;606.2031999999999;69.15113000000001;2.0;enero
ENVASADA;0.02419515890528;0.14244073369552;6.881;5.887158429219177;1224.37;207.973;2.0;enero
TOTAL CARNE;3.62304975381326;32.46469526483496;96.996;8.960598796819133;279055.0;31142.45;1.0;enero
CARNE CERTIFICADA;0.61481353817449;6.34685112356971;48.803;10.323213022300711;54555.28;5284.719;2.0;enero
CARNE FRESCA;2.38303695323183;18.30106960908622;89.622;7.679725479819603;157309.5;20483.74;2.0;enero
SALCHICHAS FRESCAS;0.01608085231366;0.14585536977342;5.168;9.07012681470035;1253.721;138.22529999999998;3.0;enero
CARNE VACUNO;0.22698098499244;2.9069382925566;45.097;12.806968357518626;24987.01;1951.048;3.0;enero
TERNERA;0.16165174082235;2.05622611413842;35.513;12.72009879805772;17674.59;1389.501;4.0;enero
AÑOJO;0.04988267816217;0.63553030778833;13.964;12.740500935458275;5462.793;428.7738;4.0;enero
MAYOR;0.0154465660079;0.2151821033058;3.876;13.930740541012794;1849.629;132.7732;4.0;enero
