Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;51.6279993001683;203.90902599458823;99.184;3.9495821794109984;119160.198651;30170.330237;0.0;enero
T.HUEVOS KGS;0.95040362476056;3.10802273803699;81.437;3.2702134725338223;1816.2639199999999;555.396134;1.0;enero
T.HUEVOS UNDS.;15.09673002977458;3.10802273803699;81.437;0.20587390328284205;1816.2639199999999;8822.215400000001;1.0;enero
TOTAL HUEVOS GALLINA;14.80437637894116;3.08196616494255;81.753;0.2081793981762426;1801.037;8651.37;2.0;enero
OTRAS AVES;0.29235365083342;0.02605657309443;3.787;0.08912689484176924;15.22692;170.84539999999998;2.0;enero
MIEL;0.05372714949203;0.41642445427025;16.997;7.75072674071401;243.3498;31.397029999999997;1.0;enero
GRANEL;0.00331985620957;0.04892418956758;1.664;14.736839934950297;28.59028;1.940055;2.0;enero
ENVASADA;0.05040728472637;0.36750023047831;15.401;7.29061746676593;214.7595;29.456970000000002;2.0;enero
TOTAL CARNE;4.12226324197161;42.49856757905278;95.085;10.309522969408023;24835.28;2408.965;1.0;enero
CARNE CERTIFICADA;0.73928021610798;9.62689253148189;48.588;13.021980463867415;5625.756;432.02;2.0;enero
CARNE FRESCA;3.18899255686019;30.02692299632107;93.728;9.415802157244574;17547.11;1863.581;2.0;enero
SALCHICHAS FRESCAS;0.02949594929543;0.31760762866153;6.88;10.767838847304782;185.6033;17.236819999999998;3.0;enero
CARNE VACUNO;0.49638229324483;7.3106038249363;59.749;14.72776914975584;4272.165;290.0755;3.0;enero
TERNERA;0.37050033712819;5.69080633907306;53.807;15.359787208787289;3325.589;216.51270000000002;4.0;enero
AÑOJO;0.10488001171518;1.34636476774011;23.993;12.837191240942605;786.7876;61.289699999999996;4.0;enero
MAYOR;0.02100192728927;0.2734323758796;6.902;13.019394463822886;159.78820000000002;12.27309;4.0;enero
CARNE POLLO;0.97162694253463;5.5827480829586;74.378;5.745773237200655;3262.442;567.7986;3.0;enero
POLLO ENTERO;0.23576573913852;0.85639269552565;16.416;3.6323882284800177;500.4581;137.7766;4.0;enero
POLLO FILETES;0.13132763224952;1.11601092529957;27.02;8.497914004717432;652.1736;76.74514;4.0;enero
