Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.07755067280829;157.69431769945396;98.652;3.5776560923276643;85920.72498999999;24015.926285999998;0.0;enero
T.HUEVOS KGS;1.04334883834629;3.1525639870703;79.313;3.021581920833988;1717.694;568.4750720000001;1.0;enero
T.HUEVOS UNDS.;16.30232559916085;3.1525639870703;79.313;0.19338124293337525;1717.694;8882.423;1.0;enero
TOTAL HUEVOS GALLINA;16.30232559916085;3.1525639870703;79.313;0.19338124293337525;1717.694;8882.423;2.0;enero
OTRAS AVES;0.0;0.0;0.0;;0.0;0.0;2.0;enero
MIEL;0.02397206870446;0.19402771246444;6.091;8.093907741401527;105.71719999999999;13.06133;1.0;enero
GRANEL;0.0;0.0;0.0;;0.0;0.0;2.0;enero
ENVASADA;0.02397206870446;0.19402771246444;6.091;8.093907741401527;105.71719999999999;13.06133;2.0;enero
TOTAL CARNE;3.32732753366988;30.81732452493716;94.445;9.261884864982639;16791.01;1812.915;1.0;enero
CARNE CERTIFICADA;1.01632854878444;10.59923171500761;48.761;10.428942223146821;5775.057;553.7529000000001;2.0;enero
CARNE FRESCA;2.55962403990227;21.77971038345933;84.784;8.508948987793868;11866.81;1394.627;2.0;enero
SALCHICHAS FRESCAS;0.05927892652052;0.43423715233101;10.641;7.325320781250145;236.5968;32.29849;3.0;enero
CARNE VACUNO;0.44839520018625;6.4283733393196;42.308;14.336400872822294;3502.539;244.3109;3.0;enero
TERNERA;0.26913817430017;3.27498711693485;35.955;12.1684228759097;1784.397;146.6416;4.0;enero
AÑOJO;0.13918423156827;2.6357248548087;10.757;18.93695014952781;1436.091;75.83539;4.0;enero
MAYOR;0.04007272090394;0.51765916516002;8.041;12.917993924118813;282.0498;21.833869999999997;4.0;enero
CARNE POLLO;0.70958246911656;3.7335356385118;66.602;5.26159509430956;2034.24;386.6204;3.0;enero
POLLO ENTERO;0.15716583881687;0.60103033888588;15.185;3.824179245377763;327.4751;85.63278;4.0;enero
POLLO FILETES;0.08062094342678;0.65612818047899;29.051;8.138433421768296;357.4955;43.92682;4.0;enero
POLLO POR PIEZAS;0.47179568687291;2.47637638500825;57.42;5.248832182892142;1349.269;257.0608;4.0;enero
CARNE CONEJO;0.0289250820937;0.21862062389171;7.361;7.558167793040741;119.1168;15.76001;3.0;enero
CARNE OVINO/CAPRINO;0.15516338381726;2.22343991709597;17.14;14.329668910252959;1211.455;84.54173;3.0;enero
CORDERO;0.14920393972037;2.14541932955805;17.396;14.379106433642836;1168.945;81.29469;4.0;enero
CABRITO;0.00595945327363;0.07802077107258;0.929;13.09193435877852;42.5101;3.247045;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.04185544819853;0.66801461974342;2.993;15.96003981548068;363.9719;22.8052;4.0;enero
OVINO/CAPRINO PIEZ;0.1133079539722;1.55542511381788;15.254;13.727413295270516;847.483;61.73654;4.0;enero
CARNE CERDO;0.90565696020304;6.98636828562379;63.473;7.714144088350497;3806.566;493.45279999999997;3.0;enero
CARNE CERDO ADOBAD;0.10462456174073;0.83167193295395;23.531;7.9491079256785415;453.1416;57.00534;4.0;enero
CARN.CERDO IBERICO;0.01125493134203;0.09739808606052;5.11;8.653814323749302;53.067949999999996;6.132319000000001;4.0;enero
CARNE DESPOJOS;0.03395218842858;0.19650231039852;9.242;5.787618397907786;107.0655;18.49906;3.0;enero
DESPOJOS CERDO;0.01073561816244;0.06184767773948;6.476;5.760979647715786;33.69808999999999;5.849368;4.0;enero
DESPOJOS CORDERO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
DESPOJOS POLLO;0.01283218239862;0.06206318414712;4.312;4.836526026453675;33.81551;6.991694000000001;4.0;enero
DESPOJOS TERNERA;0.01038438236148;0.0725913934515;4.975;6.990439192682214;39.55187;5.657995;4.0;enero
DESPOJOS OT.PROCED;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OTRAS CARNES FRESCA;0.27794930666084;1.99286898387523;40.784;7.16990089961596;1085.827;151.4424;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
