Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;48.51351838219602;158.80191584486593;99.815;3.2733539256790873;344496.01600999996;105242.52000599999;0.0;enero
T.HUEVOS KGS;0.70266134618734;2.11989148041971;77.99;3.0169462030639456;4598.7743;1524.31432;1.0;enero
T.HUEVOS UNDS.;11.44126226418865;2.11989148041971;77.99;0.18528475542904127;4598.7743;24820.036;1.0;enero
TOTAL HUEVOS GALLINA;10.89349488047146;2.06673795149099;77.667;0.18972221258358463;4483.466;23631.74;2.0;enero
OTRAS AVES;0.54776738371718;0.05315352892871;5.176;0.0970366810962925;115.3083;1188.296;2.0;enero
MIEL;0.030669715678;0.21887075307265;8.355;7.136380244620841;474.806;66.53317;1.0;enero
GRANEL;0.00911420601074;0.10100794489545;2.277;11.082473314333258;219.121;19.771849999999997;2.0;enero
ENVASADA;0.02155550966725;0.11786280817719;6.295;5.467873875245609;255.685;46.76132;2.0;enero
TOTAL CARNE;4.39762485567682;38.48073522695332;98.583;8.750345127160886;83477.96;9539.962;1.0;enero
CARNE CERTIFICADA;0.79762353773261;7.93151218414177;54.9;9.943929446576357;17206.18;1730.32;2.0;enero
CARNE FRESCA;3.13537657222644;25.30850099900781;95.718;8.071917492525042;54902.85;6801.711;2.0;enero
SALCHICHAS FRESCAS;0.02648737339424;0.22570456946761;9.278;8.521213715991042;489.6309;57.46023;3.0;enero
CARNE VACUNO;0.3962265636301;4.90056394532273;58.221;12.368085320745067;10631.01;859.5518000000001;3.0;enero
TERNERA;0.309897801464;3.73716996052416;51.002;12.059362612026328;8107.208;672.275;4.0;enero
AÑOJO;0.07126729800911;0.8283959710888;18.776;11.623788108015807;1797.076;154.6033;4.0;enero
MAYOR;0.01506144571822;0.33499769103159;4.591;22.242067414960033;726.7253000000001;32.67346;4.0;enero
CARNE POLLO;0.99576452377267;5.1864199189107;77.692;5.208480313458843;11251.13;2160.156;3.0;enero
POLLO ENTERO;0.28495957365532;1.04832741337519;26.87;3.6788636364371667;2274.183;618.1754;4.0;enero
POLLO FILETES;0.12527730697222;0.94616935131838;27.085;7.552599702100604;2052.567;271.76959999999997;4.0;enero
POLLO POR PIEZAS;0.58552764314513;3.19192453712353;65.308;5.451364379618819;6924.383;1270.211;4.0;enero
CARNE CONEJO;0.03286752734257;0.2495498402464;8.489;7.592595501492407;541.3595;71.30098;3.0;enero
CARNE OVINO/CAPRINO;0.36321124047018;4.96810509421344;27.772;13.678280131920317;10777.53;787.9301999999999;3.0;enero
CORDERO;0.32393305687364;4.63458033679534;26.773;14.307216378361694;10054.0;702.7223;4.0;enero
CABRITO;0.03927820664498;0.33352697006834;1.578;8.491400156910242;723.5348;85.20795;4.0;enero
OTRO OVINO/CAPRINO;0.0;0.0;0.0;;0.0;0.0;4.0;enero
OVINO/CAPRINO ENTE;0.1812658862279;2.08042227135156;7.639;11.477185887783707;4513.152;393.2281;4.0;enero
OVINO/CAPRINO PIEZ;0.18194535424227;2.88768282286188;22.202;15.871154473209035;6264.378;394.7021;4.0;enero
CARNE CERDO;1.05768922877802;7.89375422955783;80.076;7.463207542235928;17124.27;2294.492;3.0;enero
CARNE CERDO ADOBAD;0.14991212511533;1.20045818133527;27.453;8.007745740457732;2604.207;325.211;4.0;enero
CARN.CERDO IBERICO;0.03103369203449;0.29048783420884;3.303;9.360402039369747;630.1681;67.32275999999999;4.0;enero
CARNE DESPOJOS;0.06392908955084;0.36517478317981;17.866;5.712184949691457;792.1898;138.6842;3.0;enero
DESPOJOS CERDO;0.03427934571228;0.22704847791339;11.716;6.623477583821138;492.5463;74.3637;4.0;enero
DESPOJOS CORDERO;0.00799233701758;0.03883882040214;2.518;4.8595073401802855;84.25477000000001;17.33813;4.0;enero
DESPOJOS POLLO;0.01999154854439;0.08951806701751;6.229;4.4777955453894585;194.1955;43.368550000000006;4.0;enero
DESPOJOS TERNERA;0.0012393215391;0.00616688673201;0.779;4.976018359577686;13.3781;2.6885149999999998;4.0;enero
DESPOJOS OT.PROCED;0.000426528901;0.00360255554607;0.194;8.446216745488972;7.815183;0.925288;4.0;enero
OTRAS CARNES FRESCA;0.22568838946266;1.74493332586751;46.083;7.731604315233096;3785.361;489.5958;3.0;enero
AVESTRUZ;0.0;0.0;0.0;;0.0;0.0;4.0;enero
PAVO;0.08173082884907;0.65762592961388;25.242;8.046240798906725;1426.617;177.3023;4.0;enero
