Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;53.58001390491093;205.12314219374738;99.542;3.828351790982768;1477666.6583;385979.85216;0.0;enero
T.HUEVOS KGS;0.72456523899877;2.45740335829387;81.502;3.3915556888839915;17702.649100000002;5219.62507;1.0;enero
T.HUEVOS UNDS.;12.09389011297049;2.45740335829387;81.502;0.20319378920586983;17702.649100000002;87121.999;1.0;enero
TOTAL HUEVOS GALLINA;11.17826551609386;2.38330650727924;80.285;0.21320897270223957;17168.87;80526.02;2.0;enero
OTRAS AVES;0.91562459687662;0.07409685101463;9.551;0.08092492410906704;533.7791;6595.979;2.0;enero
MIEL;0.03715104491881;0.30518756171052;11.181;8.21477733338116;2198.511;267.6288;1.0;enero
GRANEL;0.01198448831144;0.12354876020288;2.181;10.309055922303513;890.0209;86.33389;2.0;enero
ENVASADA;0.02516655521921;0.18163878762608;8.777;7.217467231565808;1308.49;181.29489999999998;2.0;enero
TOTAL CARNE;4.35903800216934;42.5312449714986;97.405;9.757025506621467;306386.7;31401.65;1.0;enero
CARNE CERTIFICADA;0.71453302790319;8.00565783167282;54.37;11.20404168742976;57671.18;5147.355;2.0;enero
CARNE FRESCA;3.11244362742021;25.71956869440089;91.184;8.263464908348844;185278.7;22421.43;2.0;enero
SALCHICHAS FRESCAS;0.03453294158882;0.30780853852285;11.471;8.913475781700658;2217.392;248.7685;3.0;enero
CARNE VACUNO;0.4424293814346;5.7586279594465;60.15;13.015925707225271;41484.02;3187.174;3.0;enero
TERNERA;0.36053416310545;4.78336250145938;53.1;13.267432024355301;34458.4;2597.217;4.0;enero
AÑOJO;0.05672237476453;0.65391004662178;13.388;11.528255813270526;4710.639;408.6168;4.0;enero
MAYOR;0.02517280191994;0.32135527254975;6.853;12.765971526398769;2314.98;181.3399;4.0;enero
CARNE POLLO;1.09083372484519;6.34618152522225;75.839;5.817734986258218;45716.64;7858.151;3.0;enero
POLLO ENTERO;0.30821374117712;1.41520115648878;23.843;4.5916225249525855;10194.83;2220.311;4.0;enero
POLLO FILETES;0.13574533233317;1.04848747938631;29.967;7.723930255022433;7553.097;977.8826;4.0;enero
POLLO POR PIEZAS;0.64687473462423;3.88249247290043;66.619;6.0019231932991675;27968.71;4659.958;4.0;enero
CARNE CONEJO;0.0681963424355;0.60653742812134;15.103;8.893987660628612;4369.376;491.273;3.0;enero
CARNE OVINO/CAPRINO;0.1279384556241;2.27639075383091;16.247;17.792857845019014;16398.67;921.6434;3.0;enero
CORDERO;0.09512836797921;1.57800544732459;12.943;16.588169027238262;11367.64;685.286;4.0;enero
CABRITO;0.0260496998874;0.58222846162353;3.7;22.35067828574382;4194.259;187.6569;4.0;enero
OTRO OVINO/CAPRINO;0.00676038498116;0.11615762224997;1.044;17.182101695917574;836.7766;48.700480000000006;4.0;enero
OVINO/CAPRINO ENTE;0.01844559108414;0.4107429225546;1.271;22.267810268636588;2958.911;132.8784;4.0;enero
OVINO/CAPRINO PIEZ;0.10949286453995;1.86564797009187;15.166;17.03899133455465;13439.76;788.765;4.0;enero
CARNE CERDO;0.96531085451329;7.68304350188627;74.451;7.959139240965046;55347.13;6953.909;3.0;enero
CARNE CERDO ADOBAD;0.0754121702027;0.65404566943549;16.966;8.672945861091966;4711.616;543.2544;4.0;enero
CARN.CERDO IBERICO;0.02936276949636;0.30945155963141;5.201;10.538909133543491;2229.228;211.52360000000002;4.0;enero
CARNE DESPOJOS;0.08310124801749;0.48925201263932;17.244;5.887420758546384;3524.475;598.645;3.0;enero
DESPOJOS CERDO;0.03936627769615;0.25681685924839;11.167;6.523778072964583;1850.058;283.5869;4.0;enero
DESPOJOS CORDERO;0.00412751167432;0.02899489434937;1.215;7.024787968431864;208.8735;29.73378;4.0;enero
