Alimentos;CONSUMO X CAPITA;GASTO X CAPITA;PENETRACION (%);PRECIO MEDIO kg ó litros;VALOR (Miles Euros);VOLUMEN (Miles kg ó litros);Nivel;Hoja
.TOTAL ALIMENTACION;44.3465767526978;173.27202969066153;99.207;3.9072244664323628;1129128.93006;288984.914934;0.0;enero
T.HUEVOS KGS;0.72145764281205;2.28989913165074;81.961;3.173989706069679;14922.150800000001;4701.38601;1.0;enero
T.HUEVOS UNDS.;11.74910556794082;2.28989913165074;81.961;0.1948998686248146;14922.150800000001;76563.165;1.0;enero
TOTAL HUEVOS GALLINA;11.18456642838227;2.23742153318217;81.363;0.20004544186035025;14580.18;72884.34;2.0;enero
OTRAS AVES;0.56453913955855;0.05247759846857;6.445;0.09295652823931555;341.9708;3678.825;2.0;enero
MIEL;0.03186659685676;0.22445419088661;10.928;7.0435569852498565;1462.658;207.659;1.0;enero
GRANEL;0.00609509682975;0.05851279206876;2.604;9.599977441390415;381.2992;39.71876;2.0;enero
ENVASADA;0.02577150923439;0.16594142950912;8.455;6.4389488407487665;1081.359;167.94029999999998;2.0;enero
TOTAL CARNE;4.02735968046614;39.31087290615182;97.54;9.760954080367073;256169.7;26244.33;1.0;enero
CARNE CERTIFICADA;0.66076058189384;7.72224692253089;47.298;11.68690617166912;50322.1;4305.853;2.0;enero
CARNE FRESCA;2.87280764351419;24.92766798765572;90.932;8.677110019507838;162441.4;18720.68;2.0;enero
SALCHICHAS FRESCAS;0.01359660136413;0.11103510772428;5.965;8.166386933806187;723.5614;88.60239;3.0;enero
CARNE VACUNO;0.49735256363831;6.4836192082142;60.908;13.036263773899622;42250.57;3241.003;3.0;enero
TERNERA;0.31775566536599;4.06056763947492;44.784;12.77889926776899;26460.73;2070.658;4.0;enero
AÑOJO;0.14777313108911;1.98003529784453;23.258;13.39915641802595;12902.92;962.9651;4.0;enero
MAYOR;0.03182369045501;0.44301550361289;8.307;13.920934287590763;2886.915;207.3794;4.0;enero
CARNE POLLO;0.92365160422577;5.07386922379645;73.427;5.493271706109917;33063.92;6018.985;3.0;enero
POLLO ENTERO;0.1989127587915;0.82533870498969;18.174;4.149249701246011;5378.328;1296.217;4.0;enero
POLLO FILETES;0.1495502172652;1.0825348078818;32.58;7.238604046706901;7054.349;974.5455;4.0;enero
POLLO POR PIEZAS;0.57518870489724;3.16599678511957;61.563;5.50427495909395;20631.25;3748.223;4.0;enero
CARNE CONEJO;0.02519270248859;0.22975488090547;6.335;9.119898153421637;1497.2;164.1685;3.0;enero
CARNE OVINO/CAPRINO;0.24628136494174;3.92065072272152;22.797;15.919396596038993;25548.96;1604.895;3.0;enero
CORDERO;0.22835597261377;3.61477073911048;21.914;15.82954322471043;23555.69;1488.084;4.0;enero
CABRITO;0.01692815609129;0.28798543601393;1.932;17.012215297450425;1876.66;110.3125;4.0;enero
OTRO OVINO/CAPRINO;0.00099725541873;0.01789540695279;0.159;17.94465752370694;116.6156;6.498625;4.0;enero
OVINO/CAPRINO ENTE;0.10463458053808;1.50307969486966;7.04;14.365037706846483;9794.834;681.8523;4.0;enero
OVINO/CAPRINO PIEZ;0.1416467997493;2.41757164167734;17.87;17.067605099135164;15754.13;923.0428;4.0;enero
CARNE CERDO;0.88845116767646;6.96441643801821;69.149;7.8388286170325046;45383.69;5789.601;3.0;enero
CARNE CERDO ADOBAD;0.10725734943737;0.86180147365917;26.594;8.034894374882324;5615.938;698.9436;4.0;enero
CARN.CERDO IBERICO;0.02985421602472;0.33006593556786;8.664;11.055923736014183;2150.878;194.5453;4.0;enero
